Dairy Name,Dairy Address,Milk Cows,Dry Cows,Bred Heifers,Heifers,Calves (4-6 mo.),Calves (0-3 mo.),Total Herd Size,Total Manure Excreted (tons),Total Dry Manure Generated N (lbs),Total Dry Manure Generated N After Ammonia Losses (lbs),Total Dry Manure Generated P (lbs),Total Dry Manure Generated K (lbs),Total Dry Manure Generated Salt (lbs),Total Process Wastewater Generated (gals),Total Process Wastewater Generated N (lbs),Total Process Wastewater Generated P (lbs),Total Process Wastewater Generated K (lbs),Total Process Wastewater Generated Salt (lbs),Average Milk Production (lb per cow per day),Applied N Dry Manure (lbs),Applied P Dry Manure (lbs),Applied K Dry Manure (lbs),Applied Salt Dry Manure (lbs),Applied Process Wastewater N (lbs),Applied Process Wastewater P (lbs),Applied Process Wastewater K (lbs),Applied Process Wastewater Salt (lbs),Applied to Remove Ratio N,Applied to Remove Ratio P,Applied to Remove Ratio K,Applied to Remove Ratio Salt,Total Exports N (lbs),Total Exports P (lbs),Total Exports K (lbs),Total Exports Salt (lbs),Total Applied N (lbs),Total Applied P (lbs),Total Applied K (lbs),Total Applied Salt (lbs),Unaccounted-for N (lbs),Unaccounted-for P (lbs),Unaccounted-for K (lbs),Unaccounted-for Salt (lbs),Average Milk Production (kg per cow),Average Milk Production (L per cow),Total Annual Milk Production (L),Total Process Wastewater Generated (L),Ratio of Wastewater to Milk (L/L),USDA Nitrogen from Manure (lbs),Ratio of USDA N to Reported N,UCCE Nitrogen from Manure (lbs),Ratio of UCCE N to Reported N,Manure Conversion Factor (tons per cow per year)
A.T.O. Dairy,19249 S Fruit AVE Riverdale Fresno 93656,425,0,25,25,0,0,475,11338.75,146377.19,102464.03,24761.41,81054.43,200659.5,23550000.0,76070.27,6959.56,26169.17,222974.23,68.0,54600.0,35490.0,162890.0,4426167.2,76070.27,6959.56,26169.17,222974.23,0.84,1.13,0.92,4.83,0.0,0.0,0.0,0.0,130670.27,42449.56,189059.16999999998,4649141.430000001,47864.029999999984,-10728.589999999997,-81835.56999999999,-4225507.700000001,30.844256,29.949772576,4645958.470852001,89146405.5,19.187947128518317,146496.65,1.0008161107615194,161801.8292682927,1.105375976054006,25.57847317744154
AJ Slenders Dairy,625 E Coleman AVE Laton Fresno 93242,930,50,400,300,150,0,1830,31954.69,391913.15,274339.21,65182.82,176753.48,450619.2,27252000.0,116059.84,58968.45,24421.62,488263.82,67.0,0.0,0.0,0.0,0.0,38683.86,3929.92,17124.77,142705.22,0.82,0.48,0.3,0.69,110555.98,68478.53,95916.85,1276912.81,38683.86,3929.92,17124.77,142705.22,241159.21000000008,51742.81999999999,88133.48000000001,-480735.01,30.390664,29.509334744,10555489.037928801,103159993.32000001,9.773113585672585,412854.59479999996,1.0534338916670694,457852.4390243902,1.1682497487629342,24.7523576421689
AJF Dairy,23435 12 RD Chowchilla Madera 93610,750,90,232,0,0,0,1072,23041.75,290771.33,203539.93,48610.21,144025.43,374857.2,29580000.0,104495.09,9832.0,125630.14,1057498.43,70.0,53150.85,34133.13,177882.83,0.0,104495.09,9832.0,125630.14,1057498.43,0.8,1.07,1.23,1.3,0.0,0.0,0.0,0.0,157645.94,43965.13,303512.97,1057498.43,150389.08000000002,14477.080000000002,-33857.399999999965,374857.19999999995,31.75144,30.83064824,9452676.750384,111972427.80000001,11.845578851032997,297699.41,1.0238265581410655,337580.48780487804,1.1609827138214692,24.913284546413504
ADAMSCOWS DAIRY,16661 S FOWLER AVE SELMA Fresno 93662,72,12,20,20,15,15,154,2530.95,31753.12,22227.18,5141.94,13826.44,36761.04,420915.0,1184.25,11.19,142.94,1752.53,70.0,11950.0,5150.0,13000.0,173240.2,1184.25,11.19,142.94,1752.53,0.67,0.72,0.27,1.7,0.0,0.0,0.0,0.0,13134.25,5161.19,13142.94,174992.73,10277.18,-8.0600000000004,826.4400000000005,-136479.16,31.75144,30.83064824,945267.6750383999,1593335.85015,1.6855922319413637,32699.873999999996,1.0298160936626068,37336.829268292684,1.1758475787038465,23.090554072096122
Alfred O. Soares Dairy,21282 Road 6 RD Chowchilla Madera 93610,911,160,70,650,420,0,2211,33159.99,411667.11,288166.98,66270.6,168941.22,467012.34,2970000.0,22019.03,11805.51,29569.15,136503.34,60.0,0.0,0.0,0.0,0.0,22019.03,11805.51,29569.15,136503.34,0.65,0.73,0.35,0.25,63498.4,9962.68,35690.48,1165962.0,22019.03,11805.51,29569.15,136503.34,224668.58,56307.920000000006,133250.74,-698949.6599999999,27.215519999999998,26.426269919999996,10330425.3057768,11242667.700000001,1.088306373379717,428427.0708,1.0407124115404798,505756.46341463417,1.2285568876625441,22.283843733097306
BANOS DAIRY,4667 Avenue 23 1/2 Chowchilla Madera 93610,620,80,60,0,0,0,760,17601.66,226947.01,158862.91,37846.6,118244.11,311173.2,9168000.0,19653.48,5780.4,55449.92,419426.38,68.0,0.0,0.0,0.0,0.0,19653.48,5780.4,55449.92,419426.38,1.15,2.66,2.31,3.59,102150.24,30565.67,124080.66,512179.2,19653.48,5780.4,55449.92,419426.38,56712.67,7280.93,-5836.550000000003,-201005.99999999994,30.844256,29.949772576,7652166.8931680005,34704638.88,4.535269468702383,227413.4472,1.0020552692013875,263512.1951219512,1.161117721365667,24.3806777027027
Bar None Dairy / van der Hoek Dairy,15886 S Lassen AVE Helm Fresno 93627,3600,248,1888,673,523,0,6932,119371.09,1471171.59,1029820.11,243903.23,667605.27,1756887.84,23242500.0,83573.58,10617.24,111967.29,681959.03,60.0,82213.13,29948.76,101898.29,0.0,83573.58,10617.24,111967.29,681959.03,1.2,0.57,0.66,6.86,0.0,0.0,0.0,0.0,165786.71000000002,40566.0,213865.58,681959.03,947606.98,213954.47,565706.9800000001,1756887.84,27.215519999999998,26.426269919999996,37116224.62803839,87982391.925,2.3704563922305883,1542274.4827999999,1.0483307951861685,1769787.0731707318,1.2029780109951225,23.987956015840965
"BIG DE DAIRY, LP",2947 W Manning AVE Fresno Fresno 93706,1150,140,675,690,375,0,3030,46667.73,575627.9,402939.53,94798.82,226899.96,575242.2,28656000.0,96017.84,14673.14,109909.02,809619.88,78.0,33933.26,10767.31,54110.78,0.0,96017.84,14673.14,109909.02,809619.88,1.1,1.18,1.05,2.69,226054.65,89107.76,378303.25,0.0,129951.1,25440.449999999997,164019.8,809619.88,142951.62000000002,-5076.249999999985,-205514.07,575242.2000000001,35.380176,34.354150896,16175651.9493816,108474708.96000001,6.706048652595238,602947.0716,1.0474597767064453,669819.512195122,1.1636328124385944,24.223027345233575
Black Diamond Dairy #2,10467 W Kamm AVE Riverdale Fresno 93656,0,0,0,0,0,0,0,1.0,1.0,0.7,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1.0,1.0,0.0,0.453592,0.440437832,0.0,0.0,,,,,,
Black Diamond Dairy,18541 S Fruit AVE Riverdale Fresno 93656,970,75,400,300,275,0,2020,33755.15,416160.47,291312.33,68483.03,184355.78,475269.3,44689000.0,140320.95,17194.34,69814.43,556239.35,67.0,0.0,0.0,0.0,0.0,72907.11,8937.97,36279.24,289064.12,1.23,0.77,0.49,0.77,164073.84,42624.36,151675.19,2642261.78,72907.11,8937.97,36279.24,289064.12,194652.33000000005,34115.03999999999,66215.78,-1899817.25,30.390664,29.509334744,11255598.0047302,169166187.49,15.029515750198913,436116.538,1.0479528197380208,487141.4634146341,1.1705615947007992,24.08145380198365
