Source PDF,Manifest Number,Start Page,End Page,Origin Dairy Name,Origin Dairy Address,Origin Dairy Latitude (Geocoded),Origin Dairy Longitude (Geocoded),Destination Address Final,Destination Address Final Source,Destination Type (Standardized),Destination Latitude (Geocoded),Destination Longitude (Geocoded),First Haul Date,Last Haul Date,Is Pipeline,Is Trucked,Manure Mass per Haul (tons),Manure Number of Hauls,Total Manure Amount (tons),Manure Solids (%),Number of 10-ton Hauls for Analysis,Number of 20-ton Hauls for Analysis
2024AR_AJ Selnders Dairy_625 E Coleman Ave_Fresno,1,48,49,Aj Slenders Dai,625 E Coleman Ave Laton Fresno 93242,36.46715430605,-119.782800820785,Caruthers 93609 Hughes Fresno,Destination Address,Farmer,36.539831144575,-119.853247855475,,2024-10-02,False,,,,2100.0,57.3,131,39
2024AR_Banos Dairy_4667 Ave 23.5_Madera,1,25,26,Banos Dairy,4667 Avenue 23 1/2 Chowchilla Madera 93610,37.090736617769,-120.470252098356,1275 North Avenue Gustine 95322 North Avenue Merced,Destination Address,Broker,37.260716449125,-121.007144535429,,2024-10-01,False,,,,1800.0,62.4,112,34
2024AR_Banos Dairy_4667 Ave 23.5_Madera,2,27,28,Banos Dairy,4667 Avenue 23 1/2 Chowchilla Madera 93610,37.090736617769,-120.470252098356,1275 North Avenue Gustine 95322 North Avenue Merced,Destination Address,Broker,37.260716449125,-121.007144535429,,2024-06-10,False,,,,2100.0,83.3,131,39
2024AR_Big De Cattle Dairy_2947 W Manning Ave_Fresno,1,68,69,Big De Dairy Lp,2947 W Manning Ave Fresno Fresno 93706,36.603806035874,-119.84254673116,Fresno 93706 Central And Dickensen Avenues Fresno,Destination Address,Broker,36.676940990927,-119.97033404185,,2024-01-25,False,,,,2500.0,58.2,156,47
2024AR_Big De Cattle Dairy_2947 W Manning Ave_Fresno,2,70,71,Big De Dairy Lp,2947 W Manning Ave Fresno Fresno 93706,36.603806035874,-119.84254673116,Fresno 93706 Cornelia And American Avenues Fresno,Destination Address,Broker,36.662918988924,-119.880474004839,,2024-01-26,False,,,,2875.0,58.2,180,54
2024AR_Big De Cattle Dairy_2947 W Manning Ave_Fresno,3,72,73,Big De Dairy Lp,2947 W Manning Ave Fresno Fresno 93706,36.603806035874,-119.84254673116,Fresno 93706 Central And Rolinda Avenues Fresno,Destination Address,Broker,36.7837955,-119.9610754,,2024-04-27,False,,,,2000.0,81.8,125,38
2024AR_Big De Cattle Dairy_2947 W Manning Ave_Fresno,4,74,75,Big De Dairy Lp,2947 W Manning Ave Fresno Fresno 93706,36.603806035874,-119.84254673116,Fresno 93706 Central And Rolinda Avenues Fresno,Destination Address,Broker,36.7837955,-119.9610754,,2024-05-25,False,,,,2000.0,,125,38
2024AR_Black Diamond Dairy_18789 S Fruit Ave_Fresno,3,40,41,Black Diamond Dai,18541 S Fruit Ave Riverdale Fresno 93656,36.463649173483,-119.829910090114,Riverdale 93656 Across From Andrew/Fruit & West Fresno,Destination Address,Farmer,,,,2024-10-10,False,,,,3580.0,71.8,224,67
2024AR_Cedar Avenue Feedlot_21622 S Cedar Ave_Fresno,1,32,33,Cedar Avenue Feedlot,21622 Cedar Avenue Laton Fresno 93242,36.421381456974,-119.759995713718,19721 Exceslsior Riverdale 93656 Stockpile Fresno,Destination Address,Broker,36.40155859124,-119.810950979502,,2024-09-10,False,,,,1920.0,50.2,120,36
2024AR_Cedar Avenue Feedlot_21622 S Cedar Ave_Fresno,2,34,35,Cedar Avenue Feedlot,21622 Cedar Avenue Laton Fresno 93242,36.421381456974,-119.759995713718,Riverdale 93656 Stockpile Fresno,Destination Address,Broker,,,,2024-07-05,False,,,,600.0,51.0,37,11
2024AR_Costa View Dairy North_9499 Ave 20_Madera,1,111,112,Costa View Dairy North,9499 Avenue 20 Chowchilla Madera 93610,37.041496614479,-120.374679984699,24341 Avenue 14 Madera 93637 Madera,Destination Address,Farmer,36.953930997734,-120.105229038794,,2024-08-05,False,,,,3885.3,97.5,243,73
2024AR_Costa View Farms Dairy #2_16800 Road 15_Madera,1,339,340,Costa View Farms,16800 Road 15 Madera Madera 93637,36.984453195233,-120.274236621463,16800 Road 15 Madera 93637 Madera,Destination Address,Farmer,36.984453195233,-120.274236621463,,2024-12-24,False,,,,8028.0,96.8,501,151
