Source PDF,Manifest Number,Start Page,End Page,Origin Dairy Name,Origin Dairy Address,Origin Dairy Latitude (Geocoded),Origin Dairy Longitude (Geocoded),Destination Address Final,Destination Address Final Source,Destination Type (Standardized),Destination Latitude (Geocoded),Destination Longitude (Geocoded),First Haul Date,Last Haul Date,Is Pipeline,Is Trucked,Wastewater Volume per Haul (Gallons),Wastewater Number of Hauls,Wastewater Hours Pumped (Hours),Wastewater Pumping Rate (GPM),Total Process Wastewater Exports (Gallons),"Number of <8,000 gal Hauls for Analysis","Number of >=8,000 gal Hauls for Analysis",origin_dest_miles
2024AR_Black Diamond Dairy_18789 S Fruit Ave_Fresno,1,36,37,Black Diamond Dai,18541 S Fruit Ave Riverdale Fresno 93656,36.463649173483,-119.829910090114,Riverdale 93656 Fruit Fresno,Destination Address,Farmer,36.438315206411,-119.812750275793,,2024-02-25,False,,,,,,6400000.0,0,640,1.9912564480110544
2024AR_Black Diamond Dairy_18789 S Fruit Ave_Fresno,2,38,39,Black Diamond Dairy,18541 S Fruit Ave Riverdale Fresno 93656,36.463649173483,-119.829910090114,Riverdale 93656 Fruit Fresno,Destination Address,Farmer,36.438315206411,-119.812750275793,,2024-05-10,False,,,,,,6250000.0,0,625,1.9912564480110544
2024AR_Black Diamond Dairy_18789 S Fruit Ave_Fresno,4,42,43,Black Diamond Dai,18541 S Fruit Ave Riverdale Fresno 93656,36.463649173483,-119.829910090114,Riverdale 93656 Fruit Fresno,Destination Address,Farmer,36.438315206411,-119.812750275793,,2024-10-10,False,,,,,,2519000.0,0,252,1.9912564480110544
2024AR_Black Diamond Dairy_18789 S Fruit Ave_Fresno,5,44,45,Black Diamond Dairy,18541 S Fruit Ave Riverdale Fresno 93656,36.463649173483,-119.829910090114,Riverdale 93656 Fruit Fresno,Destination Address,Farmer,36.438315206411,-119.812750275793,,2024-10-15,False,,,,,,6320000.0,0,632,1.9912564480110544
2024AR_Vlot Calf Ranch_20330 Road 4_Madera,1,317,318,Vlot Calf Ranch,20330 Road 4 Chowchilla Madera 93610,37.045743768393,-120.473613625191,29808 Avenue 12 Madera 93638 Madera,Destination Address,Farmer,36.922218276617,-120.003269892187,,2024-03-09,False,,,,,,9984000.0,0,998,27.37859461037077
2024AR_Vlot Calf Ranch_20330 Road 4_Madera,2,319,320,Vlot Calf Ranch,20330 Road 4 Chowchilla Madera 93610,37.045743768393,-120.473613625191,29808 Avenue 12 Madera 93638 Madera,Destination Address,Farmer,36.922218276617,-120.003269892187,,2024-03-26,False,,,,,,10000000.0,0,1000,27.37859461037077
2024AR_Vlot Calf Ranch_20330 Road 4_Madera,3,321,322,Vlot Calf Ranch,20330 Road 4 Chowchilla Madera 93610,37.045743768393,-120.473613625191,29808 Avenue 12 Madera 93638 Madera,Destination Address,Farmer,36.922218276617,-120.003269892187,,2024-03-26,False,,,,,,7472000.0,0,747,27.37859461037077
2024AR_AJB Ranch Dairy,1b,104,104,AJB Ranch Dairy,2874 Stockdale Hwy Wastewater Bakersfield Ca 93312 Rwqcd? No,35.353777906384,-119.136484752428,7540 Tracy Ave Buttonwillow Ca,Destination Address,Other,35.431147522959,-119.4247957782,2024-06-01,2024-06-30,False,,,,,,,,,17.127346728542637
2024AR_Bear Mountain Dairy,4a,88,88,Bear Mountain Dairy,4551 Bear Mountain Blvd Wastewater Bakersfield Ca 93313 Rwqcd? No,35.208699842036,-119.052247067829,9442 Bear Mountain Blvd. Bakersfield Ca,Destination Address,Farmer,35.210777230193,-119.105872241364,2024-08-01,2024-08-31,False,,,,,,,,,3.0374215146639583
2024AR_Bear Mountain Dairy,4b,88,88,Bear Mountain Dairy,4551 Bear Mountain Blvd Wastewater Bakersfield Ca 93313 Rwqcd? No,35.208699842036,-119.052247067829,9442 Bear Mountain Blvd. Bakersfield Ca,Destination Address,Farmer,35.210777230193,-119.105872241364,2024-09-01,2024-09-30,False,,,,,,,,,3.0374215146639583
2024AR_Diamond D LLC Dairy_9423 Idaho Ave_Kings,2,68,69,Diamond D Dairy,9423 Idaho Ave Hanford 93230,36.269168693698,-119.626552462404,016-270-066,Destination Assessor Parcel Number,Blank,39.760802,-121.809471,2024-01-01,2024-12-31,False,,,,,,7000000.0,0,700,268.6414681692021
2024AR_Diamond D LLC Dairy_9423 Idaho Ave_Kings,3,70,71,Diamond D Dairy,9423 Idaho Ave Hanford 93230,36.269168693698,-119.626552462404,"016-270-010, 016-270-033",Destination Assessor Parcel Number,Blank,39.672295,-120.242033,2024-01-01,2024-12-31,False,,,,,,7000000.0,0,700,237.10405354350561
2024AR_Diamond D LLC Dairy_9423 Idaho Ave_Kings,4,72,73,Diamond D Dairy,9423 Idaho Ave Hanford 93230,36.269168693698,-119.626552462404,"028-090-001, 028-090-022",Destination Assessor Parcel Number,Blank,39.364051,-121.403652,2024-01-01,2024-12-31,False,,,,,,16000000.0,0,1600,234.53482895308272
2024AR_Flatland Farms LLC_8483 15th Ave_Kings,3,53,54,Flatland Farms LLC,8431 15th Ave Hanford 93230,36.350695065386,-119.726593410469,005-080-007,Destination Assessor Parcel Number,Blank,37.802035,-121.702086,2024-01-01,2024-12-31,False,,,,,,525000.0,0,52,148.08454994682657
2024AR_Flint Dairy_6511 Flint Ave_Kings,13,174,175,Flint Dairy,6511 Flint Ave. Hanford Kings 93230,36.369763853201,-119.575398880791,7442 7Th Ave Hanford 93230 Kings,Destination Address,Farmer,36.360022531059,-119.590966841015,,2024-01-01,False,,,,,,1629000.0,0,163,1.0976560342069965
2024AR_Flint Dairy_6511 Flint Ave_Kings,14,176,177,Flint Dairy,6511 Flint Ave. Hanford Kings 93230,36.369763853201,-119.575398880791,7442 7Th Ave Hanford 93230 Kings,Destination Address,Farmer,36.360022531059,-119.590966841015,,2024-03-25,False,,,,,,981000.0,0,98,1.0976560342069965
2024AR_Flint Dairy_6511 Flint Ave_Kings,15,178,179,Flint Dairy,6511 Flint Ave. Hanford Kings 93230,36.369763853201,-119.575398880791,7442 7Th Ave Hanford 93230 Kings,Destination Address,Farmer,36.360022531059,-119.590966841015,,2024-06-27,False,,,,,,2481000.0,0,248,1.0976560342069965
2024AR_Flint Dairy_6511 Flint Ave_Kings,16,180,181,Flint Dairy,6511 Flint Ave. Hanford Kings 93230,36.369763853201,-119.575398880791,7442 7Th Ave Hanford 93230 Kings,Destination Address,Farmer,36.360022531059,-119.590966841015,,2024-08-02,False,,,,,,2172000.0,0,217,1.0976560342069965
505 E Washington Rd El Nido 2024 Dairy AR,6,387,388,Double Diamond Dairy,505 E Washington Rd El Nido Merced 95317,37.111988713551,-120.483451271655,2025 Washington Rd El Nido 95317 Merced,Destination Address,Farmer,37.109501006598,-120.541971372693,,2024-08-20,False,,,,,,10000000.0,0,1000,3.236554581998294
505 E Washington Rd El Nido 2024 Dairy AR,9,393,394,Double Diamond Dairy,505 E Washington Rd El Nido Merced 95317,37.111988713551,-120.483451271655,2025 Washington Rd El Nido 95317 Merced,Destination Address,Farmer,37.109501006598,-120.541971372693,,2024-08-20,False,,,,,,5881590.0,0,588,3.236554581998294
724 Ruble Rd Crows Landing 2024 Dairy AR,15,75,76,Pinnacle Dairy,724 Ruble Rd. Crowslanding Ca 95313,37.483244704773,-121.002979819199,058-005-006,Destination Assessor Parcel Number,Blank,38.065403,-120.571106,,2024-02-09,False,,,,,,240000.0,0,24,46.59353066252975
724 Ruble Rd Crows Landing 2024 Dairy AR,16,77,78,Pinnacle Dairy,724 Ruble Rd. Crowslanding Ca 95313,37.483244704773,-121.002979819199,058-005-006,Destination Assessor Parcel Number,Blank,38.065403,-120.571106,2024-04-18,2024-04-19,False,,,,,,780000.0,0,78,46.59353066252975
724 Ruble Rd Crows Landing 2024 Dairy AR,17,79,80,Pinnacle Dairy,724 Ruble Rd. Crowslanding Ca 95313,37.483244704773,-121.002979819199,058-005-006,Destination Assessor Parcel Number,Blank,38.065403,-120.571106,2024-05-03,2024-05-06,False,,,,,,360000.0,0,36,46.59353066252975
724 Ruble Rd Crows Landing 2024 Dairy AR,18,81,82,Pinnacle Dairy,724 Ruble Rd. Crowslanding Ca 95313,37.483244704773,-121.002979819199,058-005-006,Destination Assessor Parcel Number,Blank,38.065403,-120.571106,,2024-06-13,False,,,,,,240000.0,0,24,46.59353066252975
724 Ruble Rd Crows Landing 2024 Dairy AR,19,83,84,Pinnacle Dairy,724 Ruble Rd. Crowslanding Ca 95313,37.483244704773,-121.002979819199,058-005-006,Destination Assessor Parcel Number,Blank,38.065403,-120.571106,,2024-06-27,False,,,,,,240000.0,0,24,46.59353066252975
724 Ruble Rd Crows Landing 2024 Dairy AR,20,85,86,Pinnacle Dairy,724 Ruble Rd. Crowslanding Ca 95313,37.483244704773,-121.002979819199,058-005-006,Destination Assessor Parcel Number,Blank,38.065403,-120.571106,,2024-07-09,False,,,,,,240000.0,0,24,46.59353066252975
724 Ruble Rd Crows Landing 2024 Dairy AR,21,87,88,Pinnacle Dairy,724 Ruble Rd. Crowslanding Ca 95313,37.483244704773,-121.002979819199,058-005-006,Destination Assessor Parcel Number,Blank,38.065403,-120.571106,,2024-07-23,False,,,,,,180000.0,0,18,46.59353066252975
724 Ruble Rd Crows Landing 2024 Dairy AR,22,89,90,Pinnacle Dairy,724 Ruble Rd. Crowslanding Ca 95313,37.483244704773,-121.002979819199,058-005-006,Destination Assessor Parcel Number,Blank,38.065403,-120.571106,,2024-08-01,False,,,,,,240000.0,0,24,46.59353066252975
724 Ruble Rd Crows Landing 2024 Dairy AR,23,91,92,Pinnacle Dairy,724 Ruble Rd. Crowslanding Ca 95313,37.483244704773,-121.002979819199,058-005-006,Destination Assessor Parcel Number,Blank,38.065403,-120.571106,,2024-08-13,False,,,,,,180000.0,0,18,46.59353066252975
724 Ruble Rd Crows Landing 2024 Dairy AR,24,93,94,Pinnacle Dairy,724 Ruble Rd. Crowslanding Ca 95313,37.483244704773,-121.002979819199,058-005-006,Destination Assessor Parcel Number,Blank,38.065403,-120.571106,,2024-08-22,False,,,,,,120000.0,0,12,46.59353066252975
724 Ruble Rd Crows Landing 2024 Dairy AR,25,95,96,Pinnacle Dairy,724 Ruble Rd. Crowslanding Ca 95313,37.483244704773,-121.002979819199,058-005-006,Destination Assessor Parcel Number,Blank,38.065403,-120.571106,,2024-10-11,False,,,,,,400000.0,0,40,46.59353066252975
724 Ruble Rd Crows Landing 2024 Dairy AR,26,97,98,Pinnacle Dairy,724 Ruble Rd. Crowslanding Ca 95313,37.483244704773,-121.002979819199,058-005-006,Destination Assessor Parcel Number,Blank,38.065403,-120.571106,2024-12-10,2024-12-18,False,,,,,,840000.0,0,84,46.59353066252975
1007 S Hart Rd Modesto 2024 Dairy AR,6,81,82,Frank Gwerder Dairy Inc.,1007 S. Hart Rd. Modesto 95358,37.62778144685,-121.124126567097,012-052-008,Destination Assessor Parcel Number,Blank,33.303313,-115.959575,,2024-10-24,False,True,9500.0,60.0,,,570000.0,0,60,416.66302023888045
1007 S Hart Rd Modesto 2024 Dairy AR,7,83,84,Frank Gwerder Dairy Inc.,1007 S. Hart Rd. Modesto 95358,37.62778144685,-121.124126567097,017-065-012,Destination Assessor Parcel Number,Blank,37.621627,-121.143367,,2024-11-04,False,True,9500.0,100.0,,,950000.0,0,100,1.1375562899595546
1500 Fulkerth Rd Crows Landing 2024 Dairy AR,15,43,44,Alamo Dairy,1500 W. Fulkerth Rd. Crowslanding 95313,37.505571622171,-121.013470944489,"058-001-015,022-037-004,058-002-003",Destination Assessor Parcel Number,Blank,37.491439,-121.041676,2024-11-13,2024-11-15,False,True,10000.0,,,,2220000.0,0,222,1.830759881805913
2743 Baker Rd Modesto 2024 Dairy AR,3,73,74,Diamond O Dairy,2743 Baker Road Modesto CA 95358,37.599320024065,-121.094649425286,017-037-005,Destination Assessor Parcel Number,Blank,37.603472,-121.097399,,2024-09-25,False,True,9500.0,17.0,,,161500.0,0,17,0.32365724472992263
3449 Paradise Rd Modesto 2024 Dairy AR,2,54,55,Furtado Farms,3449 Paradise Road Modesto CA 95358,37.609516525459,-121.057328666121,"017-054-026,017-054-45",Destination Assessor Parcel Number,Blank,37.607159,-121.077789,,2024-11-04,False,True,9500.0,150.0,,,1425000.0,0,150,1.1342804452375295
5000 W Keyes Rd Modesto 2024 Dairy AR,1,15,16,Alamo Farms,5000 Keyes Rd. Modesto 95358,37.545854462099,-121.087299669668,"017-061-020,017-061-009,017-062-029,017-061-021,017-061-004,017-061-007",Destination Assessor Parcel Number,Blank,37.636789,-122.462718,2024-01-15,2024-01-24,False,,,,,,8589293.0,0,859,75.73964653534267
5000 W Keyes Rd Modesto 2024 Dairy AR,2,17,18,Alamo Farms,5000 Keyes Rd. Modesto 95358,37.545854462099,-121.087299669668,"017-061-020,017-061-009,017-062-029,017-061-021,017-061-004,017-061-007",Destination Assessor Parcel Number,Blank,37.636789,-122.462718,2024-02-05,2024-02-10,False,,,,,,5708478.0,0,571,75.73964653534267
5000 W Keyes Rd Modesto 2024 Dairy AR,3,19,20,Alamo Farms,5000 Keyes Rd. Modesto 95358,37.545854462099,-121.087299669668,"017-061-020,017-061-009,017-062-029,017-061-021,017-061-004,017-061-007",Destination Assessor Parcel Number,Blank,37.636789,-122.462718,2024-03-05,2024-03-12,False,,,,,,5670466.0,0,567,75.73964653534267
5000 W Keyes Rd Modesto 2024 Dairy AR,4,21,22,Alamo Farms,5000 Keves Rd. Modesto 95358,37.545854462099,-121.087299669668,"017-061-020,017-061-009,017-062-029,017-061-021,017-061-004,017-061-007",Destination Assessor Parcel Number,Blank,37.636789,-122.462718,2024-06-16,2024-06-30,False,,,,,,4966016.0,0,497,75.73964653534267
5000 W Keyes Rd Modesto 2024 Dairy AR,5,23,24,Alamo Farms,5000 Keyes Rd. Modesto 95358,37.545854462099,-121.087299669668,"017-061-020,017-061-009,017-062-029,017-061-021,017-061-004,017-061-007",Destination Assessor Parcel Number,Blank,37.636789,-122.462718,2024-07-08,2024-07-11,False,,,,,,2781941.0,0,278,75.73964653534267
5000 W Keyes Rd Modesto 2024 Dairy AR,6,25,26,Alamo Farms,5000 Keyes Rd. Modesto 95358,37.545854462099,-121.087299669668,"017-061-020,017-061-009,017-062-029,017-061-021,017-061-004,017-061-007",Destination Assessor Parcel Number,Blank,37.636789,-122.462718,2024-02-15,2024-02-15,False,,,,,,5670466.0,0,567,75.73964653534267
5000 W Keyes Rd Modesto 2024 Dairy AR,7,27,28,Alamo Farms,5000 Keves Rd. Modesto 95358,37.545854462099,-121.087299669668,"017-061-020,017-061-009,017-062-029,017-061-021,017-061-004,017-061-007",Destination Assessor Parcel Number,Blank,37.636789,-122.462718,2024-08-05,2024-08-12,False,,,,,,3553278.0,0,355,75.73964653534267
5000 W Keyes Rd Modesto 2024 Dairy AR,8,29,30,Alamo Farms,5000 Keves Rd. Modesto 95358,37.545854462099,-121.087299669668,"017-061-020,017-061-009,017-062-029,017-061-021,017-061-004,017-061-007",Destination Assessor Parcel Number,Blank,37.636789,-122.462718,2024-08-19,2024-08-22,False,,,,,,4982787.0,0,498,75.73964653534267
5000 W Keyes Rd Modesto 2024 Dairy AR,9,31,32,Alamo Farms,5000 Keyes Rd. Modesto 95358,37.545854462099,-121.087299669668,"017-061-020,017-061-009,017-062-029,017-061-021,017-061-004,017-061-007",Destination Assessor Parcel Number,Blank,37.636789,-122.462718,2024-09-02,2024-09-08,False,,,,,,5689769.0,0,569,75.73964653534267
5000 W Keyes Rd Modesto 2024 Dairy AR,10,33,34,Alamo Farms,5000 Keves Rd. Modesto 95358,37.545854462099,-121.087299669668,"017-061-020,017-061-009,017-062-029,017-061-021,017-061-004,017-061-007",Destination Assessor Parcel Number,Blank,37.636789,-122.462718,2024-12-05,2024-12-12,False,,,,,,5539502.0,0,554,75.73964653534267
5000 W Keyes Rd Modesto 2024 Dairy AR,11,35,36,Alamo Farms,5000 Keyes Rd. Modesto 95358,37.545854462099,-121.087299669668,"022-002-050,017-062-047,017-062-048,022-003-009,058-001-013,058-001-014,058-001-003",Destination Assessor Parcel Number,Blank,37.707363,-122.482716,2024-10-30,2024-11-04,False,True,,,,,4780000.0,0,478,77.3469836499667
5254 Blue Gum Ave Modesto 2024 Dairy AR,14,60,61,Blue Star Dairy,5254 Blue Gum Avenue Modesto CA 95358,37.659546806318,-121.091390457513,"012-030-050,012-031-026",Destination Assessor Parcel Number,Blank,37.927171,-121.715711,,2024-10-26,False,,,,10.0,1300.0,780000.0,0,78,38.835063455551875
5254 Blue Gum Ave Modesto 2024 Dairy AR,15,62,63,Blue Star Dairy,5254 Blue Gum Avenue Modesto CA 95358,37.659546806318,-121.091390457513,"012-030-050,012-031-026",Destination Assessor Parcel Number,Blank,37.927171,-121.715711,,2024-10-30,False,,,,5.0,1300.0,390000.0,0,39,38.835063455551875
5817 E Worden Ave Merced 2024 Dairy AR,1,109,110,Double B Dairy,5817 E Worden Ave Merced Merced 95340,37.236077174189,-120.383204128772,602 E Sandy Mush Rd M 95341 Merced,Destination Address,Farmer,37.187149281235,-120.477986186965,,2024-08-02,False,True,,,,,3980500.0,0,398,6.222065978748737
6480 W Bailey Rd Atwater 2024 Dairy AR,1,13,14,Twin Star Dairy,6480 W Bailey Ave Atwater Merced 95301,37.287719669524,-120.607039432056,Atwater 95301 Oak Ave Merced,Destination Address,Farmer,37.355804991608,-120.602916986962,,2024-04-30,False,,,,,,5783486.0,0,578,4.700790545819111
6480 W Bailey Rd Atwater 2024 Dairy AR,2,15,16,Twin Star Dairy,6480 W Bailey Ave Atwater Merced 95301,37.287719669524,-120.607039432056,Atwater 95301 Oak Ave Merced,Destination Address,Farmer,37.355804991608,-120.602916986962,,2024-06-30,False,,,,,,7021541.0,0,702,4.700790545819111
6480 W Bailey Rd Atwater 2024 Dairy AR,3,17,18,Twin Star Dairy,6480 W Bailey Ave Atwater Merced 95301,37.287719669524,-120.607039432056,Atwater 05301 Oak Ave Merced,Destination Address,Farmer,37.280227421357,-120.583511188836,,2024-09-30,False,,,,,,7021541.0,0,702,1.3956371331205897
6480 W Bailey Rd Atwater 2024 Dairy AR,4,19,20,Twin Star Dairy,6480 W Bailey Ave Atwater Merced 95301,37.287719669524,-120.607039432056,Atwater 95301 Oak Ave Merced,Destination Address,Farmer,37.355804991608,-120.602916986962,,2024-12-31,False,,,,,,4572630.0,0,457,4.700790545819111
6555 Blue Gum Rd Modeso 2024 Dairy AR,6,57,58,Double & Dairy,6555 Blue Gum Ave. Modesto 95358,37.660727062105,-121.114318315459,012-034-023,Destination Assessor Parcel Number,Blank,35.552162,-121.087588,,2024-08-20,False,,,,10.0,1000.0,600000.0,0,60,145.4010794036839
6555 Blue Gum Rd Modeso 2024 Dairy AR,7,59,60,Double & Dairy,6555 Blue Gum Ave. Modesto 95358,37.660727062105,-121.114318315459,012-034-023,Destination Assessor Parcel Number,Blank,35.552162,-121.087588,,2024-09-02,False,,,,10.0,1000.0,600000.0,0,60,145.4010794036839
6555 Blue Gum Rd Modeso 2024 Dairy AR,8,61,62,Double & Dairy,6555 Blue Gum Ave. Modesto 95358,37.660727062105,-121.114318315459,012-028-053,Destination Assessor Parcel Number,Blank,34.450579,-119.739451,,2024-10-24,False,True,9500.0,60.0,,,570000.0,0,60,234.3252538395496
6624 Crane Rd Oakdale 2024 Dairy AR,2,22,23,Crane Villa,6624 Crane Road Oakdale CA 95361,37.734875263523,-120.880931681432,063-027-002,Destination Assessor Parcel Number,Blank,37.738219,-120.874174,,2024-05-17,False,True,9500.0,40.0,,,380000.0,0,40,0.43608865342923775
"7413 S Mitchell Rd, Turlock 2024 Dairy AR",2,35,36,Machado Dairy,7413 S. Mitchell Rs. Turlock 95380,37.424464597099,-120.941026742077,057-023-015,Destination Assessor Parcel Number,Blank,38.080564,-120.547528,,2024-03-22,False,,,,,,240000.0,0,24,50.11775245609011
