Source PDF,Manifest Number,Start Page,End Page,Origin Dairy Name,Origin Dairy Address,Origin Dairy Latitude (Geocoded),Origin Dairy Longitude (Geocoded),Destination Address Final,Destination Address Final Source,Destination Type (Standardized),Destination Latitude (Geocoded),Destination Longitude (Geocoded),First Haul Date,Last Haul Date,Is Pipeline,Is Trucked,Wastewater Volume per Haul (Gallons),Wastewater Number of Hauls,Wastewater Hours Pumped (Hours),Wastewater Pumping Rate (GPM),Total Process Wastewater Exports (Gallons),"Number of <8,000 gal Hauls for Analysis","Number of >=8,000 gal Hauls for Analysis",origin_dest_miles
1007 S Hart Rd Modesto 2024 Dairy AR,6,81,82,Frank Gwerder Dairy Inc.,1007 S. Hart Rd. Modesto 95358,37.62778144685,-121.124126567097,012-052-008,Destination Assessor Parcel Number,Other,33.303313,-115.959575,,2024-10-24,False,True,9500.0,60.0,,,570000.0,0,60,416.66302023888045
1007 S Hart Rd Modesto 2024 Dairy AR,7,83,84,Frank Gwerder Dairy Inc.,1007 S. Hart Rd. Modesto 95358,37.62778144685,-121.124126567097,017-065-012,Destination Assessor Parcel Number,Other,37.621627,-121.143367,,2024-11-04,False,True,9500.0,100.0,,,950000.0,0,100,1.1375562899595546
1500 Fulkerth Rd Crows Landing 2024 Dairy AR,15,43,44,Alamo Dairy,1500 W. Fulkerth Rd. Crowslanding 95313,37.505571622171,-121.013470944489,"058-001-015,022-037-004,058-002-003",Destination Assessor Parcel Number,Other,37.491439,-121.041676,2024-11-13,2024-11-15,False,True,10000.0,,,,2220000.0,0,222,1.830759881805913
2743 Baker Rd Modesto 2024 Dairy AR,3,73,74,Diamond O Dairy,2743 Baker Road Modesto CA 95358,37.599320024065,-121.094649425286,017-037-005,Destination Assessor Parcel Number,Other,37.603472,-121.097399,,2024-09-25,False,True,9500.0,17.0,,,161500.0,0,17,0.32365724472992263
3449 Paradise Rd Modesto 2024 Dairy AR,2,54,55,Furtado Farms,3449 Paradise Road Modesto CA 95358,37.609516525459,-121.057328666121,"017-054-026,017-054-45",Destination Assessor Parcel Number,Other,37.607159,-121.077789,,2024-11-04,False,True,9500.0,150.0,,,1425000.0,0,150,1.1342804452375295
5000 W Keyes Rd Modesto 2024 Dairy AR,11,35,36,Alamo Farms,5000 Keyes Rd. Modesto 95358,37.545854462099,-121.087299669668,"022-002-050,017-062-047,017-062-048,022-003-009,058-001-013,058-001-014,058-001-003",Destination Assessor Parcel Number,Other,37.707363,-122.482716,2024-10-30,2024-11-04,False,True,,,,,4780000.0,0,478,77.3469836499667
5817 E Worden Ave Merced 2024 Dairy AR,1,109,110,Double B Dairy,5817 E Worden Ave Merced Merced 95340,37.236077174189,-120.383204128772,602 E Sandy Mush Rd M 95341 Merced,Destination Address,Farmer,37.187149281235,-120.477986186965,,2024-08-02,False,True,,,,,3980500.0,0,398,6.222065978748737
6555 Blue Gum Rd Modeso 2024 Dairy AR,8,61,62,Double & Dairy,6555 Blue Gum Ave. Modesto 95358,37.660727062105,-121.114318315459,012-028-053,Destination Assessor Parcel Number,Other,34.450579,-119.739451,,2024-10-24,False,True,9500.0,60.0,,,570000.0,0,60,234.3252538395496
6624 Crane Rd Oakdale 2024 Dairy AR,2,22,23,Crane Villa,6624 Crane Road Oakdale CA 95361,37.734875263523,-120.880931681432,063-027-002,Destination Assessor Parcel Number,Other,37.738219,-120.874174,,2024-05-17,False,True,9500.0,40.0,,,380000.0,0,40,0.43608865342923775
10213 W Main St Turlock 2024 Dairy AR,9,170,171,Robert Goletti + Sons Dairy,10213 W. Main St. Turlock 95380,37.493113389934,-120.96564380497,058-018-001,Destination Assessor Parcel Number,Other,38.081455,-120.556998,,2024-09-11,False,True,9500.0,2.0,,,650750.0,0,2,46.33257368863053
