Latitude,Longitude,Operator/Agency,Facility Name,Facility Address,County,Reg Measure,WDID,Place ID,Amount,Units [Tons] [Cu Yd],Hauled To,Amount,Units [Tons] [Cu Yd],Dates,Dates
34.002806,-117.616091,Gerben Hettinga,4-H Calf Ranch,9200 Edison Avenue,San Bernardino,211757,8 365775001,202610,"2,558.00",Ton,Composting Facility,"1,630.00",Ton,4/29/23,4/30/23
33.98047,-117.66042,Gerben Hettinga,4-H Calf Ranch,9200 Edison Avenue,San Bernardino,211757,8 365775001,202610,"2,558.00",Ton,San Bernardino County,928,Ton,9/14/23,12/19/23
33.98047,-117.66042,American Beef Packers Inc.,American Beef Packers,7777 Schaefer Avenue,San Bernardino,399659,8 366022001,763376,"3,368.00",Ton,San Bernardino County,"3,368.00",Ton,11/30/23,1/2/23
33.83914,-117.08288,Peter Boersma,Boersma Dairy,4050 Ramona Expressway,Riverside,209493,8 335675001,209966,"4,440.00",Ton,Riverside County,"2,190.00",Ton,12/1/23,12/30/23
33.83667,-177.07607,Peter Boersma,Boersma Dairy,4050 Ramona Expressway,Riverside,209493,8 335675001,209966,"4,440.00",Ton,Riverside County,"1,125.00",Ton,11/1/23,11/30/23
3384428,-117.04329,Peter Boersma,Boersma Dairy,4050 Ramona Expressway,Riverside,209493,8 335675001,209966,"4,440.00",Ton,Riverside County,"1,125.00",Ton,12/1/23,12/15/23
33.9982,-117.7291,Boys Republic,Boys Republic Farm,1907 Boys Republic Drive,San Bernardino,378852,8 365989001,765780,0,Ton,San Bernardino County,200,Ton,1/12/24,
33.767876,-117.036254,Chino Valley Dairy,Chino Valley Dairy #1,2733 Cottonwood Avenue,Riverside,441498,8 335715001,259493,"9,904.00",Ton,Riverside County,"3,904.00",Ton,10/23/23,11/6/23
32.582459,-116.192224,Chino Valley Dairy,Chino Valley Dairy #1,2733 Cottonwood Avenue,Riverside,441498,8 335715001,259493,"9,904.00",Ton,Imperial County,"6,000.00",Ton,5/1/23,12/31/23
32.582459,-116.192224,Chino Valley Dairy,Chino Valley Dairy #2,36580 Ramona Expressway,Riverside,441501,8 335716001,222210,"4,000.00",Ton,Imperial County,"4,000.00",Ton,5/1/23,12/31/23
33.767404,-117.03874,Jason Slegers,Chino Valley Dairy #3 ,32920 Ramona Expressway,Riverside,422636,8 335713001,245823,"10,854.00",Ton,Riverside County,"19,854.00",Ton,9/2/23,10/13/23
34.86333333,-116.9158333,Dick Van Dam,Dick Van Dam Dairy,3180 Cottonwood Avenue,Riverside,209407,8 335507001,630542,"7,947.00",Ton,San Bernardino County,"5,387.00",Ton,1/1/23,12/31/23
33.789268,-117.004758,Dick Van Dam,Dick Van Dam Dairy,3180 Cottonwood Avenue,Riverside,209407,8 335507001,630542,"7,947.00",Ton,Riverside County,"2,560.00",Ton,10/18/23,10/21/23
33.903563,-117.421863,Dyt Dairy,Dyt Dairy,32300 Ramona Expressway,Riverside,442133,8 335717001,233848,"39,967.00",Ton,*Riverside County (Assumed Lat. & Long),"21,255.00",Ton,2/20/23,6/5/23
33.707224,-117.070474,Dyt Dairy,Dyt Dairy,32300 Ramona Expressway,Riverside,442133,8 335717001,233848,"39,967.00",Ton,*Riverside County (Assumed Lat. & Long),"18,718.00",Ton,11/17/23,12/15/23
34.004586,-117.615394,Edward Haringa,El Dorado Dairy #2,13566 Bon View Avenue,San Bernardino,332823,8 365952001,270292,"1,440.00",Ton,Composting Facility,"1,440.00",Ton,1/1/23,9/1/23
33.5225,-117.0563889,Gerben Hettinga,GH Dairy - Expressway Dairy,35500 Ramona Expressway,Riverside,397102,8 335708001,630500,"7,826.00",Ton,Riverside County,"4,728.00",Ton,7/7/23,7/13/23
33.52166667,-117.0861111,Gerben Hettinga,GH Dairy - Expressway Dairy,35500 Ramona Expressway,Riverside,397102,8 335708001,630500,"7,826.00",Ton,Riverside County,"3,038.00",Ton,9/29/23,10/6/23
34.001647,-117.365583,Ronald Pietersma,Falloncrest Farms,8300 Pine Avenue,San Bernardino,301923,8 365938001,630612,"10,072.00",Ton,Composting Facility,"10,072.00",Ton,4/1/23,11/30/23
33.71997,-117.03869,Gerben Hettinga,GH Dairy - Hemet,1455 North Cawston Avenue,Riverside,419701,8 335712001,248091,"6,800.00",Ton,Riverside County,"6,800.00",Ton,8/31/23,9/19/23
33.97115,-117.6673,Gerben Hettinga,GH Dairy #2,7475 Eucalyptus Avenue,San Bernardino,349896,8 365964001,263052,4956,Ton,San Bernardino County,"1,990.00",Ton,1/25/23,1/28/23
33.48563,-117.626202,Gerben Hettinga,GH Dairy #2,7475 Eucalyptus Avenue,San Bernardino,349896,8 365964001,263052,4956,Ton,San Bernardino County,830,Ton,6/20/23,6/21/23
33.948563,-117.626202,Gerben Hettinga,GH Dairy #2,7475 Eucalyptus Avenue,San Bernardino,349896,8 365964001,263052,4956,Ton,San Bernardino County,830,Ton,6/20/23,6/21/23
33.978545,-117.669803,Gerben Hettinga,GH Dairy #2,7475 Eucalyptus Avenue,San Bernardino,349896,8 365964001,263052,4956,Ton,San Bernardino County,"2,136.00",Ton,1/25/23,1/28/23
34.0189,-117.64398,Gerben Hettinga,GH Dairy #4,8061 Edison Avenue,San Bernardino,388828,8 365998001,234045,"7,648.00",Ton,San Bernardino County,"3,192.00",Ton,8/23/23,10/3/23
