parameter_key,parameter_name,data_type,default,description,source
origin_dairy_name,Origin Dairy Name,text,NA,Name of the dairy facility,manifest
origin_dairy_address,Origin Dairy Address,text,NA,Address of the dairy facility,manifest
hauler_name,Hauler Name,text,NA,Name of hauling company/person,manifest
hauler_address,Hauler Address,text,NA,Address of hauling company/person,manifest
destination_name,Destination Name,text,NA,Name of destination facility/person,manifest
destination_address,Destination Address,text,NA,Address of destination,manifest
destination_type,Destination Type,text,NA,Composting Facility / Broker / Farmer / Digester / Other,manifest
destination_parcel_number,Destination Assessor Parcel Number,text,NA,APN of destination,manifest
haul_date,Haul Date,text,NA,Last date hauled,manifest
wastewater_haul_type,Wastewater Haul Type,text,NA,Truck or Pipeline,manifest
wastewater_amount_gallons,Total Process Wastewater Exports (Gallons),numeric,NA,Total wastewater hauled in gallons,manifest
wastewater_method,Method Used to Determine Wastewater Volume,text,NA,Method used to calculate wastewater amount,manifest
manure_haul_type,Manure Haul Type,text,NA,Truck or Pipeline,manifest
manure_amount_tons,Total Manure Amount (tons),numeric,NA,Total manure hauled in tons,manifest
manure_method,Method Used to Determine Manure Volume,text,NA,Method used to calculate manure amount,manifest
