zip,lat,lng,city,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all
90001,33.97365,-118.24904,Los Angeles,56403,6639.2,6037,Los Angeles,"{""06037"": 100}",Los Angeles,6037
90002,33.94906,-118.24679,Los Angeles,52735,6803.9,6037,Los Angeles,"{""06037"": 100}",Los Angeles,6037
90003,33.96409,-118.27368,Los Angeles,71708,7637.1,6037,Los Angeles,"{""06037"": 100}",Los Angeles,6037
90004,34.07624,-118.31101,Los Angeles,58844,7447.2,6037,Los Angeles,"{""06037"": 100}",Los Angeles,6037
90005,34.05939,-118.30909,Los Angeles,38747,12680,6037,Los Angeles,"{""06037"": 100}",Los Angeles,6037
90006,34.04807,-118.29411,Los Angeles,55192,11020.2,6037,Los Angeles,"{""06037"": 100}",Los Angeles,6037
90007,34.02819,-118.28486,Los Angeles,39253,6236.6,6037,Los Angeles,"{""06037"": 100}",Los Angeles,6037
90008,34.01037,-118.3428,Los Angeles,33443,4462.8,6037,Los Angeles,"{""06037"": 100}",Los Angeles,6037
90010,34.06209,-118.31262,Los Angeles,4478,4427.9,6037,Los Angeles,"{""06037"": 100}",Los Angeles,6037
90011,34.00689,-118.25861,Los Angeles,102784,9252.8,6037,Los Angeles,"{""06037"": 100}",Los Angeles,6037
90012,34.06679,-118.23878,Los Angeles,37463,3976,6037,Los Angeles,"{""06037"": 100}",Los Angeles,6037
90013,34.04435,-118.24,Los Angeles,14891,8151.7,6037,Los Angeles,"{""06037"": 100}",Los Angeles,6037
90014,34.04302,-118.25182,Los Angeles,9540,12303.5,6037,Los Angeles,"{""06037"": 100}",Los Angeles,6037
90015,34.03932,-118.26625,Los Angeles,25257,5759.2,6037,Los Angeles,"{""06037"": 100}",Los Angeles,6037
90016,34.02881,-118.35436,Los Angeles,46102,4948.6,6037,Los Angeles,"{""06037"": 100}",Los Angeles,6037
90017,34.05306,-118.26447,Los Angeles,28981,15827.1,6037,Los Angeles,"{""06037"": 100}",Los Angeles,6037
90018,34.0286,-118.31737,Los Angeles,48812,6280.5,6037,Los Angeles,"{""06037"": 100}",Los Angeles,6037
90019,34.04861,-118.33874,Los Angeles,59288,5914,6037,Los Angeles,"{""06037"": 100}",Los Angeles,6037
90020,34.06638,-118.30986,Los Angeles,38361,13320.6,6037,Los Angeles,"{""06037"": 100}",Los Angeles,6037
90021,34.02909,-118.23889,Los Angeles,3152,615.6,6037,Los Angeles,"{""06037"": 100}",Los Angeles,6037
90022,34.02455,-118.15608,Los Angeles,61638,5381.4,6037,Los Angeles,"{""06037"": 100}",Los Angeles,6037
90023,34.02264,-118.19986,Los Angeles,44608,3989.3,6037,Los Angeles,"{""06037"": 100}",Los Angeles,6037
90024,34.06565,-118.43521,Los Angeles,50830,6599.3,6037,Los Angeles,"{""06037"": 100}",Los Angeles,6037
90025,34.04551,-118.44583,Los Angeles,45238,6847.2,6037,Los Angeles,"{""06037"": 100}",Los Angeles,6037
90026,34.07883,-118.2637,Los Angeles,62902,6026.8,6037,Los Angeles,"{""06037"": 100}",Los Angeles,6037
90027,34.12515,-118.29049,Los Angeles,46049,2188.3,6037,Los Angeles,"{""06037"": 100}",Los Angeles,6037
