dairy_name,dairy_address,avg_milk_cows,avg_dry_cows,avg_bred_heifers,avg_heifers,avg_calves_4_6_mo,avg_calves_0_3_mo,avg_other,avg_steer,total_manure_gen_tons,avg_milk_lb_per_cow_day,total_manure_gen_n_after_nh3_losses_lbs,total_manure_gen_n_lbs,total_manure_gen_p_lbs,total_manure_gen_k_lbs,total_manure_gen_salt_lbs,total_ww_gen_gals,total_ww_gen_n_lbs,total_ww_gen_p_lbs,total_ww_gen_k_lbs,total_ww_gen_salt_lbs,applied_n_dry_manure_lbs,applied_p_dry_manure_lbs,applied_k_dry_manure_lbs,applied_salt_dry_manure_lbs,applied_ww_gals,applied_ww_n_lbs,applied_ww_p_lbs,applied_ww_k_lbs,applied_ww_salt_lbs,applied_to_removed_ratio_n,applied_to_removed_ratio_p,applied_to_removed_ratio_k,applied_to_removed_ratio_salt,total_exports_n_lbs,total_exports_p_lbs,total_exports_k_lbs,total_exports_salt_lbs,filename,avg_milk_prod_kg_per_cow,avg_milk_prod_l_per_cow,reported_annual_milk_production_l,total_herd_size,total_applied_n_lbs,total_applied_p_lbs,total_applied_k_lbs,total_applied_salt_lbs,total_reported_n_lbs,total_reported_p_lbs,total_reported_k_lbs,total_reported_salt_lbs,unaccounted_for_n_lbs,unaccounted_for_p_lbs,unaccounted_for_k_lbs,unaccounted_for_salt_lbs,total_ww_gen_liters,wastewater_estimated,wastewater_to_reported,wastewater_to_estimated,wastewater_ratio_discrepancy,calculated_manure_factor,manure_factor_discrepancy,nitrogen_discrepancy,usda_nitrogen_pct_deviation,ucce_nitrogen_pct_deviation,usda_nitrogen_estimate_lbs,ucce_nitrogen_estimate_lbs,estimated_annual_milk_production_l,wastewater_estimated_l,wastewater_to_restimated,city,region,sub_region,year,county,state,zip,latitude,longitude,template,manure_factor_avg,manure_factor_std,wastewater_ratio_avg,wastewater_ratio_std,usda_nitrogen_pct_dev_avg,usda_nitrogen_pct_dev_std,ucce_nitrogen_pct_dev_avg,ucce_nitrogen_pct_dev_std,facility_count,CADDID,address
Costa View Farms,16800 Road 15 Madera Madera 93637,6025.0,830.0,1550.0,1930.0,250.0,0.0,0.0,,201027.46,,,2515167.1,418873.33,1153843.09,,136920000.0,557208.2,60531.48,845787.45,,850737.42,325239.88,1247464.11,,557208.2,557208.2,60531.48,845787.45,3960712.25,0.83,1.1,1.15,0.59,,,,,2023AR_Costa View Farms Dairy #2_16800 Road 15_Madera.pdf,,,,10585.0,1407945.62,385771.36,2093251.56,3960712.25,557208.2,479404.81,1999630.54,0.0,-850737.4200000002,93633.45000000001,-93621.02000000002,-3960712.25,518298337.20000005,,,,,24.639765369695827,1.1397653696958265,,,,5194549566.4,2477132.2490053996,,,,Madera,R5,,2023,Madera,California,93637,36.988061981736,-120.27885697795,generic_r5,,,,,,,,,,,"16800 Road 15, Madera, California, 93637"
GoIden Star Dairy,4109 E Conejo AVE SeIma Fresno 93662,600.0,50.0,100.0,100.0,100.0,0.0,0.0,,18108.84,,,229839.68,,112934.54,,11475000.0,50705.0,6046.44,32287.75,,,,,,50705.0,50705.0,6046.44,32287.75,238349.47,1.29,0.79,0.64,1.41,,,,,2023AR_Golden Star Dairy_4109 E Conejo Ave_Fresno.pdf,,,,950.0,50705.0,6046.44,32287.75,238349.47,50705.0,6046.44,145222.28999999998,0.0,0.0,0.0,112934.53999999998,-238349.47,43437579.75,,,,,24.625618348634333,1.1256183486343332,,,,467932425.6,223271.794558,,,,Selma,R5,,2023,Fresno,California,93662,36.515457088368,-119.716613916548,generic_r5,,,,,,,,,,,"4109 E Conejo Ave, Selma, California, 93662"
—Souza's Dairy Inc.,8555 S Valentine AVE,1960.0,165.0,790.0,480.0,295.0,0.0,0.0,,68906.72,80.0,597191.29,853130.41,142251.63,388235.28,960807.75,48564000.0,111852.61,12800.84,169939.78,907310.46,112361.12,29432.39,136372.37,476525.4,111852.61,111852.61,12800.84,169939.78,907310.46,1.17,1.13,1.11,2.13,,,,,2023AR_Souza_s Dairy Inc._8555 S Valentine Ave_Fresno.pdf,36.28736,37.3759808,28989745.108,3690.0,224213.72999999998,42233.229999999996,306312.15,1383835.8599999999,709043.9,155052.47,558175.06,1868118.21,484830.17000000004,112819.24,251862.91000000003,484282.3500000001,183834651.24,11595898.043200001,6.341368320250221,6.341368320250221,0.0,26.24407917378823,2.7440791737882293,-1779952453.5100002,-99.96646028423054,-25.08774841532012,1780549644.8000002,797187.7461525,28989745.108,,,Fresno,R5,,2023,Fresno,California,93706,36.614440659347,-119.856282155894,generic_r5,,,,,,,,,,,"8555 S Valentine Ave, Fresno, California, 93706"
Vitoria Farms,12429 ave 24 ChowchiIla Madera 93610,425.0,75.0,100.0,80.0,35.0,0.0,0.0,,13554.94,,,172485.96,28474.96,,,11610000.0,57489.37,7275.2,60749.43,,13060.93,4147.26,7395.35,48625.24,57489.37,57489.37,7275.2,60749.43,567798.81,1.07,0.96,0.68,1.21,,,,,2023AR_Vitoria Farms Dairy_12433 Ave 24_Madera.pdf,,,,715.0,70550.3,11422.46,68144.78,616424.05,57489.37,35750.159999999996,60749.43,0.0,-13060.93,24327.699999999997,-7395.3499999999985,-616424.05,43948610.1,,,,,23.775507489839832,0.275507489839832,,,,350259649.6,173100.4431581,,,,Chowchilla,R5,,2023,Madera,California,93610,37.101057999349,-120.318386033326,generic_r5,,,,,,,,,,,"12429 Avenue 24, Chowchilla, California, 93610"
BANOS DAIRY,4667 Avenue 23 1/2 ChowchiIla Madera 93610,610.0,77.0,76.0,0.0,0.0,0.0,0.0,,17422.84,,,,37365.75,116019.09,,7344000.0,15970.33,2849.42,25411.93,,,,,,15970.33,15970.33,2849.42,25411.93,160784.78,1.4,1.71,1.56,1.98,,,,,2023AR_Banos Dairy_4667 Ave 23.5_Madera.pdf,,,,763.0,15970.33,2849.42,25411.93,160784.78,15970.33,40215.17,141431.02,0.0,0.0,37365.75,116019.09,-160784.78,27800051.040000003,,,,,24.374259189469694,0.8742591894696936,,,,450206185.6,217029.06495248,,,,Chowchilla,R5,,2023,Madera,California,93610,37.092641981827,-120.46210398919,generic_r5,,,,,,,,,,,"4667 Avenue 23 1/2, Chowchilla, California, 93610"
Grain MiIl Group West,5336 W HarIan AVE RiverdaIe Fresno 93656,0.0,0.0,0.0,150.0,0.0,0.0,0.0,,1469.48,,,14235.0,2409.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,2023AR_Monteiro Bros. Dairy #1_5336 W Harlan Ave_Fresno.pdf,,,,150.0,0.0,0.0,0.0,0.0,0.0,2409.0,1.0,0.0,0.0,2409.0,1.0,0.0,,,,,,26.777166119089397,3.2771661190893973,,,,37971363.2,16662.088722,,,,Riverdale,R5,,2023,Fresno,California,93656,36.445341547908,-119.895057125292,generic_r5,,,,,,,,,,,"5336 W Harlan Ave, Riverdale, California, 93656"
River VaIley Dairy,22700 S CorneIia AVE RiverdaIe Fresno 93656,1348.0,156.0,565.0,660.0,337.0,0.0,0.0,,50681.87,,,624377.83,103087.47,,,28080000.0,102270.03,6145.48,145322.47,,252623.26,42861.59,243083.23,,102270.03,102270.03,6145.48,145322.47,657928.66,0.68,0.56,0.62,0.48,,,,,2023AR_River Valley Dairy_22700 S Cornelia Ave_Fresno.pdf,,,,3066.0,354893.29000000004,49007.06999999999,388405.7,657928.66,102270.03,109232.95,145322.47,0.0,-252623.26000000004,60225.880000000005,-243083.23,-657928.66,106294312.80000001,,,,,25.426512542875074,1.9265125428750736,,,,1309619520.8,605196.2235659399,,,,Riverdale,R5,,2023,Fresno,California,93656,36.405961018245,-119.884747434354,generic_r5,,,,,,,,,,,"22700 S Cornelia Ave, Riverdale, California, 93656"
SOZINHO DAIRY #2,8489 E. Elkhorn AVE Selma Fresno 93662,1163.0,196.0,535.0,281.0,0.0,32.0,0.0,,41224.12,70.0,353423.46,504890.66,83974.85,222725.23,592668.75,28382000.0,79163.03,9243.09,79407.01,437259.12,124582.93,,,,79163.03,79163.03,,,,1.09,,,,,,,,2023AR_Sozinho Dairy #2_8489 E Elkhorn Ave_Fresno.pdf,31.75144,32.703983199999996,16222320.306611998,2207.0,203745.96,0.0,0.0,0.0,432586.49,93217.94,302132.24,1029927.87,228840.53,93217.94,302132.24,1029927.87,107437506.62,6488928.1226448,6.622819953580249,6.622819953580249,0.0,24.81229383417689,1.3122938341768915,-1064877837.34,-99.96682190309222,-29.938324311983926,1065231260.8000001,504446.1990515201,16222320.306611998,,,Selma,R5,,2023,Fresno,California,93662,36.485438349883,-119.640582678672,generic_r5,,,,,,,,,,,"8489 E Elkhorn Ave, Selma, California, 93662"
CSUF Ag Foundation Dairy,5450 N Sierra Vista AVE Fresno Fresno 93740,160.0,37.0,75.0,57.0,26.0,18.0,0.0,,5916.57,65.0,51772.67,73960.95,12028.98,30115.88,83844.15,7032000.0,25152.07,2861.08,18467.65,101703.09,48556.17,15487.63,66909.69,1649060.28,25152.07,25152.07,2861.08,18467.65,101703.09,0.95,1.9,1.92,5.79,,,,,2023AR_CSUF Dairy_5450 N Sierra Vista Ave_Fresno.pdf,29.48348,30.3679844,2183609.9182820003,373.0,73708.23999999999,18348.71,85377.34,1750763.37,76924.73999999999,14890.06,48583.53,185547.24,3216.5,-3458.6499999999996,-36793.81,-1565216.1300000001,26619003.12,873443.9673128002,12.190365548871954,12.190365548871954,0.0,23.604100002612316,0.10410000261231644,-152832396.13,-99.96613601630152,-31.972012110133573,152884168.79999998,76104.95563064,2183609.9182820003,,,Fresno,R5,,2023,Fresno,California,93710,36.831912120682,-119.740397940311,generic_r5,,,,,,,,,,,"N Sierra Vista Ave, Fresno, California, 93710"
Jose Ribeiro & Son Dairy Inc.,3760 E Mount Whitney AVE Laton Fresno 93242,700.0,200.0,200.0,200.0,150.0,100.0,0.0,,25027.73,,,316630.46,50902.35,131756.96,,4824000.0,31601.55,,1278.9,,,,,,31601.55,31601.55,,1278.9,217530.12,0.51,,0.02,0.88,,,,,2023AR_Jose Ribeiro & Son Dairy_3666 E Mt. Whitney Ave_Fresno.pdf,,,,1550.0,31601.55,0.0,1278.9,217530.12,31601.55,50902.35,133035.86,0.0,0.0,50902.35,131756.96,-217530.12,18260817.84,,,,,23.242057806095275,-0.25794219390472506,,,,646716543.1999999,326946.927247,,,,Laton,R5,,2023,Fresno,California,93242,36.431362250089,-119.73078922356,generic_r5,,,,,,,,,,,"3760 E Mount Whitney Ave, Laton, California, 93242"
