dairy_name,dairy_address,avg_milk_cows,avg_dry_cows,avg_bred_heifers,avg_heifers,avg_calves_4_6_mo,avg_calves_0_3_mo,avg_other,avg_steer,total_manure_gen_tons,avg_milk_lb_per_cow_day,total_manure_gen_n_after_nh3_losses_lbs,total_manure_gen_n_lbs,total_manure_gen_p_lbs,total_manure_gen_k_lbs,total_manure_gen_salt_lbs,total_ww_gen_gals,total_ww_gen_n_lbs,total_ww_gen_p_lbs,total_ww_gen_k_lbs,total_ww_gen_salt_lbs,applied_n_dry_manure_lbs,applied_p_dry_manure_lbs,applied_k_dry_manure_lbs,applied_salt_dry_manure_lbs,applied_ww_gals,applied_ww_n_lbs,applied_ww_p_lbs,applied_ww_k_lbs,applied_ww_salt_lbs,applied_to_removed_ratio_n,applied_to_removed_ratio_p,applied_to_removed_ratio_k,applied_to_removed_ratio_salt,total_exports_n_lbs,total_exports_p_lbs,total_exports_k_lbs,total_exports_salt_lbs,filename,avg_milk_prod_kg_per_cow,avg_milk_prod_l_per_cow,reported_annual_milk_production_l,total_herd_size,total_applied_n_lbs,total_applied_p_lbs,total_applied_k_lbs,total_applied_salt_lbs,total_reported_n_lbs,total_reported_p_lbs,total_reported_k_lbs,total_reported_salt_lbs,unaccounted_for_n_lbs,unaccounted_for_p_lbs,unaccounted_for_k_lbs,unaccounted_for_salt_lbs,total_ww_gen_liters,wastewater_estimated,wastewater_to_reported,wastewater_to_estimated,wastewater_ratio_discrepancy,calculated_manure_factor,manure_factor_discrepancy,nitrogen_discrepancy,usda_nitrogen_pct_deviation,ucce_nitrogen_pct_deviation,usda_nitrogen_estimate_lbs,ucce_nitrogen_estimate_lbs,estimated_annual_milk_production_l,wastewater_estimated_l,wastewater_to_restimated,city,region,sub_region,year,county,state,zip,latitude,longitude,template,manure_factor_avg,manure_factor_std,wastewater_ratio_avg,wastewater_ratio_std,usda_nitrogen_pct_dev_avg,usda_nitrogen_pct_dev_std,ucce_nitrogen_pct_dev_avg,ucce_nitrogen_pct_dev_std,facility_count,CADDID,address
River Oaks Dairy,3621 E. Mount Whitney Laton CA 93242,0.0,190.0,0.0,0.0,0.0,0.0,0.0,,44825.32,,,633431.95,107671.35,161990.65,1141211.19,,,,,,,,,,,,,,,,,,,,,,,2023AR_River Oaks Dairy_3621 E Mt. Whitney Ave_Fresno.pdf,,,,190.0,0.0,0.0,0.0,0.0,0.0,107671.35,161990.65,1141211.19,0.0,107671.35,161990.65,1141211.19,,881288.2512832,,,,235.92273684210525,212.42273684210525,,,,1158286268.8,57687.8,2203220.6282079997,,,Laton,R5,,2023,Fresno,California,93242,36.427626393935,-119.735407316934,innovative_ag,,,,,,,,,,,"3621 E Mount Whitney Ave, Laton, California, 93242"
Sweet Haven Dairy,10467 W. Kamm Avenue Riverdale CA 93656,1615.0,248.0,0.0,978.0,0.0,317.0,0.0,,65627.27,,,862651.95,145343.0,289631.15,1505056.8,,,,,,,,,,,,,,,,,,,,,,,2023AR_Black Diamond Dairy (former Sweet Haven)_10467 W Kamm Ave_Fresno.pdf,,,,3158.0,0.0,0.0,0.0,0.0,0.0,145343.0,289631.15,1505056.8,0.0,145343.0,289631.15,1505056.8,,8641263.221792642,,,,29.04550783885382,5.545507838853819,,,,1695808656.8,686018.36221798,21603158.054481603,,,Riverdale,R5,,2023,Fresno,California,93656,36.531716178419,-119.98029107227,innovative_ag,,,,,,,,,,,"10467 W Kamm Ave, Riverdale, California, 93656"
Zonneveld Dairies Complex,1523 E. Cerini Avenue Laton CA 93242,2192.0,819.0,0.0,5741.0,0.0,792.0,0.0,,219082.54,,,2973359.35,521503.24,1064518.85,,,,,,,,,,,,,,,,,,,,,,,,2023AR_Zonneveld Dairies Complex_1560 Cerini Ave_Fresno.pdf,,,,9544.0,0.0,0.0,0.0,0.0,0.0,521503.24,1064518.85,0.0,0.0,521503.24,1064518.85,0.0,,13966099.603230081,,,,42.0669195262704,18.566919526270397,,,,5661092833.6,1581238.6916817199,34915249.0080752,,,Laton,R5,,2023,Fresno,California,93242,36.459957208571,-119.771142368352,innovative_ag,,,,,,,,,,,"1523 E Cerini Ave, Laton, California, 93242"
L & J Vanderham,10772 W. Mount Whitney Avenue Riverdale CA 93656,2632.0,780.0,0.0,151.0,0.0,0.0,0.0,,108560.34,,,1524499.15,256978.25,420111.35,2722942.19,,,,,,,,,,,,,,,,,,,,,,,2023AR_L & J Vanderham Dairy_10772 W Mt. Whitney Ave_Fresno.pdf,,,,3563.0,0.0,0.0,0.0,0.0,0.0,256978.25,420111.35,2722942.19,0.0,256978.25,420111.35,2722942.19,,15826081.64935936,,,,31.310268743783926,7.810268743783926,,,,2805199185.6,1052724.60931348,39565204.1233984,,,Riverdale,R5,,2023,Fresno,California,93656,36.431456965595,-119.99397922307,innovative_ag,,,,,,,,,,,"10772 W Mount Whitney Ave, Riverdale, California, 93656"
G &A Dairy,2200 S. Marks Avenue Fresno CA 93706,1255.0,195.0,0.0,463.0,0.0,0.0,0.0,,41635.19,,,574082.95,96511.84,,,,,,,,,,,,,,,,,,,,,,,,,2023AR_G & A Dairy_2200 S Marks Ave_Fresno.pdf,,,,1913.0,0.0,0.0,0.0,0.0,0.0,96511.84,0.0,0.0,0.0,96511.84,0.0,0.0,,6725620.865056001,,,,25.710409267943778,2.2104092679437777,,,,1075853309.6000001,491679.31385523995,16814052.16264,,,Fresno,R5,,2023,Fresno,California,93706,36.698506663879,-119.840068705305,innovative_ag,,,,,,,,,,,"2200 S Marks Ave, Fresno, California, 93706"
Open Sky Ranch Dairy,12103 Elkhorn Avenue Riverdale CA 93656,4411.0,760.0,0.0,1521.0,0.0,0.0,0.0,,158504.68,,,2148751.35,365330.69,679947.55,3727324.81,,,,,,,,,,,,,,,,,,,,,,,2023AR_Open Sky Dairy_12103 W Elkhorn Ave_Fresno.pdf,,,,6692.0,0.0,0.0,0.0,0.0,0.0,365330.69,679947.55,3727324.81,0.0,365330.69,679947.55,3727324.81,,23984955.512554884,,,,27.674496396051854,4.174496396051854,,,,4095760931.2,1738972.5996410798,59962388.7813872,,,Riverdale,R5,,2023,Fresno,California,93656,36.484228547888,-120.011875340721,innovative_ag,,,,,,,,,,,"12103 W Elkhorn Ave, Riverdale, California, 93656"
Maple Dairy,19860 S. Maple Avenue Laton CA 93242,2294.0,392.0,0.0,1408.0,0.0,0.0,0.0,,85475.99,,,1186563.9,206648.4,384304.85,2035463.8,,,,,,,,,,,,,,,,,,,,,,,2023AR_Maple Dairy_19860 Maple Ave_Fresno.pdf,,,,4094.0,0.0,0.0,0.0,0.0,0.0,206648.4,384304.85,2035463.8,0.0,206648.4,384304.85,2035463.8,,12458632.857614081,,,,26.701880923247362,3.201880923247362,,,,2208699581.6000004,971924.79280384,31146582.1440352,,,Laton,R5,,2023,Fresno,California,93242,36.436021075494,-119.754510786946,innovative_ag,,,,,,,,,,,"19860 Maple Ave, Laton, California, 93242"
Fontes Dairy Farms - Dairy 2,20334 S Polk Avenue Riverdale CA 93656,2242.0,336.0,0.0,73.0,0.0,0.0,0.0,,65185.3,,,908601.8,154275.28,249046.8,1614807.16,,,,,,,,,,,,,,,,,,,,,,,2023AR_Fontes Dairy Farms - Dairy 2_20334 S Polk Ave_Fresno.pdf,,,,2651.0,0.0,0.0,0.0,0.0,0.0,154275.28,249046.8,1614807.16,0.0,154275.28,249046.8,1614807.16,,11957690.06214784,,,,25.025959327141944,1.525959327141944,,,,1684388152.0,790841.24317804,29894225.1553696,,,Riverdale,R5,,2023,Fresno,California,93656,36.439677433316,-119.891561167264,innovative_ag,,,,,,,,,,,"20334 S Polk Ave, Riverdale, California, 93656"
Kiss Cattle LLC,2585 South Chateau Fresno Ave. Fresno CA 93706,0.0,0.0,0.0,0.0,0.0,3607.0,0.0,,25808.6,,,222350.7,69171.15,164673.4,123538.66,,,,,,,,,,,,,,,,,,,,,,,"2023AR_Kiss Cattle, LLC_2585 S Chateau Fresno Ave_Fresno.pdf",,,,3607.0,0.0,0.0,0.0,0.0,0.0,69171.15,164673.4,123538.66,0.0,69171.15,164673.4,123538.66,,0.0,,,,58.672276389138254,35.172276389138254,,,,666894223.9999999,133555.53277034,0.0,,,Fresno,R5,,2023,Fresno,California,93706,36.696678528887,-119.938032366307,innovative_ag,,,,,,,,,,,"2585 S Chateau Fresno Ave, Fresno, California, 93706"
Fontes Dairy Farms - Dairy 1,5512 W Davis Avenue Riverdale CA 93656,585.0,78.0,0.0,463.0,0.0,0.0,0.0,,24787.06,,,330073.15,55615.05,112117.05,573548.19,,,,,,,,,,,,,,,,,,,,,,,2023AR_Fontes Dairy Farms - Dairy #1_5512 W Davis Ave_Fresno.pdf,,,,1126.0,0.0,0.0,0.0,0.0,0.0,55615.05,112117.05,573548.19,0.0,55615.05,112117.05,573548.19,,3075232.1610566406,,,,29.77816651951256,6.27816651951256,,,,640497630.4,252730.37385524,7688080.402641601,,,Riverdale,R5,,2023,Fresno,California,93656,36.477954986728,-119.896298451301,innovative_ag,,,,,,,,,,,"5512 W Davis Ave, Riverdale, California, 93656"
