dairy_name,dairy_address,avg_milk_cows,avg_dry_cows,avg_bred_heifers,avg_heifers,avg_calves_4_6_mo,avg_calves_0_3_mo,avg_other,avg_steer,total_manure_gen_tons,avg_milk_lb_per_cow_day,total_manure_gen_n_after_nh3_losses_lbs,total_manure_gen_n_lbs,total_manure_gen_p_lbs,total_manure_gen_k_lbs,total_manure_gen_salt_lbs,total_ww_gen_gals,total_ww_gen_n_lbs,total_ww_gen_p_lbs,total_ww_gen_k_lbs,total_ww_gen_salt_lbs,applied_n_dry_manure_lbs,applied_p_dry_manure_lbs,applied_k_dry_manure_lbs,applied_salt_dry_manure_lbs,applied_ww_gals,applied_ww_n_lbs,applied_ww_p_lbs,applied_ww_k_lbs,applied_ww_salt_lbs,applied_to_removed_ratio_n,applied_to_removed_ratio_p,applied_to_removed_ratio_k,applied_to_removed_ratio_salt,total_exports_n_lbs,total_exports_p_lbs,total_exports_k_lbs,total_exports_salt_lbs,filename,avg_milk_prod_kg_per_cow,avg_milk_prod_l_per_cow,reported_annual_milk_production_l,total_herd_size,total_applied_n_lbs,total_applied_p_lbs,total_applied_k_lbs,total_applied_salt_lbs,total_reported_n_lbs,total_reported_p_lbs,total_reported_k_lbs,total_reported_salt_lbs,unaccounted_for_n_lbs,unaccounted_for_p_lbs,unaccounted_for_k_lbs,unaccounted_for_salt_lbs,total_ww_gen_liters,wastewater_estimated,wastewater_to_reported,wastewater_to_estimated,wastewater_ratio_discrepancy,calculated_manure_factor,manure_factor_discrepancy,nitrogen_discrepancy,usda_nitrogen_pct_deviation,ucce_nitrogen_pct_deviation,usda_nitrogen_estimate_lbs,ucce_nitrogen_estimate_lbs,estimated_annual_milk_production_l,wastewater_estimated_l,wastewater_to_restimated,city,region,sub_region,year,county,state,zip,latitude,longitude,template,manure_factor_avg,manure_factor_std,wastewater_ratio_avg,wastewater_ratio_std,usda_nitrogen_pct_dev_avg,usda_nitrogen_pct_dev_std,ucce_nitrogen_pct_dev_avg,ucce_nitrogen_pct_dev_std,facility_count,CADDID,address
Mattos Bros. Dairy,4017 Kansas AVE Hanford Kings 93230,2100.0,300.0,900.0,400.0,350.0,0.0,0.0,,76576.9,85.0,,948638.7,157490.74,422864.88,1057770.0,18070500.0,94172.9,13456.15,159264.58,1091638.78,83676.24,37430.98,78652.74,77668.36,94172.9,94172.9,13456.15,159264.58,1091.0,0.74,1.09,0.92,1.15,,,,,2023AR_Mattos Brothers Dairy_4017 Kansas Ave_Kings.pdf,38.55532,39.7119796,34787694.1296,4050.0,177849.14,50887.130000000005,237917.32,78759.36,94172.9,170946.88999999998,582129.46,2149408.7800000003,-83676.24000000002,120059.75999999998,344212.13999999996,2070649.4200000002,68404251.405,13915077.651840001,1.9663347375127254,1.9663347375127254,0.0,26.24030509890019,2.7403050989001905,,,,1978747096.0,886052.135841,34787694.1296,,,Hanford,R5,S,2023,Kings,California,93230,36.210210009576,-119.531783982893,generic_r5,,,,,,,,,,,"4017 Kansas Ave, Hanford, California, 93230"
C&R Dairy,18321 Idaho AVE Lemoore Kings 93245,395.0,0.0,0.0,0.0,0.0,0.0,0.0,,9759.22,62.0,89338.38,127626.25,21535.67,73570.02,185985.75,2050000.0,9574.07,709.95,4240.72,27149.21,,,,,,,,,,,,,,,,,,2023AR_C&R Dairy_18321 Idaho Avenue_Kings.pdf,28.122704,28.966385119999998,4176228.5746759996,395.0,0.0,0.0,0.0,0.0,98912.45000000001,22245.62,77810.74,213134.96,98912.45000000001,22245.62,77810.74,213134.96,7760090.5,1670491.4298703999,1.858157512511643,1.858157512511643,0.0,24.706886075949367,1.2068860759493667,-252088906.42,-99.96457331992661,-25.507834159788334,252178244.79999998,119929.9,4176228.5746759996,,,Lemoore,R5,S,2023,Kings,California,93245,36.268888989589,-119.786996003141,generic_r5,,,,,,,,,,,"18321 Idaho Ave, Lemoore, California, 93245"
Sierra BIanca Ranch,15673 5th 1/2 AVE Hanford Kings 93230,3300.0,500.0,100.0,0.0,0.0,800.0,0.0,,97722.85,,,,208564.04,642820.95,,173365882.0,296562.4,54272.48,721750.94,,,,,,296562.4,296562.4,54272.48,721750.94,2018108.74,0.74,0.62,1.36,1.89,,,,,2023AR_Sierra Blanca Ranch_15673 5 1-2 Avenue_Kings.pdf,,,,4700.0,296562.4,54272.48,721750.94,2018108.74,296562.4,262836.52,1364571.89,0.0,0.0,208564.04,642820.95,-2018108.74,656260943.38162,,,,,24.839658983695116,1.3396589836951165,,,,2525158444.0,1194485.4692439998,,,,Hanford,R5,S,2023,Kings,California,93230,36.244121010529,-119.551736013755,generic_r5,,,,,,,,,,,"15673 5 1/2 Ave, Hanford, California, 93230"
SOZINHO DAIRY 1,11447 8 1/2 AVE Hanford Kings 93230,1200.0,190.0,350.0,750.0,275.0,375.0,0.0,,46561.72,69.0,,,92386.7,,608710.5,46180000.0,198842.29,15068.88,139318.81,922401.95,36790.2,20025.0,80576.6,1946086.2,198842.29,198842.29,15068.88,139318.81,922401.95,1.28,0.97,0.92,3.21,,,,,2023AR_Sozinho Dairy #1 and #3_11447 8 1-2 Avenue_Kings.pdf,31.297848,32.236783439999996,16355332.078283997,3140.0,235632.49,35093.88,219895.41,2868488.15,198842.29,107455.58,139318.81,1531112.45,-36790.19999999998,72361.70000000001,-80576.6,-1337375.7,174810233.8,6542132.831313599,10.688271749132294,10.688271749132294,0.0,24.876599979521373,1.376599979521373,,,,1203154844.8000002,568287.8463310001,16355332.078283997,,,Hanford,R5,S,2023,Kings,California,93230,36.307032013455,-119.607588993203,generic_r5,,,,,,,,,,,"11447 8 1/2 Ave, Hanford, California, 93230"
Richard Simas,17571 Flint AVE Hanford Kings 93230,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,17.5,1.0,,229.5,37.31,146.18,470.85,,,,,,,,,,,,,,,,,,,,,,,2023AR_Richard Simas Dairy_17571 Flint Avenue_Kings.pdf,0.453592,0.46719976,170.52791240000002,1.0,0.0,0.0,0.0,0.0,0.0,37.31,146.18,470.85,0.0,37.31,146.18,470.85,,68.21116496,,,,17.5,-6.0,,,,452200.0,303.62,170.52791240000002,,,Hanford,R5,S,2023,Kings,California,93230,36.36779100465,-119.774620039284,generic_r5,,,,,,,,,,,"17571 Flint Ave, Hanford, California, 93230"
Silva & Son Dairy,8331 Excelsior AVE Hanford Kings 93230,510.0,47.0,53.0,49.0,0.0,0.0,0.0,,14553.03,68.0,,187736.0,31439.26,96999.57,250941.15,3756000.0,5266.5,1882.31,13435.38,65093.0,54054.0,23738.0,86086.0,,5266.5,5266.5,1882.31,13435.38,65093.0,0.97,0.77,0.89,0.65,,,,,2023AR_Silva & Son Dairy_8331 Excelsior Avenue_Kings.pdf,30.844256,31.769583680000004,6458915.210062401,659.0,59320.5,25620.31,99521.38,65093.0,5266.5,33321.57,110434.95000000001,316034.15,-54054.0,7701.259999999998,10913.570000000007,250941.15000000002,14217999.96,2583566.0840249606,2.2012984375223956,2.2012984375223956,0.0,24.486978086452797,0.9869780864527975,,,,376050295.2,180446.56033096,6458915.210062401,,,Hanford,R5,S,2023,Kings,California,93230,36.398015979863,-119.60659800079,generic_r5,,,,,,,,,,,"8331 Excelsior Ave, Hanford, California, 93230"
Mendes & Toste Dairy,23568 Fargo AVE Lemoore Kings 93245,325.0,25.0,0.0,0.0,0.0,0.0,0.0,,8495.07,65.0,,111067.53,18596.56,,158775.0,23925000.0,78125.42,6780.71,77658.44,449118.89,,,,,78125.42,78125.42,6780.71,77658.44,449118.89,1.16,0.71,1.12,1.06,,,,,2023AR_Mendes & Toste Dairy_23568 Fargo Avenue_Kings.pdf,29.48348,30.3679844,3879510.0071000005,350.0,78125.42,6780.71,77658.44,449118.89,78125.42,25377.27,77658.44,607893.89,0.0,18596.56,0.0,158775.0,90565934.25,1551804.0028400002,23.344683757549983,23.344683757549983,0.0,24.27162857142857,0.7716285714285718,,,,219512608.79999998,106267.0,3879510.0071000005,,,Lemoore,R5,S,2023,Kings,California,93245,36.358770987186,-119.879502961356,generic_r5,,,,,,,,,,,"23568 Fargo Ave, Lemoore, California, 93245"
Neves Dairy,16831 Jackson AVE Lemoore Kings 93245,360.0,40.0,30.0,45.0,12.0,0.0,0.0,,10205.35,61.0,,130795.89,,66814.64,178704.0,,,,,,,,,,,,,,,,,,,,,,,2023AR_Neves Dairy_16831 Jackson Ave_Kings.pdf,27.669112,28.49918536,4160881.0625599995,487.0,0.0,0.0,0.0,0.0,0.0,0.0,66814.64,178704.0,0.0,0.0,66814.64,178704.0,,1664352.425024,,,,23.79410449735306,0.2941044973530609,,,,263706244.0,130223.36551244,4160881.0625599995,,,Lemoore,R5,S,2023,Kings,California,93245,36.254472996227,-119.75960603904,generic_r5,,,,,,,,,,,"16831 Jackson Ave, Lemoore, California, 93245"
—Sozinho Jerseys 2,5811 Lacey BLVD,898.0,102.0,71.0,82.0,25.0,0.0,0.0,,25122.74,61.0,226227.41,323182.02,53710.9,166665.41,446278.2,10944000.0,50466.62,5989.26,129623.12,499625.5,,,,,50466.62,50466.62,5989.26,129623.12,499625.5,0.82,0.19,0.99,1.35,,,,,2023AR_Sozinho Jerseys 2_5811 Lacey Boulevard_Kings.pdf,27.669112,28.49918536,10402202.6564,1178.0,50466.62,5989.26,129623.12,499625.5,276694.03,59700.16,296288.53,945903.7,226227.41000000003,53710.9,166665.41000000003,446278.19999999995,41427527.04,4160881.0625600005,3.982572577021611,3.982572577021611,0.0,23.722530965543715,0.2225309655437151,-648945374.19,-99.96515136992402,-29.642748418333287,649171601.6,321540.99956194,10402202.6564,,,Hanford,R5,S,2023,Kings,California,93230,36.327940082203,-119.562262572131,generic_r5,,,,,,,,,,,"5811 Lacey Blvd, Hanford, California, 93230"
Parreira Gaspar Dairy,17800 4th AVE Hanford Kings 93230,1208.0,135.0,268.0,247.0,172.0,0.0,0.0,,39350.15,,,496196.17,,236674.99,,64091006.0,223691.47,46566.21,485306.48,,,,,,223691.47,223691.47,46566.21,485306.48,2515208.57,1.05,1.13,2.23,3.08,,,,,2023AR_Parreira & Gaspar Dairy_17800 4th Avenue_Kings.pdf,,,,2030.0,223691.47,46566.21,485306.48,2515208.57,223691.47,46566.21,721981.47,0.0,0.0,0.0,236674.99,-2515208.57,242610735.02246,,,,,25.348102163132314,1.8481021631323138,,,,1016807876.0,471336.76778284,,,,,R5,S,2023,,,,,,generic_r5,,,,,,,,,,,
