dairy_name,dairy_address,avg_milk_cows,avg_dry_cows,avg_bred_heifers,avg_heifers,avg_calves_4_6_mo,avg_calves_0_3_mo,avg_other,avg_steer,total_manure_gen_tons,avg_milk_lb_per_cow_day,total_manure_gen_n_after_nh3_losses_lbs,total_manure_gen_n_lbs,total_manure_gen_p_lbs,total_manure_gen_k_lbs,total_manure_gen_salt_lbs,total_ww_gen_gals,total_ww_gen_n_lbs,total_ww_gen_p_lbs,total_ww_gen_k_lbs,total_ww_gen_salt_lbs,applied_n_dry_manure_lbs,applied_p_dry_manure_lbs,applied_k_dry_manure_lbs,applied_salt_dry_manure_lbs,applied_ww_gals,applied_ww_n_lbs,applied_ww_p_lbs,applied_ww_k_lbs,applied_ww_salt_lbs,applied_to_removed_ratio_n,applied_to_removed_ratio_p,applied_to_removed_ratio_k,applied_to_removed_ratio_salt,total_exports_n_lbs,total_exports_p_lbs,total_exports_k_lbs,total_exports_salt_lbs,filename,avg_milk_prod_kg_per_cow,avg_milk_prod_l_per_cow,reported_annual_milk_production_l,total_herd_size,total_applied_n_lbs,total_applied_p_lbs,total_applied_k_lbs,total_applied_salt_lbs,total_reported_n_lbs,total_reported_p_lbs,total_reported_k_lbs,total_reported_salt_lbs,unaccounted_for_n_lbs,unaccounted_for_p_lbs,unaccounted_for_k_lbs,unaccounted_for_salt_lbs,total_ww_gen_liters,wastewater_estimated,wastewater_to_reported,wastewater_to_estimated,wastewater_ratio_discrepancy,calculated_manure_factor,manure_factor_discrepancy,nitrogen_discrepancy,usda_nitrogen_pct_deviation,ucce_nitrogen_pct_deviation,usda_nitrogen_estimate_lbs,ucce_nitrogen_estimate_lbs,estimated_annual_milk_production_l,wastewater_estimated_l,wastewater_to_restimated,city,region,sub_region,year,county,state,zip,latitude,longitude,template,manure_factor_avg,manure_factor_std,wastewater_ratio_avg,wastewater_ratio_std,usda_nitrogen_pct_dev_avg,usda_nitrogen_pct_dev_std,ucce_nitrogen_pct_dev_avg,ucce_nitrogen_pct_dev_std,facility_count,CADDID,address
Still Waters Ranch LLC,5001 4th Avenue Hanford CA 93230,5133.0,711.0,0.0,2437.0,0.0,0.0,0.0,,188654.45,,,2561172.15,436011.48,814052.2,4459291.43,,,,,,,,,,,,,,,,,,,,,,,2023AR_Still Water Ranch LLC_5001 4th Avenue_Kings.pdf,,,,8281.0,0.0,0.0,0.0,0.0,0.0,436011.48,814052.2,4459291.43,0.0,436011.48,814052.2,4459291.43,,27106571.26578432,,,,28.00861639273761,4.508616392737611,,,,4874830988.0,2045058.68143676,67766428.1644608,,,Hanford,R5,S,2023,Kings,California,93230,36.399908990785,-119.52775798716,innovative_ag,,,,,,,,,,,"5001 4th Ave, Hanford, California, 93230"
High Roller Dairy,14782 8th Avenue Hanford CA 93230,1828.0,195.0,0.0,855.0,0.0,0.0,0.0,,60038.73,,,693573.0,115825.45,223569.8,,,,,,,,,,,,,,,,,,,,,,,,2023AR_High Roller Dairy_14782 8th Avenue_Kings.pdf,,,,2878.0,0.0,0.0,0.0,0.0,0.0,115825.45,223569.8,0.0,0.0,115825.45,223569.8,0.0,,9383400.696557442,,,,25.70365489858043,2.2036548985804316,,,,1551400783.2000003,709197.1657154,23458501.741393603,,,Hanford,R5,S,2023,Kings,California,93230,36.256735020437,-119.601946966537,innovative_ag,,,,,,,,,,,"14782 8th Ave, Hanford, California, 93230"
Poplar Lane Dairy,5387 Kent Avenue Hanford CA 93230,2188.0,312.0,0.0,1170.0,0.0,0.0,0.0,,83107.21,,,1123535.7,191062.9,363602.05,1951606.4,,,,,,,,,,,,,,,,,,,,,,,2023AR_Poplar Lane Dairy_5387 Kent Avenue_Kings.pdf,,,,3670.0,0.0,0.0,0.0,0.0,0.0,191062.9,363602.05,1951606.4,0.0,191062.9,363602.05,1951606.4,,11595898.043200001,,,,28.383133236853627,4.883133236853627,,,,2147490306.4,889014.2920316,28989745.108000003,,,Hanford,R5,S,2023,Kings,California,93230,36.225715985627,-119.552776040301,innovative_ag,,,,,,,,,,,"5387 Kent Ave, Hanford, California, 93230"
River Ranch Dairy,6155 Jackson Avenue Hanford CA 93230,355.0,390.0,0.0,1565.0,0.0,755.0,0.0,,188250.35,,,2545090.25,435003.35,776676.2,4458358.36,,,,,,,,,,,,,,,,,,,,,,,2023AR_River Ranch Dairy_6155 Jackson Avenue_Kings.pdf,,,,3065.0,0.0,0.0,0.0,0.0,0.0,435003.35,776676.2,4458358.36,0.0,435003.35,776676.2,4458358.36,,3455577.6168735996,,,,133.5455027504062,110.0455027504062,,,,4864389044.0,427993.23144430004,8638944.042183999,,,Hanford,R5,S,2023,Kings,California,93230,36.254587995938,-119.566094968266,innovative_ag,,,,,,,,,,,"6155 Jackson Ave, Hanford, California, 93230"
Backroad Ranch 42,4119 Houston Avenue Hanford CA 93230,0.0,48.0,0.0,0.0,0.0,0.0,0.0,,21714.14,,,307957.8,52603.8,75292.2,558171.43,,,,,,,,,,,,,,,,,,,,,,,2023AR_Backroad Ranch #2_4119 Houston Avenue_Kings.pdf,,,,48.0,0.0,0.0,0.0,0.0,0.0,52603.8,75292.2,558171.43,0.0,52603.8,75292.2,558171.43,,222641.24242944003,,,,452.37791666666664,428.87791666666664,,,,561093377.6,14573.76,556603.1060736,,,Hanford,R5,S,2023,Kings,California,93230,36.298550994274,-119.532818980297,innovative_ag,,,,,,,,,,,"4119 Houston Ave, Hanford, California, 93230"
Milkaholic Dairy LLC,6267 5th Ave Hanford CA 93230,1291.0,145.0,0.0,336.0,0.0,0.0,0.0,,38024.43,,,432229.35,72229.85,128607.75,,,,,,,,,,,,,,,,,,,,,,,,"2023AR_Milkaholic Dairy, LLC_6267 5th Avenue_Kings.pdf",,,,1772.0,0.0,0.0,0.0,0.0,0.0,72229.85,128607.75,0.0,0.0,72229.85,128607.75,0.0,,6660683.836014081,,,,24.391412404762438,0.8914124047624377,,,,982551271.1999999,473321.39873728,16651709.5900352,,,Hanford,R5,S,2023,Kings,California,93230,36.381201001993,-119.542399998541,innovative_ag,,,,,,,,,,,"6267 5th Ave, Hanford, California, 93230"
CowIifornia Dairy LLC,3742 Highway 198 Hanford CA 93230,0.0,61.0,0.0,214.0,0.0,0.0,0.0,,49807.55,,,632493.9,107716.61,181817.45,1114470.96,,,,,,,,,,,,,,,,,,,,,,,2023AR_Cowlifornia Dairy LLC_3742 Lacey Boulevard_Kings.pdf,,,,275.0,0.0,0.0,0.0,0.0,0.0,107716.61,181817.45,1114470.96,0.0,107716.61,181817.45,1114470.96,,282939.91225408006,,,,357.5745891624113,334.0745891624113,,,,1287027092.0000002,42292.06657672,707349.7806352001,,,Hanford,R5,S,2023,Kings,California,93230,36.331897013044,-119.518850035741,innovative_ag,,,,,,,,,,,"3742 Hwy 198, Hanford, California, 93230"
Wreden Ranch Dairy,8749 Lansing Avenue Hanford CA 93230,5655.0,741.0,0.0,2047.0,0.0,34.0,0.0,,175815.93,,,2462833.85,414778.7,698975.0,4446050.83,,,,,,,,,,,,,,,,,,,,,,,2023AR_Wreden Ranch Dairy_8749 Lansing Avenue_Kings.pdf,,,,8477.0,0.0,0.0,0.0,0.0,0.0,414778.7,698975.0,4446050.83,0.0,414778.7,698975.0,4446050.83,,29666945.553722877,,,,24.59290996496828,1.0929099649682783,,,,4543083631.2,2170594.4006886403,74167363.88430719,,,Hanford,R5,S,2023,Kings,California,93230,36.18922901628,-119.609711961639,innovative_ag,,,,,,,,,,,"8749 Lansing Ave, Hanford, California, 93230"
DeGroot Dairy North,2446 Grangeville Blvd Hanford CA 93230,1549.0,349.0,0.0,437.0,0.0,0.0,0.0,,53694.88,,,600895.85,98093.75,203399.9,1024328.7,,,,,,,,,,,,,,,,,,,,,,,2023AR_Degroot Dairies-North_2446 Grangeville Boulevard_Kings.pdf,,,,2335.0,0.0,0.0,0.0,0.0,0.0,98093.75,203399.9,1024328.7,0.0,98093.75,203399.9,1024328.7,,8803605.794397442,,,,26.092350874888854,2.5923508748888544,,,,1387475699.1999998,624812.97847676,22009014.4859936,,,Hanford,R5,S,2023,Kings,California,93230,36.349263981147,-119.500219998648,innovative_ag,,,,,,,,,,,"2446 Grangeville Blvd, Hanford, California, 93230"
Hollandia Farms Dairy,7905 Kansas Avenue Hanford CA 93230,2466.0,277.0,0.0,1009.0,0.0,0.0,0.0,,91923.07,,,1235247.6,211002.85,395192.8,2132853.61,,,,,,,,,,,,,,,,,,,,,,,2023AR_Hollandia Farms North Dairy_7905 Kansas Avenue_Kings.pdf,,,,3752.0,0.0,0.0,0.0,0.0,0.0,211002.85,395192.8,2132853.61,0.0,211002.85,395192.8,2132853.61,,12723019.332999041,,,,29.53686932994392,6.036869329943919,,,,2375292128.8,944909.9768033201,31807548.3324976,,,Hanford,R5,S,2023,Kings,California,93230,36.208300989218,-119.596596965378,innovative_ag,,,,,,,,,,,"7905 Kansas Ave, Hanford, California, 93230"
