dairy_name,dairy_address,avg_milk_cows,avg_dry_cows,avg_bred_heifers,avg_heifers,avg_calves_4_6_mo,avg_calves_0_3_mo,avg_other,avg_steer,total_manure_gen_tons,avg_milk_lb_per_cow_day,total_manure_gen_n_after_nh3_losses_lbs,total_manure_gen_n_lbs,total_manure_gen_p_lbs,total_manure_gen_k_lbs,total_manure_gen_salt_lbs,total_ww_gen_gals,total_ww_gen_n_lbs,total_ww_gen_p_lbs,total_ww_gen_k_lbs,total_ww_gen_salt_lbs,applied_n_dry_manure_lbs,applied_p_dry_manure_lbs,applied_k_dry_manure_lbs,applied_salt_dry_manure_lbs,applied_ww_gals,applied_ww_n_lbs,applied_ww_p_lbs,applied_ww_k_lbs,applied_ww_salt_lbs,applied_to_removed_ratio_n,applied_to_removed_ratio_p,applied_to_removed_ratio_k,applied_to_removed_ratio_salt,total_exports_n_lbs,total_exports_p_lbs,total_exports_k_lbs,total_exports_salt_lbs,filename,avg_milk_prod_kg_per_cow,avg_milk_prod_l_per_cow,reported_annual_milk_production_l,total_herd_size,total_applied_n_lbs,total_applied_p_lbs,total_applied_k_lbs,total_applied_salt_lbs,total_reported_n_lbs,total_reported_p_lbs,total_reported_k_lbs,total_reported_salt_lbs,unaccounted_for_n_lbs,unaccounted_for_p_lbs,unaccounted_for_k_lbs,unaccounted_for_salt_lbs,total_ww_gen_liters,wastewater_estimated,wastewater_to_reported,wastewater_to_estimated,wastewater_ratio_discrepancy,calculated_manure_factor,manure_factor_discrepancy,nitrogen_discrepancy,usda_nitrogen_pct_deviation,ucce_nitrogen_pct_deviation,usda_nitrogen_estimate_lbs,ucce_nitrogen_estimate_lbs,estimated_annual_milk_production_l,wastewater_estimated_l,wastewater_to_restimated,city,region,sub_region,year,county,state,zip,latitude,longitude,template,manure_factor_avg,manure_factor_std,wastewater_ratio_avg,wastewater_ratio_std,usda_nitrogen_pct_dev_avg,usda_nitrogen_pct_dev_std,ucce_nitrogen_pct_dev_avg,ucce_nitrogen_pct_dev_std,facility_count,CADDID,address
Curtimade Dairy Inc.,18337 Road 24 Tulare Tulare 93274,3300.0,400.0,1100.0,1150.0,1000.0,800.0,0.0,,111615.43,55.0,,1409303.56,,599458.95,1645785.0,80683966.0,146901.35,45646.72,403646.26,2175698.07,124813.7,61479.0,213921.6,,146901.35,146901.35,45646.72,403646.26,2175698.07,1.31,1.82,1.73,2.44,,,,,2023AR_Curtimade Dairy_18337 Road 24_W Tulare.pdf,24.94756,25.6959868,34702430.1734,7750.0,271715.05,107125.72,617567.86,2175698.07,146901.35,45646.72,1003105.21,3821483.07,-124813.69999999998,-61479.0,385537.35,1645785.0,305421891.73606,13880972.069360001,8.80116724419407,8.80116724419407,0.0,23.53423641000865,0.03423641000864919,,,,2884142711.2,1439973.503546,34702430.1734,,,Tulare,R5,,2023,Tulare,California,93274,36.12377611471,-119.51856520438,generic_r5,,,,,,,,,,,"18337 Road 24, Tulare, California, 93274"
LK Ranches,29007 Road 56 Visalia Tulare 93277,165.0,0.0,0.0,0.0,0.0,0.0,0.0,,4232.5,70.0,,,9368.34,31599.02,,25701000.0,68380.37,4996.83,32574.79,247217.4,306289.96,123601.44,459169.62,,68380.37,68380.37,4996.83,32574.79,247217.4,0.73,1.17,0.61,1.04,,,,,2023AR_L K Ranches Dairy_29007 Road 56_W Tulare.pdf,31.75144,32.703983199999996,1969597.3882199996,165.0,374670.33,128598.27,491744.41,247217.4,68380.37,14365.17,64173.81,247217.4,-306289.96,-114233.1,-427570.6,0.0,97288822.41000001,787838.9552879999,49.39528402701815,49.39528402701815,0.0,25.651515151515152,2.1515151515151523,,,,109367800.0,50097.3,1969597.3882199996,,,Visalia,R5,,2023,Tulare,California,93277,36.316596016435,-119.452866017564,generic_r5,,,,,,,,,,,"29007 Road 56, Visalia, California, 93277"
Mattos Brothers 43,3912 Avenue 232 Tulare Tulare 93274,1.0,4.0,218.0,4.0,1.0,1.0,0.0,,2184.17,1.0,,21297.3,3585.77,146.18,700.8,,,,,,59118.37,16725.84,57249.39,58818.72,,,,,,0.68,0.36,0.55,0.23,,,,,2023AR_Mattos Brothers Dairy #3_3926 Avenue 232_W Tulare.pdf,0.453592,0.46719976,852.6395620000001,229.0,59118.37,16725.84,57249.39,58818.72,0.0,3585.77,146.18,700.8,-59118.37,-13140.07,-57103.21,-58117.92,,341.05582480000004,,,,25.261182494484085,1.7611824944840855,,,,56438952.8,26252.0448338,852.6395620000001,,,Tulare,R5,,2023,Tulare,California,93274,36.211096018651,-119.485636995866,generic_r5,,,,,,,,,,,"3912 Avenue 232, Tulare, California, 93274"
Delta View Farms 43,4590 Avenue 304 Visalia Tulare 93291,600.0,300.0,350.0,0.0,0.0,0.0,0.0,,21596.49,60.0,,279986.3,45221.83,110963.54,351495.0,17670900.0,29405.16,9593.42,65586.98,397376.08,113115.0,42560.4,142053.0,,29405.16,29405.16,9593.42,65586.98,397376.08,1.16,1.9,1.19,1.58,,,,,2023AR_Delta View Farms #3_4590 Avenue 304_W Tulare.pdf,27.215519999999998,28.0319856,9208507.2696,1250.0,142520.16,52153.82,207639.97999999998,397376.08,29405.16,54815.25,176550.52,748871.0800000001,-113115.0,2661.4300000000003,-31089.459999999992,351495.00000000006,66891601.569000006,3683402.9078400005,7.264109112432253,7.264109112432253,0.0,21.007259479583123,-2.492740520416877,,,,558053301.6,312136.207018,9208507.2696,,,Visalia,R5,,2023,Tulare,California,93291,36.343265011135,-119.469354981309,generic_r5,,,,,,,,,,,"4590 Avenue 304, Visalia, California, 93291"
Friesian Farms Dairy,5593 Avenue 176 TuIare TuIare 93274,2608.0,292.0,773.0,1054.0,0.0,0.0,0.0,,90679.36,,,,186659.99,504596.43,,56232000.0,47946.46,13035.88,56195.18,,202488.0,75204.0,252000.0,,47946.46,47946.46,13035.88,56195.18,441314.58,1.0,1.24,0.62,2.8,,,,,2023AR_Friesian Farms Dairy_5593 Avenue 176_W Tulare.pdf,,,,4727.0,250434.46,88239.88,308195.18,441314.58,47946.46,199695.87,560791.61,0.0,-202488.0,111455.98999999999,252596.43,-441314.58,212861175.12,,,,,25.41166132408685,1.9116613240868503,,,,2343154662.3999996,1083442.2406339599,,,,,R5,,2023,,,,,,generic_r5,,,,,,,,,,,
Scheenstra Dairy,16800 Rd 96 Tipton TuIare 93272,3800.0,650.0,500.0,0.0,0.0,0.0,0.0,,112624.55,,,1440519.38,,727735.06,,66461639.0,218669.82,36636.8,272225.8,,172192.8,49707.6,128047.8,,92378.26,92378.26,17084.47,115531.73,446047.79,1.19,1.61,0.85,0.88,,,,,2023AR_Scheenstra Dairy_16800 Road 96 Road_W Tulare.pdf,,,,4950.0,264571.06,66792.07,243579.53,446047.79,218669.82,36636.8,999960.8600000001,0.0,-45901.23999999999,-30155.270000000004,756381.3300000001,-446047.79,251584552.88699,,,,,24.309588732997522,0.809588732997522,,,,2910218372.0,1406649.29574,,,,Tipton,R5,,2023,Tulare,California,93272,36.092220012141,-119.354005995837,generic_r5,,,,,,,,,,,"16800 Road 96, Tipton, California, 93272"
Dixie Creek South,24116 28 RD Tulare Tulare 93274,1.0,0.0,1950.0,2315.0,1165.0,0.0,0.0,,42926.19,75.0,325236.14,464623.05,72763.82,194.79,470.85,76558021.0,141820.59,29953.38,344563.85,1662358.19,,,,,141820.59,141820.59,29953.38,344563.85,1662358.19,1.19,1.0,2.61,2.35,,,,,2023AR_Dixie Creek South Dairy_24116 Road 28_W Tulare.pdf,34.0194,35.039981999999995,12789.593429999999,5431.0,141820.59,29953.38,344563.85,1662358.19,467056.73,102717.20000000001,344758.63999999996,1662829.04,325236.14,72763.82,194.78999999997905,470.85000000009313,289803498.27361,5115.837372,22659.320631243085,22659.320631243085,0.0,25.199704321881914,1.6997043218819137,-1108887513.4599998,-99.97067865113186,-37.11580240037122,1109212749.6,517198.5211145001,12789.593429999999,,,Tulare,R5,,2023,Tulare,California,93274,36.227920007067,-119.506237031662,generic_r5,,,,,,,,,,,"24116 Road 28, Tulare, California, 93274"
Adriano Nunes & Son Dairy-Farming,18675 32 RD Tulare Tulare 93274,790.0,144.0,295.0,300.0,140.0,109.0,0.0,,28885.28,65.0,,354358.56,57664.44,148697.14,405084.3,3874500.0,13440.94,1461.91,7616.32,89601.02,82225.3,29836.67,74837.51,47982.9,13440.94,13440.94,1461.91,7616.32,89601.02,0.8,1.09,0.68,0.28,,,,,2023AR_Adriano Nunes & Son Dairy Farming_18675 Road 32_W Tulare.pdf,29.48348,30.3679844,10352749.561804,1778.0,95666.24,31298.579999999998,82453.82999999999,137583.92,13440.94,59126.350000000006,156313.46000000002,494685.32,-82225.3,27827.770000000008,73859.63000000003,357101.4,14666571.045,4141099.8247216004,1.4166836507966587,1.4166836507966587,0.0,24.436619577530198,0.9366195775301982,,,,746395635.2,358893.69582297996,10352749.561804,,,Tulare,R5,,2023,Tulare,California,93274,36.127640007123,-119.501101020491,generic_r5,,,,,,,,,,,"18675 Road 32, Tulare, California, 93274"
Oakview Dairy,6775 232 AVE Tulare Tulare 93274,1347.0,64.0,193.0,0.0,0.0,0.0,0.0,,38300.43,75.0,,492087.28,83021.33,,648951.75,44832925.0,168165.96,29186.28,278411.85,1697643.91,,,,,168165.96,168165.96,29186.28,278411.85,1697643.91,0.91,0.79,1.6,2.28,,,,,2023AR_Oakview Dairy_6775 Avenue 232_W Tulare.pdf,34.0194,35.039981999999995,18046116.329729997,1604.0,168165.96,29186.28,278411.85,1697643.91,168165.96,112207.61,278411.85,2346595.66,0.0,83021.33,0.0,648951.7500000002,169711002.62425,7218446.531891999,9.404295058469746,9.404295058469746,0.0,25.85055082065999,2.35055082065999,,,,989683111.2,449846.37415564,18046116.329729997,,,Tulare,R5,,2023,Tulare,California,93274,36.207687014811,-119.426317009808,generic_r5,,,,,,,,,,,"6775 Avenue 232, Tulare, California, 93274"
Rio Blanco Dairy,5041 Ave. 192 Tulare Tulare 93274,1950.0,360.0,350.0,370.0,440.0,395.0,0.0,,66549.53,75.0,591954.08,845648.68,136720.56,379848.74,1000939.5,20593783.0,127748.39,22916.13,129376.8,619509.43,91992.0,30123.2,115533.6,,127748.39,127748.39,22916.13,129376.8,619509.43,1.25,1.26,0.83,1.07,,,,,2023AR_Rio Blanco Dairy_5041 Avenue 192_W Tulare.pdf,34.0194,35.039981999999995,29543960.823299997,3865.0,219740.39,53039.33,244910.40000000002,619509.43,719702.47,159636.69,509225.54,1620448.9300000002,499962.07999999996,106597.36,264315.13999999996,1000939.5000000001,77955912.10603,11817584.329319999,2.6386411954807927,2.6386411954807927,0.0,24.876060228772445,1.3760602287724453,-1719047901.12,-99.96557685737453,-27.12236857745287,1719639855.1999998,812257.5726533,29543960.823299997,,,Tulare,R5,,2023,Tulare,California,93274,36.137263982621,-119.459252021955,generic_r5,,,,,,,,,,,"5041 Avenue 192, Tulare, California, 93274"
