dairy_name,dairy_address,avg_milk_cows,avg_dry_cows,avg_bred_heifers,avg_heifers,avg_calves_4_6_mo,avg_calves_0_3_mo,avg_other,avg_steer,total_manure_gen_tons,avg_milk_lb_per_cow_day,total_manure_gen_n_after_nh3_losses_lbs,total_manure_gen_n_lbs,total_manure_gen_p_lbs,total_manure_gen_k_lbs,total_manure_gen_salt_lbs,total_ww_gen_gals,total_ww_gen_n_lbs,total_ww_gen_p_lbs,total_ww_gen_k_lbs,total_ww_gen_salt_lbs,applied_n_dry_manure_lbs,applied_p_dry_manure_lbs,applied_k_dry_manure_lbs,applied_salt_dry_manure_lbs,applied_ww_gals,applied_ww_n_lbs,applied_ww_p_lbs,applied_ww_k_lbs,applied_ww_salt_lbs,applied_to_removed_ratio_n,applied_to_removed_ratio_p,applied_to_removed_ratio_k,applied_to_removed_ratio_salt,total_exports_n_lbs,total_exports_p_lbs,total_exports_k_lbs,total_exports_salt_lbs,filename,avg_milk_prod_kg_per_cow,avg_milk_prod_l_per_cow,reported_annual_milk_production_l,total_herd_size,total_applied_n_lbs,total_applied_p_lbs,total_applied_k_lbs,total_applied_salt_lbs,total_reported_n_lbs,total_reported_p_lbs,total_reported_k_lbs,total_reported_salt_lbs,unaccounted_for_n_lbs,unaccounted_for_p_lbs,unaccounted_for_k_lbs,unaccounted_for_salt_lbs,total_ww_gen_liters,wastewater_estimated,wastewater_to_reported,wastewater_to_estimated,wastewater_ratio_discrepancy,calculated_manure_factor,manure_factor_discrepancy,nitrogen_discrepancy,usda_nitrogen_pct_deviation,ucce_nitrogen_pct_deviation,usda_nitrogen_estimate_lbs,ucce_nitrogen_estimate_lbs,estimated_annual_milk_production_l,wastewater_estimated_l,wastewater_to_restimated,city,region,sub_region,year,county,state,zip,latitude,longitude,template,manure_factor_avg,manure_factor_std,wastewater_ratio_avg,wastewater_ratio_std,usda_nitrogen_pct_dev_avg,usda_nitrogen_pct_dev_std,ucce_nitrogen_pct_dev_avg,ucce_nitrogen_pct_dev_std,facility_count,CADDID,address
Richard Westra Dairy,4070 Avenue 256 Tulare CA 93274,2174.0,321.0,0.0,156.0,0.0,0.0,0.0,,64797.64,,,914595.1,160457.65,259306.95,1578794.07,,,,,,,,,,,,,,,,,,,,,,,2023AR_Richard Westra Dairy_4070 Avenue 256_W Tulare.pdf,,,,2651.0,0.0,0.0,0.0,0.0,0.0,160457.65,259306.95,1578794.07,0.0,160457.65,259306.95,1578794.07,,11572706.2471136,,,,25.390196249322035,1.8901962493220346,,,,1674371017.6,774860.47227088,28931765.617784,,,Tulare,R5,,2023,Tulare,California,93274,36.252817989445,-119.48800597316,innovative_ag,,,,,,,,,,,"4070 Avenue 256, Tulare, California, 93274"
Williams Family Heifer Ranch,5339 Avenue 120 Corcoran CA 93212,989.0,214.0,0.0,390.0,0.0,87.0,0.0,,35748.83,,,489673.05,84818.7,157793.15,839270.34,,,,,,,,,,,,,,,,,,,,,,,2023AR_Williams Family Heifer Ranch_5339 Avenue 120_W Tulare.pdf,,,,1680.0,0.0,0.0,0.0,0.0,0.0,84818.7,157793.15,839270.34,0.0,84818.7,157793.15,839270.34,,5579946.13838784,,,,26.357752602589397,2.8577526025893967,,,,923749767.2,411797.61902514,13949865.3459696,,,Corcoran,R5,,2023,Kings,California,93212,36.007363267754,-119.449927554433,innovative_ag,,,,,,,,,,,"5339 Avenue 120, Corcoran, California, 93212"
Meadow Lake Dairy,6802 Avenue 120 Tipton CA 93272,4070.0,550.0,0.0,5128.0,0.0,1413.0,0.0,,215636.51,,,2769663.8,473313.75,1040268.25,4705643.42,,,,,,,,,,,,,,,,,,,,,,,2023AR_Meadowlake Dairy_6802 Avenue 120_W Tulare.pdf,,,,11161.0,0.0,0.0,0.0,0.0,0.0,473313.75,1040268.25,4705643.42,0.0,473313.75,1040268.25,4705643.42,,21429219.5838336,,,,32.336990909794125,8.836990909794125,,,,5572047418.4,2024664.4886915002,53573048.959584,,,Tipton,R5,,2023,Tulare,California,93272,36.009537985553,-119.420722005619,innovative_ag,,,,,,,,,,,"6802 Avenue 120, Tipton, California, 93272"
Sun Valley,255 Road 128 Delano CA 93215,1312.0,352.0,0.0,316.0,0.0,365.0,0.0,,49215.49,,,652291.5,112228.01,217452.4,1111064.58,,,,,,,,,,,,,,,,,,,,,,,2023AR_Sun Valley Dairy_255 Road 128_W Tulare.pdf,,,,2345.0,0.0,0.0,0.0,0.0,0.0,112228.01,217452.4,1111064.58,0.0,112228.01,217452.4,1111064.58,,7718229.737553921,,,,26.980372237486208,3.4803722374862076,,,,1271728261.6,553839.91526398,19295574.3438848,,,Delano,R5,,2023,Kern,California,93215,35.795202998349,-119.286634018312,innovative_ag,,,,,,,,,,,"255 Road 128, Delano, California, 93215"
Sunset Dairy,29049 Road 68 Visalia CA 93277,548.0,77.0,0.0,0.0,0.0,0.0,0.0,,15031.22,,,212072.3,35970.75,5279.25,381067.01,,,,,,,,,,,,,,,,,,,,,,,2023AR_Sunset Dairy_29049 Road 68_W Tulare.pdf,,,,625.0,0.0,0.0,0.0,0.0,0.0,35970.75,5279.25,381067.01,0.0,35970.75,5279.25,381067.01,,2898974.5108000003,,,,24.049951999999998,0.5499519999999976,,,,388406724.79999995,189762.5,7247436.277000001,,,Visalia,R5,,2023,Tulare,California,93277,36.318064986876,-119.424818996072,innovative_ag,,,,,,,,,,,"29049 Road 68, Visalia, California, 93277"
Jim Bakker Dairy,30030 Road 60 Visalia CA 93291,100.0,18.0,0.0,69.0,0.0,0.0,0.0,,24295.92,,,289620.2,47742.0,89534.5,519751.68,,,,,,,,,,,,,,,,,,,,,,,2023AR_Jim Bakker Dairy_30030 Road 60_W Tulare.pdf,,,,187.0,0.0,0.0,0.0,0.0,0.0,47742.0,89534.5,519751.68,0.0,47742.0,89534.5,519751.68,,547326.38763904,,,,169.61221797285842,146.11221797285842,,,,627806572.8,43491.72081212,1368315.9690976,,,Visalia,R5,,2023,Tulare,California,93291,36.336509993457,-119.438978964202,innovative_ag,,,,,,,,,,,"30030 Road 60, Visalia, California, 93291"
Blue Moon Dairy,13213 Road 80 Tipton CA 93272,1542.0,170.0,0.0,585.0,0.0,151.0,0.0,,54482.94,,,738606.7,127239.73,229767.5,1282909.14,,,,,,,,,,,,,,,,,,,,,,,2023AR_Blue Moon Farms_13213 Road 80_W Tulare.pdf,,,,2448.0,0.0,0.0,0.0,0.0,0.0,127239.73,229767.5,1282909.14,0.0,127239.73,229767.5,1282909.14,,7940870.97998336,,,,28.01987341757915,4.519873417579149,,,,1407839169.6000001,590370.6271714199,19852177.4499584,,,Tipton,R5,,2023,Tulare,California,93272,36.029520987547,-119.397027035894,innovative_ag,,,,,,,,,,,"13213 Road 80, Tipton, California, 93272"
Four J Farms Dairy,1223 W. Stanford Avenue Pixley CA 93256,2496.0,195.0,0.0,1135.0,0.0,0.0,0.0,,80858.22,,,928866.6,152967.85,294522.15,1630593.7,,,,,,,,,,,,,,,,,,,,,,,2023AR_Four J Farms Dairy_1223 West Stanford Avenue_W Tulare.pdf,,,,3826.0,0.0,0.0,0.0,0.0,0.0,152967.85,294522.15,1630593.7,0.0,152967.85,294522.15,1630593.7,,12481824.65370048,,,,26.03086314244782,2.5308631424478207,,,,2089376404.8000002,943117.8913298,31204561.6342512,,,Pixley,R5,,2023,Tulare,California,93256,35.992206011895,-119.305243016828,innovative_ag,,,,,,,,,,,"1223 W Stanford Ave, Pixley, California, 93256"
Gold Star Cattle Ranch 41,6020 Avenue 200 Tulare CA 93274,141.0,0.0,0.0,0.0,0.0,1170.0,0.0,,34389.15,,,102035.75,38923.6,139225.6,133623.54,,,,,,,,,,,,,,,,,,,,,,,"2023AR_Gold Star Enterprises, LLC_6020 Avenue 200_W Tulare.pdf",,,,1311.0,0.0,0.0,0.0,0.0,0.0,38923.6,139225.6,133623.54,0.0,38923.6,139225.6,133623.54,,654008.64963648,,,,121.22400709214982,97.72400709214982,,,,888615636.0,86131.7322654,1635021.6240912,,,Tulare,R5,,2023,Tulare,California,93274,36.149701008643,-119.43701399464,innovative_ag,,,,,,,,,,,"6020 Avenue 200, Tulare, California, 93274"
John Vander Poel Dairy,8001 Road 104 Pixley CA 93256,4684.0,430.0,0.0,4925.0,0.0,0.0,0.0,,165401.29,,,2236946.3,377447.96,686243.8,3947199.06,,,,,,,,,,,,,,,,,,,,,,,2023AR_John Vander Poel Dairy (Pixley)_8001 Road 104_W Tulare.pdf,,,,10039.0,0.0,0.0,0.0,0.0,0.0,377447.96,686243.8,3947199.06,0.0,377447.96,686243.8,3947199.06,,23720569.037169922,,,,23.916329244571834,0.41632924457183407,,,,4273969333.6000004,2099784.593039,59301422.5929248,,,Pixley,R5,,2023,Tulare,California,93256,35.938968982519,-119.344610972025,innovative_ag,,,,,,,,,,,"8001 Road 104, Pixley, California, 93256"
