dairy_name,dairy_address,avg_milk_cows,avg_dry_cows,avg_bred_heifers,avg_heifers,avg_calves_4_6_mo,avg_calves_0_3_mo,avg_other,avg_steer,total_manure_gen_tons,avg_milk_lb_per_cow_day,total_manure_gen_n_after_nh3_losses_lbs,total_manure_gen_n_lbs,total_manure_gen_p_lbs,total_manure_gen_k_lbs,total_manure_gen_salt_lbs,total_ww_gen_gals,total_ww_gen_n_lbs,total_ww_gen_p_lbs,total_ww_gen_k_lbs,total_ww_gen_salt_lbs,applied_n_dry_manure_lbs,applied_p_dry_manure_lbs,applied_k_dry_manure_lbs,applied_salt_dry_manure_lbs,applied_ww_gals,applied_ww_n_lbs,applied_ww_p_lbs,applied_ww_k_lbs,applied_ww_salt_lbs,applied_to_removed_ratio_n,applied_to_removed_ratio_p,applied_to_removed_ratio_k,applied_to_removed_ratio_salt,total_exports_n_lbs,total_exports_p_lbs,total_exports_k_lbs,total_exports_salt_lbs,filename,avg_milk_prod_kg_per_cow,avg_milk_prod_l_per_cow,reported_annual_milk_production_l,total_herd_size,total_applied_n_lbs,total_applied_p_lbs,total_applied_k_lbs,total_applied_salt_lbs,total_reported_n_lbs,total_reported_p_lbs,total_reported_k_lbs,total_reported_salt_lbs,unaccounted_for_n_lbs,unaccounted_for_p_lbs,unaccounted_for_k_lbs,unaccounted_for_salt_lbs,total_ww_gen_liters,wastewater_estimated,wastewater_to_reported,wastewater_to_estimated,wastewater_ratio_discrepancy,calculated_manure_factor,manure_factor_discrepancy,nitrogen_discrepancy,usda_nitrogen_pct_deviation,ucce_nitrogen_pct_deviation,usda_nitrogen_estimate_lbs,ucce_nitrogen_estimate_lbs,estimated_annual_milk_production_l,wastewater_estimated_l,wastewater_to_restimated,city,region,sub_region,year,county,state,zip,latitude,longitude,template,manure_factor_avg,manure_factor_std,wastewater_ratio_avg,wastewater_ratio_std,usda_nitrogen_pct_dev_avg,usda_nitrogen_pct_dev_std,ucce_nitrogen_pct_dev_avg,ucce_nitrogen_pct_dev_std,facility_count,CADDID,address
LegenDairy South,8360 Ave. 144 Tipton CA 93272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023AR_Legendairy South_8360 Avenue 144_W Tulare.pdf,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,0.0,0.0,,,Tipton,R5,,2023,Tulare,California,93272,36.051178068153,-119.387984391451,livingston,,,,,,,,,,,"8360 Avenue 144, Tipton, California, 93272"
Legacy Ranches 42 WODID5CSS4NC00219,8660 Ave. 96 pixIey CA 93256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023AR_Legacy Ranch 2 (Dairy)_8660 Avenue 96_W Tulare.pdf,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,0.0,0.0,,,Pixley,R5,,2023,Tulare,California,93256,35.964144074755,-119.386521559297,livingston,,,,,,,,,,,"8660 Avenue 96, Pixley, California, 93256"
,5730 Avenue 256 TuIare 93274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023AR_Pacheco & Associates ll Dairy.pdf,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,0.0,0.0,,,Tulare,R5,,2023,Tulare,California,93274,36.257172010959,-119.443255997935,livingston,,,,,,,,,,,"5730 Avenue 256, Tulare, California, 93274"
,2865 W. Prosperity Ave. TuIare CA 93274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023AR_Valov Brothers Farm LP_2865 West Prosperity Avenue_W Tulare.pdf,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,0.0,0.0,,,Tulare,R5,,2023,Tulare,California,93274,36.223616989434,-119.386850986344,livingston,,,,,,,,,,,"2865 W Prosperity Ave, Tulare, California, 93274"
,19199 Road 80 TuIare CA 93274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023AR_Joe V. Cardoza Trust Dairy_19199 Road 80_W Tulare.pdf,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,0.0,0.0,,,Tulare,R5,,2023,Tulare,California,93274,36.137829006714,-119.394764005856,livingston,,,,,,,,,,,"19199 Road 80, Tulare, California, 93274"
Machado Dairy & Farming Inc. woIp Sc54ncoo198,20180 Road 36 TuIare 93274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023AR_Machado Dairy_20180 Road 36_W Tulare.pdf,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,0.0,0.0,,,Tulare,R5,,2023,Tulare,California,93274,36.154295004045,-119.492649966615,livingston,,,,,,,,,,,"20180 Road 36, Tulare, California, 93274"
. LegenDairy Farms WODID5D545147N01,14685 Road 96 Tipton CA 93272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023AR_Legendairy Farms Dairy_14685 Road 96_W Tulare.pdf,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,0.0,0.0,,,Tipton,R5,,2023,Tulare,California,93272,36.054799598831,-119.35772349455,livingston,,,,,,,,,,,"14685 Road 96, Tipton, California, 93272"
M Bar 9 Dairy,8083 Ave. 160 Tipton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023AR_M Bar 9_8083 Avenue 160_W Tulare.pdf,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,0.0,0.0,,,Tipton,R5,,2023,Tulare,California,93272,36.079545987807,-119.385680034471,livingston,,,,,,,,,,,"8083 Avenue 160, Tipton, California, 93272"
F&L BarceIlos Dairy 42__,7585 Ave. 152 Tipton CA 93272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023AR_F & L Barcellos #2_7585 Avenue 152_W Tulare.pdf,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,0.0,0.0,,,Tipton,R5,,2023,Tulare,California,93272,36.065476134272,-119.402984496663,livingston,,,,,,,,,,,"7585 Avenue 152, Tipton, California, 93272"
MoonIight Dairy,5061 Avenue 280 VisaIia CA 93277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023AR_Moonlight Dairy_5061 Avenue 280_W Tulare.pdf,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,0.0,0.0,,,Visalia,R5,,2023,Tulare,California,93277,36.298085885032,-119.342640633603,livingston,,,,,,,,,,,"5061 Avenue 280, Visalia, California, 93277"
