dairy_name,dairy_address,avg_milk_cows,avg_dry_cows,avg_bred_heifers,avg_heifers,avg_calves_4_6_mo,avg_calves_0_3_mo,avg_other,avg_steer,total_manure_excreted_tons,avg_milk_lb_per_cow_day,total_manure_gen_n_after_nh3_losses_lbs,total_manure_gen_n_lbs,total_manure_gen_p_lbs,total_manure_gen_k_lbs,total_manure_gen_salt_lbs,total_ww_gen_gals,total_ww_gen_n_lbs,total_ww_gen_p_lbs,total_ww_gen_k_lbs,total_ww_gen_salt_lbs,applied_n_dry_manure_lbs,applied_p_dry_manure_lbs,applied_k_dry_manure_lbs,applied_salt_dry_manure_lbs,applied_ww_gals,applied_ww_n_lbs,applied_ww_p_lbs,applied_ww_k_lbs,applied_ww_salt_lbs,applied_to_removed_ratio_n,applied_to_removed_ratio_p,applied_to_removed_ratio_k,applied_to_removed_ratio_salt,total_exports_n_lbs,total_exports_p_lbs,total_exports_k_lbs,total_exports_salt_lbs,filename,avg_milk_prod_kg_per_cow,avg_milk_prod_l_per_cow,reported_annual_milk_production_l,total_herd_size,total_applied_n_lbs,total_applied_p_lbs,total_applied_k_lbs,total_applied_salt_lbs,total_reported_n_lbs,total_reported_p_lbs,total_reported_k_lbs,total_reported_salt_lbs,unaccounted_for_n_lbs,unaccounted_for_p_lbs,unaccounted_for_k_lbs,unaccounted_for_salt_lbs,total_ww_gen_liters,wastewater_estimated,wastewater_to_reported,wastewater_to_estimated,wastewater_ratio_discrepancy,calculated_manure_factor,manure_factor_discrepancy,nitrogen_discrepancy,usda_nitrogen_pct_deviation,ucce_nitrogen_pct_deviation,usda_nitrogen_estimate_lbs,ucce_nitrogen_estimate_lbs,estimated_annual_milk_production_l,wastewater_estimated_l,wastewater_to_restimated,total_manure_gen_tons,total_manure_gen_s_lbs,city,region,sub_region,year,county,state,zip,latitude,longitude,consultant,template,manure_factor_avg,manure_factor_std,wastewater_ratio_avg,wastewater_ratio_std,usda_nitrogen_pct_dev_avg,usda_nitrogen_pct_dev_std,ucce_nitrogen_pct_dev_avg,ucce_nitrogen_pct_dev_std,facility_count,CADDID
4-H Calf Ranch,9200 Edison Avenue,0.0,0.0,,0.0,,4500.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R8_animals.csv,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
4-H Calf Ranch,9200 Edison Avenue,0.0,0.0,,0.0,,4500.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R8_animals.csv,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
American Beef Packers,7777 Schaefer Avenue,0.0,776.0,,21.0,,0.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R8_animals.csv,,,,,,,,,,,,,,,,,,3599366.75260928,,,,,,,,,,,8998416.8815232,,,,,,,,,,,,,,,,,,,,,,,,,
Art Venegas Dairy - Euclid,13835 Euclid Avenue,90.0,25.0,,60.0,,20.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R8_animals.csv,,,,,,,,,,,,,,,,,,533411.3099872,,,,,,,,,,,1333528.274968,,,,,,,,,,,,,,,,,,,,,,,,,
Boersma Dairy,4050 Ramona Expressway,872.0,140.0,,140.0,,130.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R8_animals.csv,,,,,,,,,,,,,,,,,,4694019.52788736,,,,,,,,,,,11735048.8197184,,,,,,,,,,,,,,,,,,,,,,,,,
Boersma Dairy,4050 Ramona Expressway,872.0,140.0,,140.0,,130.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R8_animals.csv,,,,,,,,,,,,,,,,,,4694019.52788736,,,,,,,,,,,11735048.8197184,,,,,,,,,,,,,,,,,,,,,,,,,
Boersma Dairy,4050 Ramona Expressway,872.0,140.0,,140.0,,130.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R8_animals.csv,,,,,,,,,,,,,,,,,,4694019.52788736,,,,,,,,,,,11735048.8197184,,,,,,,,,,,,,,,,,,,,,,,,,
Boys Republic Farm,1907 Boys Republic Drive,0.0,77.0,,23.0,,40.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R8_animals.csv,,,,,,,,,,,,,,,,,,357153.65973056003,,,,,,,,,,,892884.1493264,,,,,,,,,,,,,,,,,,,,,,,,,
Bryan and Sons LLC (Gordon Hay Inc Dairy #8),13575 Walker Avenue,485.0,90.0,,10.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R8_animals.csv,,,,,,,,,,,,,,,,,,2667056.5499360003,,,,,,,,,,,6667641.374840001,,,,,,,,,,,,,,,,,,,,,,,,,
Chino Valley Dairy #1,2733 Cottonwood Avenue,1050.0,150.0,,300.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R8_animals.csv,,,,,,,,,,,,,,,,,,5566031.060736001,,,,,,,,,,,13915077.651840001,,,,,,,,,,,,,,,,,,,,,,,,,
