Source PDF,Origin Dairy Address
  2024AR_Hettinga Farms Dairy_13400 Ave 120_Tulare,13400 Ave 120 Tulare CA
  2024AR_Triple H Dairy #1_13255 Ave 212_Tulare,13255 Ave 212 Tulare CA
  2024AR_Little H Dairy_15804 Ave 248_Tulare,15804 Ave 248 Tulare CA
  2024AR_Cream Top Dairy_13075 Ave 200_Tulare,Cream Top Dairy 13075 Ave 200 Tulare
  11159 West Peach Street Livingston 2024 Dairy AR,11159 West Peach Street Livingston CA
  2024AR_Pires Dairy_13464 Ave 152_Tulare,13464 Ave 152 Tulare CA
  2024AR_GTA Dairy_16197 Ave 172_Tulare,16197 Ave 172 Tulare CA
  8600 Dos Rios Ln Modesto 2024 Dairy AR,8600 Dos Rios Ln Modesto CA
  9863 S Van Allen Rd Stockton 2024 Dairy AR,9863 S Van Allen Rd Stockton CA
  2024AR_River Oaks Dairy_3621 E Mt. Whitney Ave_Fresno,3621 E Mt. Whitney Ave Fresno CA
  8450 S Hwy 33 Gustine 2024 Dairy AR,8450 S Hwy 33 Gustine CA
