Source PDF,Street no,Rest of PDF,County,Manifest Number,Start Page,End Page,Manifest Type,DONE,Origin Dairy Name,Origin Dairy Address,Hauler Name,Hauler Address,Destination Name,Destination Contact Address,Destination Address,Destination Nearest Cross Street,Destination Assessor Parcel Number,Destination Type (Standardized),Total Process Wastewater Exports (Gallons),Total Manure Amount (tons),Manure Solids (%),Manure Moisture (%),Method Used to Determine Volume of Manure,Method Used to Determine Volume of Wastewater,First Haul Date,Last Haul Date,Manure Number of Hauls,Manure Mass per Haul (tons),Wastewater Volume per Haul (Gallons),Wastewater Number of Hauls,Wastewater Hours Pumped (Hours),Wastewater Pumping Rate (GPM),Is Pipeline,Parameter Template
2024AR_AJ Selnders Dairy_625 E Coleman Ave_Fresno,,2024AR_AJ Selnders Dairy_625 E Coleman Ave_Fresno,fresno_madera,1,48,49,manure,x,Aj Slenders Dai,625 E Coleman Ave Laton Fresno 93242,Medeiros Farms,12137 S Hughes Ave Caruthers Ca 93609,Medeiros Farms (59) 867-8876,,Caruthers 93609,Hughes Fresno,,Farmer,,2100,57.3,,Weighted Average,,,10/2/24,,,,,,,FALSE,R5-2007-0035_software
2024AR_AJ Selnders Dairy_625 E Coleman Ave_Fresno,,2024AR_AJ Selnders Dairy_625 E Coleman Ave_Fresno,fresno_madera,2,50,51,wastewater,x,Aj Slenders Dai,625 E Coleman Ave Laton Fresno 93242,Aj Slenders Dairy,625 E Coleman Ave Laton Ca 93242,Netto A 559) 269-4617,10044 Flint Ave Hanford CA 93230,Laton 93242,2G-1 2G-2 2G-3 Fresno,,Farmer,5420000,,,,,Gpm X Runtime,,7/30/24,,,,,,,FALSE,R5-2007-0035_software
2024AR_AJ Selnders Dairy_625 E Coleman Ave_Fresno,,2024AR_AJ Selnders Dairy_625 E Coleman Ave_Fresno,fresno_madera,3,52,53,wastewater,x,Aj Slenders Dai,625 E Coleman Ave Laton Fresno 93242,Aj Sienders Dairy,625 E Coleman Ave Laton Ca 93242,Netto Ag (559) 269-4617,10044 Flint Ave Hanford CA 93230,Laton 93242,2G-1 2G-2 2G-3 Fresno,,Farmer,6642000,,,,,Gpm X Runtime,,5/10/24,,,,,,,FALSE,R5-2007-0035_software
2024AR_AJ Selnders Dairy_625 E Coleman Ave_Fresno,,2024AR_AJ Selnders Dairy_625 E Coleman Ave_Fresno,fresno_madera,4,54,55,wastewater,x,Aj Slenders Dai,625 E Coleman Ave Laton Fresno 93242,Aj Slenders Dairy,625 E Coleman Ave Laton Ca 93242,Netto Ag (559) 269-4617,10044 Flint Ave Hanford CA 93230,Laton 93242,2G-1 2G-2 2G-3 Fresno,,Farmer,5400000,,,,,Gpm X Runtime,,2/17/24,,,,,,,FALSE,R5-2007-0035_software
2024AR_Banos Dairy_4667 Ave 23.5_Madera,,2024AR_Banos Dairy_4667 Ave 23.5_Madera,fresno_madera,1,25,26,manure,x,Banos Dairy,4667 Avenue 23 1/2 Chowchilla Madera 93610,J & F Fertilizer,1275 North Avenue Gustine Ca 95322,J & F Fertilizer (209) 495-1964,1275 North Avenue Gustine CA 95322,1275 North Avenue Gustine 95322,North Avenue Merced,,Broker,,1800,62.4,,An Averaged Scale Weighed Trucks Multiplied By The Number Of Trucks Exported,,,10/1/24,,,,,,,FALSE,R5-2007-0035_software
2024AR_Banos Dairy_4667 Ave 23.5_Madera,,2024AR_Banos Dairy_4667 Ave 23.5_Madera,fresno_madera,2,27,28,manure,x,Banos Dairy,4667 Avenue 23 1/2 Chowchilla Madera 93610,J & F Fertilizer,1275 North Avenue Gustine Ca 95322,J & F Fertilizer (209) 495-1964,1275 North Avenue Gustine CA 95322,1275 North Avenue Gustine 95322,North Avenue Merced,,Broker,,2100,83.3,,An Averaged Scale Weighed Trucks Multiplied By The Number Of Trucks Exported,,,6/10/24,,,,,,,FALSE,R5-2007-0035_software
2024AR_Big De Cattle Dairy_2947 W Manning Ave_Fresno,,2024AR_Big De Cattle Dairy_2947 W Manning Ave_Fresno,fresno_madera,1,68,69,manure,x,Big De Dairy Lp,2947 W Manning Ave Fresno Fresno 93706,Larry Burrows Spreading,11751 W. Jensen Avenue Kerman Ca 93630,Larry Burrow Spreading (559) 846-9671,11751 W. Jensen Avenue Kerman CA 93630,Fresno 93706,Central And Dickensen Avenues Fresno,,Broker,,2500,58.2,,An Average Of Scale Weighed Loads Multiplied By The Total Number Of Loads Exported,,,1/25/24,,,,,,,FALSE,R5-2007-0035_software
2024AR_Big De Cattle Dairy_2947 W Manning Ave_Fresno,,2024AR_Big De Cattle Dairy_2947 W Manning Ave_Fresno,fresno_madera,2,70,71,manure,x,Big De Dairy Lp,2947 W Manning Ave Fresno Fresno 93706,Larry Burrows Spreading,11751 W. Jensen Avenue Kerman Ca 93630,Larry Burrow Spreading (559) 846-9671,11751 W. Jensen Avenue Kerman CA 93630,Fresno 93706,Cornelia And American Avenues Fresno,,Broker,,2875,58.2,,An Average Of Scale Weighed Loads Multiplied By The Total Number Of Loads Exported,,,1/26/24,,,,,,,FALSE,R5-2007-0035_software
2024AR_Big De Cattle Dairy_2947 W Manning Ave_Fresno,,2024AR_Big De Cattle Dairy_2947 W Manning Ave_Fresno,fresno_madera,3,72,73,manure,x,Big De Dairy Lp,2947 W Manning Ave Fresno Fresno 93706,Larry Burrows Spreading,11751 W. Jensen Avenue Kerman Ca 93630,Larry Burrow Spreading (559) 846-9671,11751 W. Jensen Avenue Kerman CA 93630,Fresno 93706,Central And Rolinda Avenues Fresno,,Broker,,2000,81.8,,An Average Of Scale Weighed Loads Multiplied By The Total Number Of Loads Exported,,,4/27/24,,,,,,,FALSE,R5-2007-0035_software
2024AR_Big De Cattle Dairy_2947 W Manning Ave_Fresno,,2024AR_Big De Cattle Dairy_2947 W Manning Ave_Fresno,fresno_madera,4,74,75,manure,x,Big De Dairy Lp,2947 W Manning Ave Fresno Fresno 93706,Larry Burrows Spreading,11751 W. Jensen Avenue Kerman Ca 93630,Larry Burrow Spreading (559) 846-9671,11751 W. Jensen Avenue Kerman CA 93630,Fresno 93706,Central And Rolinda Avenues Fresno,,Broker,,2000,,,An Average Of Scale Weighed Loads Multiplied By The Total Number Of Loads Exported,,,5/25/24,,,,,,,FALSE,R5-2007-0035_software
2024AR_Black Diamond Dairy_18789 S Fruit Ave_Fresno,,2024AR_Black Diamond Dairy_18789 S Fruit Ave_Fresno,fresno_madera,1,36,37,wastewater,x,Black Diamond Dai,18541 S Fruit Ave Riverdale Fresno 93656,Black Diamond,18607 Fruit Ave Riverdale Ca 93656,Paul Singh (559) 352-0608,18607 Fruit Riverdale CA 93656,Riverdale 93656,Fruit Fresno,,Farmer,6400000,,,,,Gpm X Runtime,,2/25/24,,,,,,,FALSE,R5-2007-0035_software
2024AR_Black Diamond Dairy_18789 S Fruit Ave_Fresno,,2024AR_Black Diamond Dairy_18789 S Fruit Ave_Fresno,fresno_madera,2,38,39,wastewater,x,Black Diamond Dairy,18541 S Fruit Ave Riverdale Fresno 93656,Black Diamond,18607 Fruit Ave Riverdale Ca 93656,Paul Singh (559) 352-0608,18607 Fruit Riverdale CA 93656,Riverdale 93656,Fruit Fresno,,Farmer,6250000,,,,,Gpm X Runtime,,5/10/24,,,,,,,FALSE,R5-2007-0035_software
2024AR_Black Diamond Dairy_18789 S Fruit Ave_Fresno,,2024AR_Black Diamond Dairy_18789 S Fruit Ave_Fresno,fresno_madera,3,40,41,manure,x,Black Diamond Dai,18541 S Fruit Ave Riverdale Fresno 93656,Thomas Bros Spreading,19721 Excesisior Riverdale Ca 93656,Mike Smith (559) 867-3186,1755 Mt. Riverdale CA 93656,Riverdale 93656,Across From Andrew/Fruit & West Fresno,,Farmer,,3580,71.8,,Weighted Average,,,10/10/24,,,,,,,FALSE,R5-2007-0035_software
2024AR_Black Diamond Dairy_18789 S Fruit Ave_Fresno,,2024AR_Black Diamond Dairy_18789 S Fruit Ave_Fresno,fresno_madera,4,42,43,wastewater,x,Black Diamond Dai,18541 S Fruit Ave Riverdale Fresno 93656,Netto Ag,10044 Flint Ave Hanford Ca 93230,Mike Smith (559) 867-3186,1755 Mt. Riverdale CA 93656,Riverdale 93656,Fruit Fresno,,Farmer,2519000,,,,,Gpm X Runtime,,10/10/24,,,,,,,FALSE,R5-2007-0035_software
2024AR_Black Diamond Dairy_18789 S Fruit Ave_Fresno,,2024AR_Black Diamond Dairy_18789 S Fruit Ave_Fresno,fresno_madera,5,44,45,wastewater,x,Black Diamond Dairy,18541 S Fruit Ave Riverdale Fresno 93656,Black Diamond,18607 Fruit Ave Riverdale Ca 93656,Paul Singh (559) 352-0608,18607 Fruit Riverdale CA 93656,Riverdale 93656,Fruit Fresno,,Farmer,6320000,,,,,Gpm X Runtime,,10/15/24,,,,,,,FALSE,R5-2007-0035_software
2024AR_Cedar Avenue Feedlot_21622 S Cedar Ave_Fresno,,2024AR_Cedar Avenue Feedlot_21622 S Cedar Ave_Fresno,fresno_madera,1,32,33,manure,x,Cedar Avenue Feedlot,21622 Cedar Avenue Laton Fresno 93242,Thomas Bros Spreading,19721 Excesisior Riverdale Ca 93656,Thomas Bros Hauling (559) 352-0608,19721 Excesisior Riverdale CA 93656,19721 Exceslsior Riverdale 93656,Stockpile Fresno,,Broker,,1920,50.2,,Weighted Average,,,9/10/24,,,,,,,FALSE,R5-2007-0035_software
2024AR_Cedar Avenue Feedlot_21622 S Cedar Ave_Fresno,,2024AR_Cedar Avenue Feedlot_21622 S Cedar Ave_Fresno,fresno_madera,2,34,35,manure,x,Cedar Avenue Feedlot,21622 Cedar Avenue Laton Fresno 93242,Thomas Bros Spreading,19721 Excesisior Riverdale Ca 93656,Thomas Bros Hauling (559) 352-0608,19721 Exceslsior Riverdale CA 93656,Riverdale 93656,Stockpile Fresno,,Broker,,600,51,,Weighted Average,,,7/5/24,,,,,,,FALSE,R5-2007-0035_software
2024AR_Costa View Dairy North_9499 Ave 20_Madera,,2024AR_Costa View Dairy North_9499 Ave 20_Madera,fresno_madera,1,111,112,manure,x,Costa View Dairy North,9499 Avenue 20 Chowchilla Madera 93610,Kenneth R Stone Spreading Services,5175 Shaw Ave Winton Ca 95388,Green Valley Soils (559) 474-2377,24341 Avenue 14 Madera CA 93637,24341 Avenue 14 Madera 93637,Madera,,Farmer,,3885.3,97.5,,Number Of Loads Multiplied By Load Weight.,,,8/5/24,,,,,,,FALSE,R5-2007-0035_software
2024AR_Costa View Farms Dairy #2_16800 Road 15_Madera,,2024AR_Costa View Farms Dairy #2_16800 Road 15_Madera,fresno_madera,1,339,340,manure,x,Costa View Farms,16800 Road 15 Madera Madera 93637,Kenneth R Stone Spreading Services,5175 Shaw Ave Winton Ca 95388,Costa View Farms Almond Ranch (559) 706-2051,16800 Road 15 Madera CA 93637,16800 Road 15 Madera 93637,Madera,,Farmer,,8028,96.8,,Number Of Loads Multiplied By Load Weight,,,12/24/24,,,,,,,FALSE,R5-2007-0035_software
2024AR_Frank S. Brown Co. Dairy_22045 S Valentine Ave_Fresno,,2024AR_Frank S. Brown Co. Dairy_22045 S Valentine Ave_Fresno,fresno_madera,1,119,120,manure,x,Frank S. Brown,22045 S. Valentine Riverdale 93656,Thomas Bros Spreading,5810 23rd Ave Riverdale 93656,Thomas Bros 5810 23Rd Lave Riverdale 93656 906-1404,Thomas Bros 5810 23Rd Lave Riverdale 93656 906-1404,,,,Composting Facility,,480,,,Wtd Avg,,,1/2/24,,,,,,,FALSE,R5-2007-0035_general_order
2024AR_Frank S. Brown Co. Dairy_22045 S Valentine Ave_Fresno,,2024AR_Frank S. Brown Co. Dairy_22045 S Valentine Ave_Fresno,fresno_madera,2,121,122,manure,x,Frank S. Brown Co.,22045 S. Valentine Riverdale 93656,Thomas Bros Spreading,5810 23rd Ave Riverdale 93656,Manuel Thomas 5810 23Rd Ave Riverdale 93656 906-1406,Manuel Thomas 5810 23Rd Ave Riverdale 93656 906-1406,,,,Composting Facility,,530,,,Wtd Avg,,,1/11/24,,,,,,,FALSE,R5-2007-0035_general_order
2024AR_Frank S. Brown Co. Dairy_22045 S Valentine Ave_Fresno,,2024AR_Frank S. Brown Co. Dairy_22045 S Valentine Ave_Fresno,fresno_madera,3,123,124,manure,x,Frank S. Brown Co.,22045 S. Valentine Riverdale 93656,Thomas Bros Spreading,5810 23rd Ave Riverdale 93656,Manuel Thomas 5810 23Rd Ave Riverdale 93656 906-1406,Manuel Thomas 5810 23Rd Ave Riverdale 93656 906-1406,,,,Composting Facility,,420,,,Wtd Avg,,,1/29/24,,,,,,,FALSE,R5-2007-0035_general_order
2024AR_Frank S. Brown Co. Dairy_22045 S Valentine Ave_Fresno,,2024AR_Frank S. Brown Co. Dairy_22045 S Valentine Ave_Fresno,fresno_madera,4,125,126,manure,x,Frank S. Brown Co.,22045 S. Valentine Riverdale 93656,Thomas Bros Spreading,5810 23rd Ave Riverdale 93656,Manuel Thomas 5810 23Rd Ave Riverdale 93656 906-1406,Manuel Thomas 5810 23Rd Ave Riverdale 93656 906-1406,,,,Composting Facility,,620,,,Wtd Avg,,,2/15/24,,,,,,,FALSE,R5-2007-0035_general_order
2024AR_Frank S. Brown Co. Dairy_22045 S Valentine Ave_Fresno,,2024AR_Frank S. Brown Co. Dairy_22045 S Valentine Ave_Fresno,fresno_madera,5,127,128,manure,x,Frank S. Brown Co.,22045 S. Valentine Riverdale 93656,Thomas Dros Spreading,5810 23rd Ave Riverdale 93656,Manuel Thomas 5810 23Rd Av. Riverdale 93656 906-1406,Manuel Thomas 5810 23Rd Av. Riverdale 93656 906-1406,,,,Broker,,570,,,Wtd Avg,,,3/4/24,,,,,,,FALSE,R5-2007-0035_general_order
2024AR_Frank S. Brown Co. Dairy_22045 S Valentine Ave_Fresno,,2024AR_Frank S. Brown Co. Dairy_22045 S Valentine Ave_Fresno,fresno_madera,6,129,130,manure,x,Frank S. Brown,22045 S. Valentine Riverdale 93656,Thomas Bros Spreading,5810 23rd Ave Riverdale 93656,Manuel Thomas 5810 23Rd Ave 93656 906-1406,Manuel Thomas 5810 23Rd Ave 93656 906-1406,,,,Broker,,1019.2,,,Wtd Avg,,,4/23/24,,,,,,,FALSE,R5-2007-0035_general_order
2024AR_Frank S. Brown Co. Dairy_22045 S Valentine Ave_Fresno,,2024AR_Frank S. Brown Co. Dairy_22045 S Valentine Ave_Fresno,fresno_madera,7,131,132,manure,x,Frank S. Brown Co,22045 S. Valentine Riverdale 93656,Thomas Bros Spreading,5810 23rd Ave Riverdale 93656,Manuel Thomas 5810 23Rd Ave Riverdale 93656 906-1406,Manuel Thomas 5810 23Rd Ave Riverdale 93656 906-1406,,,,Broker,,1003.24,,,Wtd Avg,,,5/31/24,,,,,,,FALSE,R5-2007-0035_general_order
