Origin Dairy Name,Origin Dairy Address,Origin Dairy Latitude (Geocoded),Origin Dairy Longitude (Geocoded),Hauler Name,Hauler Address,Destination Name,Destination Contact Address,Destination Address,Destination Nearest Cross Street,Destination Type (Standardized),Destination Assessor Parcel Number,Destination County,Destination Address Final,Destination Address Final Source,Destination Latitude (Geocoded),Destination Longitude (Geocoded),First Haul Date,Last Haul Date,Is Pipeline,Wastewater Volume per Haul (Gallons),Wastewater Number of Hauls,Wastewater Hours Pumped (Hours),Wastewater Pumping Rate (GPM),Total Process Wastewater Exports (Gallons),Source PDF,Manifest Number,Start Page,End Page,Manifest Type,Origin Latitude,Origin Longitude,Origin City,Origin Zip,Origin County,Destination City,Destination Zip,Estimated Number of Hauls (Based on Average),Estimated Number of 10k-gallon Hauls (Based on Distribution),Estimated Number of 20k-gallon Hauls (Based on Distribution)
Aj Slenders Dai,625 E Coleman Ave Laton Fresno 93242,36.46715430605,-119.782800820785,Aj Slenders Dairy,625 E Coleman Ave Laton Ca 93242,Netto Ag,10044 Flint Ave Hanford CA 93230,Laton 93242,2G-1 2G-2 2G-3 Fresno,Farmer,,,Laton 93242 2G-1 2G-2 2G-3 Fresno,Destination Address,,,,2024-07-30,False,,,,,5420000.0,2024AR_AJ Selnders Dairy_625 E Coleman Ave_Fresno,2,50,51,wastewater,36.46715430605,-119.782800820785,Laton,93242,Fresno,,,621,542,0
Aj Slenders Dai,625 E Coleman Ave Laton Fresno 93242,36.46715430605,-119.782800820785,Aj Sienders Dairy,625 E Coleman Ave Laton Ca 93242,Netto Ag,10044 Flint Ave Hanford CA 93230,Laton 93242,2G-1 2G-2 2G-3 Fresno,Farmer,,,Laton 93242 2G-1 2G-2 2G-3 Fresno,Destination Address,,,,2024-05-10,False,,,,,6642000.0,2024AR_AJ Selnders Dairy_625 E Coleman Ave_Fresno,3,52,53,wastewater,36.46715430605,-119.782800820785,Laton,93242,Fresno,,,761,664,0
Aj Slenders Dai,625 E Coleman Ave Laton Fresno 93242,36.46715430605,-119.782800820785,Aj Slenders Dairy,625 E Coleman Ave Laton Ca 93242,Netto Ag,10044 Flint Ave Hanford CA 93230,Laton 93242,2G-1 2G-2 2G-3 Fresno,Farmer,,,Laton 93242 2G-1 2G-2 2G-3 Fresno,Destination Address,,,,2024-02-17,False,,,,,5400000.0,2024AR_AJ Selnders Dairy_625 E Coleman Ave_Fresno,4,54,55,wastewater,36.46715430605,-119.782800820785,Laton,93242,Fresno,,,619,540,0
Black Diamond Dai,18541 S Fruit Ave Riverdale Fresno 93656,36.463649173483,-119.829910090114,Black Diamond,18607 Fruit Ave Riverdale Ca 93656,Paul Singh (559) 352-0608,18607 Fruit Riverdale CA 93656,Riverdale 93656,Fruit Fresno,Farmer,,,Riverdale 93656 Fruit Fresno,Destination Address,36.438315206411,-119.812750275793,,2024-02-25,False,,,,,6400000.0,2024AR_Black Diamond Dairy_18789 S Fruit Ave_Fresno,1,36,37,wastewater,36.463649173483,-119.829910090114,Riverdale,93656,Fresno,,,733,640,0
Black Diamond Dairy,18541 S Fruit Ave Riverdale Fresno 93656,36.463649173483,-119.829910090114,Black Diamond,18607 Fruit Ave Riverdale Ca 93656,Paul Singh (559) 352-0608,18607 Fruit Riverdale CA 93656,Riverdale 93656,Fruit Fresno,Farmer,,,Riverdale 93656 Fruit Fresno,Destination Address,36.438315206411,-119.812750275793,,2024-05-10,False,,,,,6250000.0,2024AR_Black Diamond Dairy_18789 S Fruit Ave_Fresno,2,38,39,wastewater,36.463649173483,-119.829910090114,Riverdale,93656,Fresno,,,716,625,0
Black Diamond Dai,18541 S Fruit Ave Riverdale Fresno 93656,36.463649173483,-119.829910090114,Netto Ag,10044 Flint Ave Hanford Ca 93230,Mike Smith (559) 867-3186,1755 Mt. Riverdale CA 93656,Riverdale 93656,Fruit Fresno,Farmer,,,Riverdale 93656 Fruit Fresno,Destination Address,36.438315206411,-119.812750275793,,2024-10-10,False,,,,,2519000.0,2024AR_Black Diamond Dairy_18789 S Fruit Ave_Fresno,4,42,43,wastewater,36.463649173483,-119.829910090114,Riverdale,93656,Fresno,,,289,252,0
Black Diamond Dairy,18541 S Fruit Ave Riverdale Fresno 93656,36.463649173483,-119.829910090114,Black Diamond,18607 Fruit Ave Riverdale Ca 93656,Paul Singh (559) 352-0608,18607 Fruit Riverdale CA 93656,Riverdale 93656,Fruit Fresno,Farmer,,,Riverdale 93656 Fruit Fresno,Destination Address,36.438315206411,-119.812750275793,,2024-10-15,False,,,,,6320000.0,2024AR_Black Diamond Dairy_18789 S Fruit Ave_Fresno,5,44,45,wastewater,36.463649173483,-119.829910090114,Riverdale,93656,Fresno,,,724,632,0
Frea Dairy Llc,6205 S. Brawley Avenue Fresno Fresno 93706,36.645105516838,-119.863987304207,Frea Dairy Llc,6205 S. Brawley Avenue Fresno Ca 93706,Jim Mattos Farming,3564 W. Clayton Street Fresno CA 93706,Fresno 93706,Brawley And Lincoln Avenues Fresno,Farmer,,,Fresno 93706 Brawley And Lincoln Avenues Fresno,Destination Address,36.64854901221,-119.862485015701,,2024-12-31,False,,,,,1423800.0,2024AR_Frea Dairy LLC_6205 S Brawley Ave_Fresno,1,18,19,wastewater,36.645105516838,-119.863987304207,Fresno,93706,Fresno,,,163,142,0
Frea Dairy Llc,6205 S. Brawley Avenue Fresno Fresno 93706,36.645105516838,-119.863987304207,Frea Dairy Llc,6205 S. Brawley Avenue Fresno Ca 93706,Jim Mattos Farming,3564 W. Clayton Street Fresno CA 93706,Fresno 93706,S. Brawley & Lincoln Avenue Fresno,Farmer,,,Fresno 93706 S. Brawley & Lincoln Avenue Fresno,Destination Address,36.64854901221,-119.862485015701,,2024-10-08,False,,,,,600000.0,2024AR_Frea Dairy LLC_6205 S Brawley Ave_Fresno,5,26,27,wastewater,36.645105516838,-119.863987304207,Fresno,93706,Fresno,,,69,60,0
Frea Dairy Llc,6205 S. Brawley Avenue Fresno Fresno 93706,36.645105516838,-119.863987304207,Frea Dairy Llc,6205 S. Brawley Avenue Fresno Ca 93706,Jim Mattos Farming,3564 W. Clayton Street Fresno CA 93706,Fresno 93706,Brawley And Lincoln Avenues Fresno,Farmer,,,Fresno 93706 Brawley And Lincoln Avenues Fresno,Destination Address,36.64854901221,-119.862485015701,,2024-09-30,False,,,,,762300.0,2024AR_Frea Dairy LLC_6205 S Brawley Ave_Fresno,6,28,29,wastewater,36.645105516838,-119.863987304207,Fresno,93706,Fresno,,,87,76,0
