Dairy Name,Dairy Address,Average Milk Cows,Average Dry Cows,Average Bred Heifers,Average Heifers,Average Calves (4-6 mo.),Average Calves (0-3 mo.),Average Other/Unspecified Head,Average Steer,Total Manure Generated (tons),Average Milk Production (lb per cow per day),Total Dry Manure Generated N After Ammonia Losses (lbs),Total Dry Manure Generated N (lbs),Total Dry Manure Generated P (lbs),Total Dry Manure Generated K (lbs),Total Dry Manure Generated Salt (lbs),Total Process Wastewater Generated (gals),Total Process Wastewater Generated N (lbs),Total Process Wastewater Generated P (lbs),Total Process Wastewater Generated K (lbs),Total Process Wastewater Generated Salt (lbs),Applied N Dry Manure (lbs),Applied P Dry Manure (lbs),Applied K Dry Manure (lbs),Applied Salt Dry Manure (lbs),Applied Process Wastewater (gals),Applied Process Wastewater N (lbs),Applied Process Wastewater P (lbs),Applied Process Wastewater K (lbs),Applied Process Wastewater Salt (lbs),Applied to Removed Ratio N,Applied to Removed Ratio P,Applied to Removed Ratio K,Applied to Removed Ratio Salt,Total Exported N (lbs),Total Exported P (lbs),Total Exported K (lbs),Total Exported Salt (lbs),File Name,Average Milk Production (kg per cow),Average Milk Production (L per cow),Reported Annual Milk Production (L),Total Herd Size,Total Applied N (lbs),Total Applied P (lbs),Total Applied K (lbs),Total Applied Salt (lbs),Total Reported N (lbs),Total Reported P (lbs),Total Reported K (lbs),Total Reported Salt (lbs),Unaccounted For N (lbs),Unaccounted For P (lbs),Unaccounted For K (lbs),Unaccounted For Salt (lbs),Total Wastewater Generated (L),Estimated Total Wastewater Generated (L),Wastewater to Reported Milk Ratio,Wastewater to Estimated Milk Ratio,Wastewater Ratio Discrepancy,Calculated Manure Factor,Manure Factor Discrepancy,Nitrogen Discrepancy,USDA Nitrogen % Deviation,UCCE Nitrogen % Deviation,USDA N Estimate (lbs),UCCE N Estimate (lbs),Estimated Annual Milk Production (L),Estimated Wastewater Generation (L),Wastewater to Estimated Milk Ratio,City,Region,Sub-Region,Year,County,State,Zip,Latitude,Longitude,Template,Manure Factor Average,Manure Factor Standard Deviation,Wastewater Ratio Average,Wastewater Ratio Standard Deviation,USDA Nitrogen % Deviation Average,USDA Nitrogen % Deviation Standard Deviation,UCCE Nitrogen % Deviation Average,UCCE Nitrogen % Deviation Standard Deviation,Facility Count,CADDID,address
,. 8371 Lower Lake Road Crescent City CA 95531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All_r1_2023_generic_r1.csv,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,0.0,0.0,,,Crescent City,R1,,2023,Del Norte,California,95531,41.896241330209,-124.176265583674,generic_r1,,,,,,,,,,,"8371 Lower Lake Rd, Crescent City, California, 95531"
,5000 Llano ROAD Sebastopol 95472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All_r1_2023_generic_r1.csv,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,0.0,0.0,,,Sebastopol,R1,,2023,Sonoma,California,95472,38.361097014677,-122.766396963394,generic_r1,,,,,,,,,,,"5000 Llano Rd, Sebastopol, California, 95472"
,2305 Dows Prairie Rd McKinieyviIled CA 95519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All_r1_2023_generic_r1.csv,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,0.0,0.0,,,McKinleyville,R1,,2023,Humboldt,California,95519,40.997893680418,-124.100519440796,generic_r1,,,,,,,,,,,"Dows Prairie Rd, McKinleyville, California, 95519"
,6475 Bodega Ave Petaluma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All_r1_2023_generic_r1.csv,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,0.0,0.0,,,Petaluma,R1,,2023,Marin,California,94952,38.255325988054,-122.758733976054,generic_r1,,,,,,,,,,,"6475 Bodega Ave, Petaluma, California, 94952"
,. 965 Waddington Road FerndaIe CA 95536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All_r1_2023_generic_r1.csv,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,0.0,0.0,,,Ferndale,R1,,2023,Humboldt,California,95536,40.59351102011,-124.199971968401,generic_r1,,,,,,,,,,,"965 Waddington Rd, Ferndale, California, 95536"
Deniz Dairy,421 Sonoma Mountain Road Petaluma,300.0,0.0,0.0,300.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All_r2_2023_generic_r2.csv,,,,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1391507.765184,,,,,,,,,,124410.17744400002,3478769.4129600003,,,Petaluma,R2,,2023,Sonoma,California,94954.0,38.288894001529,-122.61595001566,generic_r2,,,,,,,,,,,"421 Sonoma Mountain Rd, Petaluma, California, 94954"
GERALD SPALETA,500 ORMSBY LN. PETALUMA 94954,400.0,0.0,0.0,400.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All_r2_2023_generic_r2.csv,,,,800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1855343.686912,,,,,,,,,,165880.236592,4638359.21728,,,Petaluma,R2,,2023,Sonoma,California,94954.0,38.285208017698,-122.651376967622,generic_r2,,,,,,,,,,11659.0,"500 Ormsby Ln, Petaluma, California, 94954"
__Bianchini Inc BivaIve Dairy Facility-Address__ 12800 ShoreIine Highway 1 Point Reyes Station CA 94956,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All_r2_2023_generic_r2.csv,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,0.0,0.0,,,,R2,,2023,,,,,,generic_r2,,,,,,,,,,,
BIakes Landing Farms,__ 22188 Hwy 1 MarshaIl CA 94940,260.0,0.0,0.0,260.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All_r2_2023_generic_r2.csv,,,,520.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1205973.3964928002,,,,,,,,,,107822.1537848,3014933.4912320003,,,Marshall,R2,,2023,Marin,California,94940.0,38.183648981239,-122.907178990034,generic_r2,,,,,,,,,,10813.0,"22188 Highway 1, Marshall, California, 94940"
PoPaack Noster ciFacity Address 2Z2(KO Sic rqacis Wel dh Tse acss,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All_r2_2023_generic_r2.csv,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,0.0,0.0,,,,R2,,2023,,,,,,generic_r2,,,,,,,,,,,
