Origin Dairy Name,Origin Dairy Address,Hauler Name,Hauler Address,Destination Name,Destination Address,Destination Type,Haul Date,Total Process Wastewater Exports (Gallons),Total Manure Amount (tons),Manure Solids (%),Manure Density,Method Used to Determine Volume of Manure,Method Used to Determine Volume of Wastewater,Source PDF,Manifest Number,Origin Dairy Address (Geocoded),Destination Address (Geocoded)
Carl + Laurie Vieira Dairies,,Alp Custom Spreading,2324 Villa Manucha Newman 95360,Jeff Lima 2324 Villa Manucha Rd. Newman 95360 209-862-3393,2324 Villa Manucha Rd. Newman 95360,,3/22/24,,1280.0,,,128 Loads @ 10 Tous Per Load.,Written Agreement,"1000 N Mitchell Rd, Turlock 2024 Dairy AR",1,,"(37.365262041504, -121.022008751064)"
Carl + Laurie Vieira Dairies,,Alp Custom Spreading,2324 Villa Manucha Newman 95360,Jeff Lima 2324 Villa Manucha Rd. Newman 95360 209-862-3393,2324 Villa Manucha Rd. Newman 95360,,8/3/24,,1020.0,,,102 Loads @ 10 Tons Per Load.,Written Agreement,"1000 N Mitchell Rd, Turlock 2024 Dairy AR",2,,"(37.365262041504, -121.022008751064)"
Frank Gwerder Dairy Inc.,,Avila Spreading Service,P.O. Box 580742 Modesto 95358,Michel Echebarne 5737 California Ave. Modesto 95358 209-571-2056,5737 California Ave. Modesto 95358,,3/9/24,,600.0,,,60 Loads @ 10 Tons Per Load.,Written Agreement,1007 S Hart Rd Modesto 2024 Dairy AR,1,,"(37.624112268735, -121.098543070768)"
Frank Gwerder Dairy Inc.,Contact Person Name And Phone,Avila Spreading Service,P.O. Box 580742 Modesto 95358,Frank Gwerder 1007 S. Hart Ro. Modesto 95358 209-574-5723,017-065-012,,11/3/24,,420.0,,,42 Loads @ 10 Tons Per Load.,Written Agreement,1007 S Hart Rd Modesto 2024 Dairy AR,2,"(38.1302, -121.24717)","(None, None)"
Faust Dairy & Heifer,,Faust Family Dairy,,Keith White Farming,Chowchilla 93610,Farmer,11/02/2024,,2701.0,,,An Averaged Scale Weighed Loads Multiplied Bythe Total Number Of Loads Hauled.,,10077 Ave 26 Chowchilla 2024 Dairy AR,1,,"(37.106094, -120.273903)"
Robert Giolesti + Sons Dairy,,Alp Custom Spreading,2324 Villa Manucha Rd. Newman Zip 95360 Code,Robert Gioletti 118 N. Blaker Rd. Turlock 95380 209-667-6024,057-003-007,,11/22/24,,3000.0,,,Scale Weights,Written Agreement,10213 W Main St Turlock 2024 Dairy AR,5,,"(None, None)"
Robert Gioletti + Sons Dairy,,Alp Custom Spreading,2324 Villa Manucha Rd. Newman 95360,Robert Gioletti 118 N. Blaker Rd. Turlock 95380 209-667-6024,058-023-019,,11/22/24,,2160.0,,,Scale Weights,Written Agreement,10213 W Main St Turlock 2024 Dairy AR,6,,"(None, None)"
Robert Giletti + Sons Dairy #2,,Alp Custom Spreading,2324 Villa Manucha Newman 95360,Robert 118 N. Blaker Rd. Turlock 95380 209-667-6024,022-031-019,,4/24/24,,252.0,,,Scale Weights,Written Agreement,10218 Fulkerth Rd Ceres 2024 Dairy AR,1,,"(None, None)"
Robert Giletti + Sons Dairy #2,,Alp Custom Spreading,2324 Villa Manucha Newman 95360,Robert 118 N. Blaker Rd. Turlock 95380 209-667-6024,022-036-014,,4/24/24,,600.0,,,Scale Weights,Written Agreement,10218 Fulkerth Rd Ceres 2024 Dairy AR,2,,"(None, None)"
Cal-Denier Dairy,,Witt Ranch,P.O. Box 428 Lodi 95241,Stepps Farms 28600 N. Sowles Rd. Galt 95632 916-738-9119,North Of Conley Rd. & Twin Cities Rd. Herald 95638,,June 3-62024,,1680.0,,,The,Written Agreement,10715 Arno Rd Galt 2024 Dairy AR,1,,"(38.303015412904, -121.231189035453)"
