Origin Dairy Name,Origin Dairy Address,Origin Dairy Address (Geocoded),Hauler Name,Hauler Address,Destination Name,Destination Address,Destination Nearest Cross Street,Destination Type,Destination Type (Standardized),Destination Assessor Parcel Number,Destination Address (Geocoded),Haul Date,First Haul Date,Last Haul Date,Is Pipeline,Manure Mass per Haul (tons),Manure Number of Hauls,Total Manure Amount (tons),Manure Solids (%),Manure Moisture (%),Manure Density,Method Used to Determine Volume of Manure,Source PDF,County,Consultant,Manifest Number,Start Page,End Page,Manifest Type,Parameter Template
Carl + Laurie Vieira Dairies,1000 N. Mitchell Rd. Turlock 95380,"(37.50214966829, -120.940239262274)",Alp Custom Spreading,2324 Villa Manucha Newman 95360,Jeff Lima 2324 Villa Manucha Rd. Newman 95360 209-862-3393,2324 Villa Manucha Rd. Newman 95360,,,,,"(37.365262041504, -121.022008751064)",3/22/24,,3/22/2024,False,,128,1280.0,305% Moisture,,,128 Loads @ 10 Tous Per Load.,"1000 N Mitchell Rd, Turlock 2024 Dairy AR",rancho_cordova,generic_r5,1,83,84,manure,R5-2007-0035_general_order
Carl + Laurie Vieira Dairies,1000 N. Mitchell Rd. Turlock 95380,"(37.50214966829, -120.940239262274)",Alp Custom Spreading,2324 Villa Manucha Newman 95360,Jeff Lima 2324 Villa Manucha Rd. Newman 95360 209-862-3393,2324 Villa Manucha Rd. Newman 95360,,,,,"(37.365262041504, -121.022008751064)",8/3/24,,8/3/2024,False,10.0,102,1020.0,7.2% Moisture,,,102 Loads @ 10 Tons Per Load.,"1000 N Mitchell Rd, Turlock 2024 Dairy AR",rancho_cordova,generic_r5,2,85,86,manure,R5-2007-0035_general_order
Martins Living Trust,10043 Milnes Road Modesto Ca 95357,"(37.68258417383, -120.810422441368)",Al Bairos,9503 Milnes Road Modesto Ca 95357,Al Bairos 9503 Milnes Road Modesto Ca 95357 209-204-9260,9503 Milnes Road Modesto Ca,,,,014-024-006,"(38.352167, -120.520032)",,,,False,,,2500.0,(If,,(If Amount Reported In Cubic Yards),Hauler'S Calculations,10043 Milnes Rd Modesto 2024 Dairy AR,rancho_cordova,generic_r5,1,34,35,manure,R5-2013-0122_general_order
Frank Gwerder Dairy Inc.,1007 S. Hart Rd. Modesto 95358,"(37.62778144685, -121.124126567097)",Avila Spreading Service,P.O. Box 580742 Modesto 95358,Michel Echebarne 5737 California Ave. Modesto 95358 209-571-2056,5737 California Ave. Modesto 95358,,,,,"(37.624112268735, -121.098543070768)",3/9/24,,3/9/2024,False,10.0,60,600.0,71% Moisture,,,60 Loads @ 10 Tons Per Load.,1007 S Hart Rd Modesto 2024 Dairy AR,rancho_cordova,generic_r5,1,70,71,manure,R5-2007-0035_general_order
Faust Dairy & Heifer,10077 Avenue 26 Chowchilla Merced 93610,"(37.126762907545, -120.363819636574)",Faust Family Dairy,10077 Avenue 26 Chowchilla Ca 93610,Keith White Farming (559) 974-0889,Chowchilla 93610,Road 8 And Avenue 14 Madera,Farmer,Farmer,,"(37.0476, -120.164)",11/02/2024,,11/2/2024,False,,,2701.0,92.9 %,,,An Averaged Scale Weighed Loads Multiplied Bythe Total Number Of Loads Hauled.,10077 Ave 26 Chowchilla 2024 Dairy AR,rancho_cordova,generic_r5,1,77,78,manure,R5-2007-0035_software
Robert Giolesti + Sons Dairy,10213 W. Main St. Turlock 95380,"(37.493113389934, -120.96564380497)",Alp Custom Spreading,2324 Villa Manucha Rd. Newman Zip 95360 Code,Robert Gioletti 118 N. Blaker Rd. Turlock 95380 209-667-6024,,,,,057-003-007,"(37.442334, -120.968482)",11/22/24,,11/22/2024,False,,,3000.0,11.79% Moisture,,,Scale Weights,10213 W Main St Turlock 2024 Dairy AR,rancho_cordova,generic_r5,5,162,163,manure,R5-2007-0035_general_order
Robert Gioletti + Sons Dairy,10213 W. Main St. Turlock 95380,"(37.493113389934, -120.96564380497)",Alp Custom Spreading,2324 Villa Manucha Rd. Newman 95360,Robert Gioletti 118 N. Blaker Rd. Turlock 95380 209-667-6024,,,,,058-023-019,"(36.844162, -121.414346)",11/22/24,,11/22/2024,False,,,2160.0,117 950 Moisture,,,Scale Weights,10213 W Main St Turlock 2024 Dairy AR,rancho_cordova,generic_r5,6,164,165,manure,R5-2007-0035_general_order
Robert Giletti + Sons Dairy #2,10218 Fulkerth Rd. Ceres 95307,"(37.507132625909, -120.96604286738)",Alp Custom Spreading,2324 Villa Manucha Newman 95360,Robert 118 N. Blaker Rd. Turlock 95380 209-667-6024,,,,,022-031-019,"(38.017752, -121.641029)",4/24/24,,4/24/2024,False,,,252.0,27.3% Moisture.,,,Scale Weights,10218 Fulkerth Rd Ceres 2024 Dairy AR,rancho_cordova,generic_r5,1,21,22,manure,R5-2007-0035_general_order
Robert Giletti + Sons Dairy #2,10218 Fulkerth Rd. Ceres 95307,"(37.507132625909, -120.96604286738)",Alp Custom Spreading,2324 Villa Manucha Newman 95360,Robert 118 N. Blaker Rd. Turlock 95380 209-667-6024,,,,,022-036-014,"(35.570834, -121.109794)",4/24/24,,4/24/2024,False,,,600.0,27.3% Moisture,,,Scale Weights,10218 Fulkerth Rd Ceres 2024 Dairy AR,rancho_cordova,generic_r5,2,23,24,manure,R5-2007-0035_general_order
Cal-Denier Dairy,10715 Arno Rd. Galt 95632,"(38.337285662227, -121.286555277783)",Witt Ranch,P.O. Box 428 Lodi 95241,Stepps Farms 28600 N. Sowles Rd. Galt 95632 916-738-9119,North Of Conley Rd. & Twin Cities Rd. Herald 95638,,,,,"(38.303015412904, -121.231189035453)",June 3-62024,,6/3/2026,False,,,1680.0,40.3%,,,Hauler'S Estimate,10715 Arno Rd Galt 2024 Dairy AR,rancho_cordova,generic_r5,1,31,32,manure,R5-2007-0035_general_order
Cal-Denier Dairy,10715 Arno Rd. Galt 95632,"(38.337285662227, -121.286555277783)",Warren Spreading,27613 Sowles Rd. Galt 95632,Salas Ranch 10630 Salas Rd. Wilton 95639 (209)610-2855,X134-0250-X001-0000 &,,,,134-0230-X009-0000,"(33.910367746669, -118.278003648457)",9/27-12/10/2024,12/10/2024,9/27/2026,False,,,1650.0,(If Amount Reported In 63%,,,,10715 Arno Rd Galt 2024 Dairy AR,rancho_cordova,generic_r5,2,33,34,manure,R5-2007-0035_general_order
Joe & Teresa Soares Dairy #1,11076 Vincent Rd Turlock Merced 95380,"(37.452754574651, -120.776208873588)",Cardoso Farm Services Inc.,P.O. Box 189 Delhi Ca 95315,Cardoso Farm Services Inc (209) 564-6329,Turlock 95380,Bradbury Merced,Broker,Broker,,"(37.493719, -120.852279)",10/30/2024,,10/30/2024,False,,,6136.0,68.7 %,,,Tons X Loads,"11076 Vincent Rd, Turlock 2024 Dairy AR",rancho_cordova,cas,1,77,78,manure,R5-2007-0035_software
Lucas Dairy,11204 Fulkerth Road Turlock Ca 95380,"(37.50720010023, -120.977489110538)",Five Star Custom Spreading,P.O. Box 488 Gustine Ca 95322,Five Star Custom Spreading P.O. Box 488 Gustine 95322 (209) 678-2917,750 East Ave Gustine 95322,,Broker,Broker,,"(37.252812984983, -120.994122997389)",10/11/2024,,10/11/2024,False,,,2600.0,87.47%,,,Number Of Truckloads X Average Truck Weight,11204 Fulkerth Rd Turlock 2024 Dairy AR,rancho_cordova,generic_r5,1,24,25,manure,R5-2007-0035_general_order
Fire-Lake Jerseys,11301 W. Bradbury Rd Turlock Ca 95380,"(37.449565798719, -120.978496866756)",Joshua Holsapple'S Fertilizer Spreading Inc.,400 N. Central Avenue Turlock Ca 95380,J.H.F.S. Inc. 400 N. Central Avenue Turlock 95380 (209) 668-4727,400 N. Central Avenue Turlock 95380,,Broker,Broker,,"(37.495688478228, -120.958056506216)",10/21/24,,10/21/2024,False,,,1100.0,87.9%,,,Number Of Truckloads X Average Truck Weight,11301 W Bradbury Rd Turlock 2024 Dairy AR,rancho_cordova,generic_r5,1,31,32,manure,R5-2007-0035_general_order
),1131 Story Road Turlock Ca 95380,"(37.481813285259, -120.789968502144)",Dores Ag Services Inc.,22846 Second Avenue Stevinson Ca 95374,Silva Brothers 224 S. Roselawn Ave Turlock 95380 (209) 495-9669,224 S. Roselawn Ave Turlock 95380,,Farmer,Farmer,,"(37.490211239779, -120.798393069207)",5/13/2024,,5/13/2024,False,,,1100.0,96.5%,,,Number Of Truckloads X Average Truck Weight,"1131 Story Rd, Turlock 2024 Dairy AR",rancho_cordova,generic_r5,1,19,20,manure,R5-2007-0035_general_order
Verpura Son Dairy,1142 N. Hart Road Modesto 95358,"(37.649765125313, -121.122068139316)",Avila Spreading Service,Do Box 580742 Modesto 95358,Fiscalini Farms 4848 Jackson Rd. Modesto 95358,4848 Jackson Rd. Modesto 95358 0001 0001 0001 0000,,,,,"(37.708481991528, -121.130542997797)",6/11-13 2024,,6/11/2026,False,,,730.0,,,,Haulers Calculations,1142 N Hart Rd Modesto 2024 Dairy AR,rancho_cordova,generic_r5,1,92,93,manure,R5-2007-0035_general_order
Verburg & Sen Dairy,1142 Halt Rd Modesto 95358,"(37.626573, -121.035097)",Avila Spreading,Po Box 580742 Modesto 95358,Jared Heinrich 6830 Bluesum Ave Modesto 95358 2095954966,4830 Bluesum Ave Modesto 95358 012 029 001 000,,,,,"(37.626573, -121.035097)",10/29-30,,10/29/2026,False,,,50.0,,,,Hanters Calculations,1142 N Hart Rd Modesto 2024 Dairy AR,rancho_cordova,generic_r5,3,96,97,manure,R5-2007-0035_general_order
Sb Farms,11450 Carroll Rd. Elk Grove 95757,"(38.339666206548, -121.403599754629)",Taj Silva Farms,12997 E. Peltier Rd. Acampo 95220,Same,216 Hwy. 220 Ryde,,,,142-0100-X031-Xxxx,"(38.229452142599, -121.570813023285)",May 27-30 2024,,5/27/2026,False,10.0,200,2000.0,77.9%,,,200 Loads Hauled At Approximately 10 Tons Per Load.,11450 Carroll Rd Elk Grove 2024 Dairy AR,rancho_cordova,generic_r5,1,70,71,manure,R5-2007-0035_general_order
Sb Farms,11450 Carroll Rd. Elk Grove 95757,"(38.339666206548, -121.403599754629)",Taj Silva Farms,E. Peltier Rd. Acampo 95220,Same,216 Hwy. 220 Ryde,,,,142-0100-X031-Xxxx,"(38.229452142599, -121.570813023285)",Oct 14-17 2024,,10/14/2026,False,10.0,100,1000.0,72.9%,,,100 Loads Hauled At Approximately 10 Tons Per Load.,11450 Carroll Rd Elk Grove 2024 Dairy AR,rancho_cordova,generic_r5,2,72,73,manure,R5-2007-0035_general_order
J & M Dairy,11910 Bruceville Rd. Elk Grove 95757,"(38.323775040137, -121.418628171747)",M. Maravilla Trucking Inc.,175 Ash Ave Mendota 93640,D&W Farms 1000 Hidden Lake Road Lodi 95240 (209) 329-4243,Same Lodi 95240,,,,,"(38.1243105, -121.260412)",10/16/24,,10/16/2024,False,,,475.0,(If Amount Reported In 50.0% Moisture,,,,11910 Bruceville Rd Elk Grove 2024 Dairy AR,rancho_cordova,generic_r5,1,39,40,manure,R5-2007-0035_general_order
