Origin Dairy Name,Origin Dairy Address,Origin Dairy Address (Geocoded),Hauler Name,Hauler Address,Destination Name,Destination Address,Destination Nearest Cross Street,Destination Type,Destination Type (Standardized),Destination Assessor Parcel Number,Destination Address (Geocoded),Haul Date,First Haul Date,Last Haul Date,Is Pipeline,Wastewater Volume per Haul (Gallons),Wastewater Number of Hauls,Wastewater Hours Pumped (Hours),Wastewater Pumping Rate (GPM),Total Process Wastewater Exports (Gallons),Manure Mass per Haul (tons),Manure Number of Hauls,Total Manure Amount (tons),Manure Solids (%),Manure Moisture (%),Manure Density,Method Used to Determine Volume of Manure,Method Used to Determine Volume of Wastewater,Source PDF,County,Consultant,Manifest Number,Start Page,End Page,Manifest Type,Parameter Template
“3 Men Ow Alenr,,,G,,,Address City Zip Code,,,,,"(38.2964476, -76.5088295)",,,,False,,,,,,,,,,,,,,11159 West Peach Street Livingston 2024 Dairy AR,rancho_cordova,dellaville,1,28,28,unknown,R5-2007-0035_general_order
Van Steyn Dairy #2,13039 Peilandini Rd Galt Sacramento 95632-8818,"(38.283397987617, -121.350119105238)",Case Van Steyn,13039 Pellandini Rd Galt Ca 95632,Van Steyn Dairy #1 (209) 417-1010,11823 Carroll Rd Elk Grove 95757,Sacramento,Farmer,Farmer,X132-X240-X049-Xxxx Sacramento,"(38.327329302359, -121.392547377102)",11/01/2024,,11/1/2024,False,,,,,,,,,,,,,,13039 Pellandini Rd Galt 2024 Dairy AR,rancho_cordova,generic_r5,1,84,85,unknown,R5-2007-0035_software
Alamo Dairy,1500 W. Fulkerth Rd. Crowslanding 95313,"(37.505571622171, -121.013470944489)",Fca Lagoon Ma,2930 Geek Rd. Tuklock 95300,Ja Machado Farming 8842 Moffett Rd. Ceres 95307 (209) 678-6720,,,,,058-001-015022-037-004058-002-003,,11/13-11/15,11/13/2026,11/15/2026,False,10000.0,,,,,,,,,,,,@ 10000 Gallons Per Load,1500 Fulkerth Rd Crows Landing 2024 Dairy AR,rancho_cordova,generic_r5,15,43,44,unknown,R5-2007-0035_general_order
,5735 20Th Avenue Hanford 93230,"(36.237429294336, -119.529338567368)",,,Contact Person I,,,,,,,,,,False,,,,,,,,,,,,,Of Wastewater Page 2 Of 3,2024AR_Contente & Co Ranch_5730 20th Ave_Kings,kings,full_coverage,1,9,11,unknown,R5-2007-0035_general_order
,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,2024AR_K A Vanderham Dairy_12565 Ave 152_Tulare,tulare_east,innovative_ag,1,35,36,unknown,R5-2010-XXXX_general_order
Moonstone Dairy.,4974 Ave. 272 Visalia Ca 93277,"(36.285200424625, -119.452160009859)",Fragoso Custom Harvesting Inc.,7871 Houston Avenue Hanford 93230,Moonstone Dairy 4974 Ave. 272 Visalia 93277,#5 Isalia 93277-Number And Street City Zip Code Assessor'S Parcel Number,,,,,,8-19 8-20 ? 8-21,2/8/2026,2/21/2026,False,,,,,,,,,,,,20 Tons,,2024AR_Moonstone Dairy_1305 Iona Avenue_Kings,kings,livingston,1,93,93,unknown,R5-2007-0035_one_page_1
Morning Star Dairy Inc,,,Chavira & Sons,,Chavira 559) 907-2837,113 Wainut St Madera 93637,,Broker,Broker,,"(36.949421617645, -120.056857997578)",,,,True,,,,,,,,,,,,,,2024AR_Open Sky Heifer Ranch (former Morning Star Dairy)_10032 W Elkhorn Ave_Fresno,fresno_madera,generic_r5,4,132,133,unknown,R5-2007-0035_general_order
,8157 5Th Ave Hanford Ca. 93230,"(36.355360139327, -119.546658592088)",Gutierrez Spreading Llc,3612 Aug. 236 Tulare Ca. 93274,Westcoast 7715 Ave. 296 Visalia Ca 93291 (Sg) 625-9426,Westcoast,,Compost,Composting Facility,,,8-11-24/8-12/24,2/8/2026,12/24/2026,False,,,,,,,,,,,,,,2024AR_West Creek Dairy_8409 5th Ave_Kings,kings,livingston,3,81,81,unknown,R5-2007-0035_general_order
Clauss Dairy,21670 Bloss Ave Hilmar 95324,"(37.404879148772, -120.88069204282)",,,Valentine Dairy 20717 Bloss Ave. Hilmar 95324 209-667-4582,Same As Above,,,,,,6/10/24,,6/10/2024,False,,,,,,,,,,,,,Im,"21670 W Bloss Ave, Hilmar 2024 Dairy AR",rancho_cordova,generic_r5,4,108,109,unknown,R5-2007-0035_general_order
River Oak Dairy,29770 E. Hwy 4 Farmington Ca 95230,"(37.92372867834, -120.94718056775)",Caton Ag Inc.,; 14303 S. Campbell Road Escalon Ca 95230,Caton Ag Inc. 14303 S Campbell Road Escalon Ca 95320 209-495-7769,14303 S. Campbell Road Escalon Ca,,,,207-320-20,"(33.151616, -117.324115)",8/22/2024,,8/22/2024,False,,,,,,,,,,,,,,29770 E Hwy 4 Farmington 2024 Dairy AR,rancho_cordova,generic_r5,1,29,29,unknown,R5-2007-0035_general_order
Willem Postma Dairy #2,3250 Santa Fe Avenue Modesto Ca 95357,"(37.685180007333, -120.91752329884)",Dores Ag,Po Box 65 Stevinson Ca 95374,Willem Postma Dairy #1 Po Box 576529 Modesto Ca95357 209-551-2930,0000 Milnes Road Modesto Ca,,,,014-024-009,"(38.740382, -121.290973)",9/3/2024,,9/3/2024,False,,,,,,,,,,,,,,3250 Santa Fe Ave Modesto 2024 Dairy AR,rancho_cordova,generic_r5,1,29,29,unknown,R5-2007-0035_general_order
Wickstrom Jersey Farms,5638 Columbus Rd. Hilmar 95324,"(37.369953937535, -120.868669376182)",,,Brinderio & Danbom 5831 Tegner Rd. Hilmar 95324 209-652-2896,,,,,0045-0025-0021-00000045-0025-0065-0000,,3/13/24,,3/13/2024,False,,,,,,,,,,,,,Fm,"5638 Columbus Ave, Hilmar 2024 Dairy AR",rancho_cordova,generic_r5,14,131,132,unknown,R5-2007-0035_general_order
-J & J De Raadt Dairy I,,,Deniz Brothers,9230 Patterson Road Oakdale Ca 95361,Deniz Brothers 5230 Patterson Road Oakdale Ca 95361 209-605-1373,5230 Patterson Road Oakdale Ca,,,,062-025-026,"(37.728709, -120.899171)",11/4/2024,,11/4/2024,False,,,,,,,,,,,,,,6460 Smith Rd Oakdale 2024 Dairy AR,rancho_cordova,generic_r5,1,50,50,unknown,R5-2007-0035_general_order
Crane Villa,6624 Crane Road Oakdale Ca 95361,"(37.734875263523, -120.880931681432)",Hinds Spreading,19075 Third Avenue Stevinson Ca 95374,Hinds Spreading 19075 Third Avenue Stevinson Ca 95374 209-606-7463,19075 Third Avenue Stevinson Ca 95374,,,,,"(37.325729172363, -120.834534746052)",10/15/24 To 11/1/24,,,False,,,,,,20.0,222,,62.1,,,222 Loads At 20 Ton Per Load,,6624 Crane Rd Oakdale 2024 Dairy AR,rancho_cordova,generic_r5,1,19,20,unknown,R5-2007-0035_general_order
Milk Made Dai,7509 W Oakdale Rd Snelling Merced 95369,"(37.461113965819, -120.623057736374)",Kenneth Stone Spreading,5175 Shaw Winton Ca 95388,Stone Spreadin 209) 358-3200,5175 Shaw Ave Winton 95388,Merced,Broker,Broker,,"(37.425366280333, -120.579112088577)",03/15/2024,,3/15/2024,False,,,,,,,,,,,,,,7509 Oakdale Rd Snelling 2024 dairy AR,rancho_cordova,generic_r5,9,94,95,unknown,R5-2007-0035_software
