Origin Dairy Name,Origin Dairy Address,Origin Dairy Latitude (Geocoded),Origin Dairy Longitude (Geocoded),Destination Address Final,Destination Address Final Source,Destination Type (Standardized),Destination Latitude (Geocoded),Destination Longitude (Geocoded),First Haul Date,Last Haul Date,Is Pipeline,Wastewater Volume per Haul (Gallons),Wastewater Number of Hauls,Wastewater Hours Pumped (Hours),Wastewater Pumping Rate (GPM),Total Process Wastewater Exports (Gallons),Estimated Number of 10k-gallon Hauls,Estimated Number of 20k-gallon Hauls
Aj Slenders Dai,625 E Coleman Ave Laton Fresno 93242,36.46715430605,-119.782800820785,Laton 93242 2G-1 2G-2 2G-3 Fresno,Destination Address,Farmer,,,,2024-07-30,False,,,,,5420000.0,542,0
Aj Slenders Dai,625 E Coleman Ave Laton Fresno 93242,36.46715430605,-119.782800820785,Laton 93242 2G-1 2G-2 2G-3 Fresno,Destination Address,Farmer,,,,2024-05-10,False,,,,,6642000.0,664,0
Aj Slenders Dai,625 E Coleman Ave Laton Fresno 93242,36.46715430605,-119.782800820785,Laton 93242 2G-1 2G-2 2G-3 Fresno,Destination Address,Farmer,,,,2024-02-17,False,,,,,5400000.0,540,0
Black Diamond Dai,18541 S Fruit Ave Riverdale Fresno 93656,36.463649173483,-119.829910090114,Riverdale 93656 Fruit Fresno,Destination Address,Farmer,36.438315206411,-119.812750275793,,2024-02-25,False,,,,,6400000.0,640,0
Black Diamond Dairy,18541 S Fruit Ave Riverdale Fresno 93656,36.463649173483,-119.829910090114,Riverdale 93656 Fruit Fresno,Destination Address,Farmer,36.438315206411,-119.812750275793,,2024-05-10,False,,,,,6250000.0,625,0
Black Diamond Dai,18541 S Fruit Ave Riverdale Fresno 93656,36.463649173483,-119.829910090114,Riverdale 93656 Fruit Fresno,Destination Address,Farmer,36.438315206411,-119.812750275793,,2024-10-10,False,,,,,2519000.0,252,0
Black Diamond Dairy,18541 S Fruit Ave Riverdale Fresno 93656,36.463649173483,-119.829910090114,Riverdale 93656 Fruit Fresno,Destination Address,Farmer,36.438315206411,-119.812750275793,,2024-10-15,False,,,,,6320000.0,632,0
Frea Dairy Llc,6205 S. Brawley Avenue Fresno Fresno 93706,36.645105516838,-119.863987304207,Fresno 93706 Brawley And Lincoln Avenues Fresno,Destination Address,Farmer,36.64854901221,-119.862485015701,,2024-12-31,False,,,,,1423800.0,142,0
Frea Dairy Llc,6205 S. Brawley Avenue Fresno Fresno 93706,36.645105516838,-119.863987304207,Fresno 93706 S. Brawley & Lincoln Avenue Fresno,Destination Address,Farmer,36.64854901221,-119.862485015701,,2024-10-08,False,,,,,600000.0,60,0
Frea Dairy Llc,6205 S. Brawley Avenue Fresno Fresno 93706,36.645105516838,-119.863987304207,Fresno 93706 Brawley And Lincoln Avenues Fresno,Destination Address,Farmer,36.64854901221,-119.862485015701,,2024-09-30,False,,,,,762300.0,76,0
