region,template,parameter_key,page_search_text,search_direction,row_search_text,column_search_text,item_order,ignore_before,ignore_after,value_pattern
5,general_order,dairy_name,NA,right,THE DAIRY:,NA,NA,NA,NA,NA
5,general_order,dairy_address,NA,below,address of dairy:,NA,NA,NA,NA,NA
5,general_order,max_milk_cows,HERD INFORMATION,right,Maximum number,NA,0,NA,NA,\d+
5,general_order,max_dry_cows,HERD INFORMATION,right,Maximum number,NA,1,NA,NA,\d+
5,general_order,max_bred_heifers,HERD INFORMATION,right,Maximum number,NA,2,NA,NA,\d+
5,general_order,max_heifers,HERD INFORMATION,right,Maximum number,NA,3,NA,NA,\d+
5,general_order,max_calves_4_6_mo,HERD INFORMATION,right,Maximum number,NA,4,NA,NA,\d+
5,general_order,max_calves_0_3_mo,HERD INFORMATION,right,Maximum number,NA,5,NA,NA,\d+
5,general_order,avg_milk_cows,HERD INFORMATION,right,Average number,NA,0,NA,NA,\d+
5,general_order,avg_dry_cows,HERD INFORMATION,right,Average number,NA,1,NA,NA,\d+
5,general_order,avg_bred_heifers,HERD INFORMATION,right,Average number,NA,2,NA,NA,\d+
5,general_order,avg_heifers,HERD INFORMATION,right,Average number,NA,3,NA,NA,\d+
5,general_order,avg_calves_4_6_mo,HERD INFORMATION,right,Average number,NA,4,NA,NA,\d+
5,general_order,avg_calves_0_3_mo,HERD INFORMATION,right,Average number,NA,5,NA,NA,\d+
5,general_order,avg_other,NA,NA,NA,NA,NA,NA,NA,NA
5,general_order,total_manure_excreted_tons,NA,right,Total manure excreted by the herd:,NA,NA,NA,tons,\d+\.?\d*
5,general_order,avg_milk_production_lb_per_cow_per_day,NA,right,milk production:,NA,NA,NA,pounds,\d+\.?\d*
5,general_order,total_dry_manure_gen_n_after_ammonia_losses_lbs,NA,right,loss applied):,NA,NA,NA,lbs,\d+\.?\d*
5,general_order,total_dry_manure_gen_n_lbs,NA,right,Total nitrogen from manure:,NA,NA,NA,lbs,\d+\.?\d*
5,general_order,total_dry_manure_gen_p_lbs,NA,right,Total phosphorus from manure:,NA,NA,NA,lbs,\d+\.?\d*
5,general_order,total_dry_manure_gen_k_lbs,NA,right,Total potassium from manure:,NA,NA,NA,lbs,\d+\.?\d*
5,general_order,total_dry_manure_gen_salt_lbs,NA,right,Total salt from manure:,NA,NA,NA,lbs,\d+\.?\d*
5,general_order,total_process_wastewater_gen_gals,NA,right,water generated:,NA,NA,NA,gal,\d+\.?\d*
5,general_order,total_process_wastewater_gen_n_lbs,NA,right,nitrogen generated:,NA,NA,NA,lbs,\d+\.?\d*
5,general_order,total_process_wastewater_gen_p_lbs,NA,right,phosphorus generated:,NA,NA,NA,lbs,\d+\.?\d*
5,general_order,total_process_wastewater_gen_k_lbs,NA,right,potassium generated:,NA,NA,NA,lbs,\d+\.?\d*
5,general_order,total_process_wastewater_gen_salt_lbs,NA,right,Total salt generated:,NA,NA,NA,lbs,\d+\.?\d*
5,general_order,total_exports_n_lbs,NUTRIENT EXPORTS,right,Total Nitrogen Exported,NA,NA,NA,NA,\d+\.?\d*
5,general_order,total_exports_p_lbs,NUTRIENT EXPORTS,right,Total Phosphorus Exported,NA,NA,NA,NA,\d+\.?\d*
5,general_order,total_exports_k_lbs,NUTRIENT EXPORTS,right,Total Potassium Exported,NA,NA,NA,NA,\d+\.?\d*
5,general_order,total_exports_salt_lbs,NUTRIENT EXPORTS,right,Total Salts Exported,NA,NA,NA,NA,\d+\.?\d*
5,general_order,applied_n_dry_manure_lbs,SUMMARY OF NUTRIENT APPLICATIONS,right,Dry manure,NA,0,NA,NA,\d+\.?\d*
5,general_order,applied_p_dry_manure_lbs,SUMMARY OF NUTRIENT APPLICATIONS,right,Dry manure,NA,1,NA,NA,\d+\.?\d*
5,general_order,applied_k_dry_manure_lbs,SUMMARY OF NUTRIENT APPLICATIONS,right,Dry manure,NA,2,NA,NA,\d+\.?\d*
5,general_order,applied_salt_dry_manure_lbs,SUMMARY OF NUTRIENT APPLICATIONS,right,Dry manure,NA,3,NA,NA,\d+\.?\d*
5,general_order,applied_process_wastewater_n_lbs,SUMMARY OF NUTRIENT APPLICATIONS,right,Process wastewater,NA,0,NA,NA,\d+\.?\d*
5,general_order,applied_process_wastewater_p_lbs,SUMMARY OF NUTRIENT APPLICATIONS,right,Process wastewater,NA,1,NA,NA,\d+\.?\d*
5,general_order,applied_process_wastewater_k_lbs,SUMMARY OF NUTRIENT APPLICATIONS,right,Process wastewater,NA,2,NA,NA,\d+\.?\d*
5,general_order,applied_process_wastewater_salt_lbs,SUMMARY OF NUTRIENT APPLICATIONS,right,Process wastewater,NA,3,NA,NA,\d+\.?\d*
5,general_order,applied_to_removed_ratio_n,SUMMARY OF NUTRIENT APPLICATIONS,right,Applied to removed ratio,NA,0,NA,NA,\d+\.?\d*
5,general_order,applied_to_removed_ratio_p,SUMMARY OF NUTRIENT APPLICATIONS,right,Applied to removed ratio,NA,1,NA,NA,\d+\.?\d*
5,general_order,applied_to_removed_ratio_k,SUMMARY OF NUTRIENT APPLICATIONS,right,Applied to removed ratio,NA,2,NA,NA,\d+\.?\d*
5,general_order,applied_to_removed_ratio_salt,SUMMARY OF NUTRIENT APPLICATIONS,right,Applied to removed ratio,NA,3,NA,NA,\d+\.?\d*
5,innovative_ag,dairy_name,Facility Information,right,Name of Dairy,NA,NA,NA,NA,NA
5,innovative_ag,dairy_address,Facility Information,right,Facility Address,NA,NA,NA,NA,NA
5,innovative_ag,max_milk_cows,Estimated Manure and Nutrients Generated,right,Milk Cows,NA,0,),NA,NA
5,innovative_ag,max_dry_cows,Estimated Manure and Nutrients Generated,right,Dry Cows,NA,0,),NA,NA
5,innovative_ag,max_bred_heifers,Estimated Manure and Nutrients Generated,right,Bred Heifers,NA,0,),NA,NA
5,innovative_ag,max_heifers,Estimated Manure and Nutrients Generated,right,Heifers,NA,0,),NA,NA
5,innovative_ag,max_calves_4_6_mo,Estimated Manure and Nutrients Generated,right,Calves (4-12),NA,0,),NA,NA
5,innovative_ag,max_calves_0_3_mo,Estimated Manure and Nutrients Generated,right,Calves (0-3),NA,0,),NA,NA
5,innovative_ag,avg_milk_cows,Estimated Manure and Nutrients Generated,right,Milk Cows,NA,1,),NA,NA
5,innovative_ag,avg_dry_cows,Estimated Manure and Nutrients Generated,right,Dry Cows,NA,1,),NA,NA
5,innovative_ag,avg_bred_heifers,Estimated Manure and Nutrients Generated,right,Bred Heifers,NA,1,),NA,NA
5,innovative_ag,avg_heifers,Estimated Manure and Nutrients Generated,right,Heifers,NA,1,),NA,NA
5,innovative_ag,avg_calves_4_6_mo,Estimated Manure and Nutrients Generated,right,Calves (4-12),NA,1,),NA,NA
5,innovative_ag,avg_calves_0_3_mo,Estimated Manure and Nutrients Generated,right,Calves (0-3),NA,1,),NA,NA
5,innovative_ag,avg_other,NA,NA,NA,NA,NA,NA,NA,NA
5,innovative_ag,total_manure_excreted_tons,1,,NA,NA,NA,NA,NA,NA
5,innovative_ag,avg_milk_production_lb_per_cow_per_day,Estimated Manure and Nutrients Generated,,Milk Production,NA,-1,NA,NA,\d+\.?\d*
5,innovative_ag,total_dry_manure_gen_n_after_ammonia_losses_lbs,Estimated Manure and Nutrients Generated,below,Total N After Ammonia Losses,NA,-1,NA,NA,\d+\.?\d*
5,innovative_ag,total_dry_manure_gen_n_lbs,Estimated Manure and Nutrients Generated,below,NITROGEN,NA,-1,NA,NA,\d+\.?\d*
5,innovative_ag,total_dry_manure_gen_p_lbs,Estimated Manure and Nutrients Generated,below,PHOSPHORUS,NA,-1,NA,NA,\d+\.?\d*
5,innovative_ag,total_dry_manure_gen_k_lbs,Estimated Manure and Nutrients Generated,below,POTASSIUM,NA,-1,NA,NA,\d+\.?\d*
5,innovative_ag,total_dry_manure_gen_salt_lbs,Estimated Manure and Nutrients Generated,below,SALTS,NA,-1,NA,NA,\d+\.?\d*
5,innovative_ag,total_process_wastewater_gen_gals,Estimated Manure and Nutrients Generated,below,Total Gallons,NA,3,NA,NA,\d+\.?\d*
5,innovative_ag,total_process_wastewater_gen_n_lbs,5,,NA,NA,NA,NA,NA,NA
5,innovative_ag,total_process_wastewater_gen_p_lbs,5,,NA,NA,NA,NA,NA,NA
5,innovative_ag,total_process_wastewater_gen_k_lbs,5,,NA,NA,NA,NA,NA,NA
5,innovative_ag,total_process_wastewater_gen_salt_lbs,Estimated Manure and Nutrients Generated,below,Total Salt,NA,NA,NA,NA,\d+\.?\d*
5,innovative_ag,total_exports_n_lbs,Total Nitrogen,below,NA,NA,NA,NA,NA,NA
5,innovative_ag,total_exports_p_lbs,Total Phosphorus,below,NA,NA,NA,NA,NA,NA
5,innovative_ag,total_exports_k_lbs,Total Potassium,below,NA,NA,NA,NA,NA,NA
5,innovative_ag,total_exports_salt_lbs,Total Salts,below,NA,NA,NA,NA,NA,NA
5,innovative_ag,applied_n_dry_manure_lbs,Summary of Nutrient Applications,,Solid Manure,NA,NA,NA,NA,\d+\.?\d*
5,innovative_ag,applied_p_dry_manure_lbs,Summary of Nutrient Applications,,Solid Manure,NA,NA,NA,NA,\d+\.?\d*
5,innovative_ag,applied_k_dry_manure_lbs,Summary of Nutrient Applications,,Solid Manure,NA,NA,NA,NA,\d+\.?\d*
5,innovative_ag,applied_salt_dry_manure_lbs,Summary of Nutrient Applications,,Solid Manure,NA,NA,NA,NA,\d+\.?\d*
5,innovative_ag,applied_process_wastewater_n_lbs,Summary of Nutrient Applications,,Process Wastewater,Total N (Lbs),NA,NA,NA,\d+\.?\d*
5,innovative_ag,applied_process_wastewater_p_lbs,Summary of Nutrient Applications,,Process Wastewater,Total P (Lbs),NA,NA,NA,\d+\.?\d*
5,innovative_ag,applied_process_wastewater_k_lbs,Summary of Nutrient Applications,,Process Wastewater,Total K (Lbs),NA,NA,NA,\d+\.?\d*
5,innovative_ag,applied_process_wastewater_salt_lbs,Summary of Nutrient Applications,,Process Wastewater,Total Salts (Lbs),NA,NA,NA,\d+\.?\d*
5,innovative_ag,applied_to_removed_ratio_n,Summary of Nutrient Applications,,Nitrogen Ratio,Total N (Lbs),NA,NA,NA,\d+\.?\d*
5,innovative_ag,applied_to_removed_ratio_p,NA,NA,NA,NA,NA,NA,NA,NA
5,innovative_ag,applied_to_removed_ratio_k,NA,NA,NA,NA,NA,NA,NA,NA
5,innovative_ag,applied_to_removed_ratio_salt,NA,NA,NA,NA,NA,NA,NA,NA
