parameter_key,parameter_name,data_type
dairy_name,Dairy Name,text
dairy_address,Dairy Address,text
max_milk_cows,Maximum Milk Cows,numeric
max_dry_cows,Maximum Dry Cows,numeric
max_bred_heifers,Maximum Bred Heifers,numeric
max_heifers,Maximum Heifers,numeric
max_calves_4_6_mo,Maximum Calves (4-6 mo.),numeric
max_calves_0_3_mo,Maximum Calves (0-3 mo.),numeric
avg_milk_cows,Average Milk Cows,numeric
avg_dry_cows,Average Dry Cows,numeric
avg_bred_heifers,Average Bred Heifers,numeric
avg_heifers,Average Heifers,numeric
avg_calves_4_6_mo,Average Calves (4-6 mo.),numeric
avg_calves_0_3_mo,Average Calves (0-3 mo.),numeric
avg_other,Average Other/Unspecified Head,numeric
total_manure_excreted_tons,Total Manure Excreted (tons),numeric
avg_milk_production_lb_per_cow_per_day,Average Milk Production (lb per cow per day),numeric
total_dry_manure_gen_n_after_ammonia_losses_lbs,Total Dry Manure Generated N After Ammonia Losses (lbs),numeric
total_dry_manure_gen_n_lbs,Total Dry Manure Generated N (lbs),numeric
total_dry_manure_gen_p_lbs,Total Dry Manure Generated P (lbs),numeric
total_dry_manure_gen_k_lbs,Total Dry Manure Generated K (lbs),numeric
total_dry_manure_gen_salt_lbs,Total Dry Manure Generated Salt (lbs),numeric
total_process_wastewater_gen_gals,Total Process Wastewater Generated (gals),numeric
total_process_wastewater_gen_n_lbs,Total Process Wastewater Generated N (lbs),numeric
total_process_wastewater_gen_p_lbs,Total Process Wastewater Generated P (lbs),numeric
total_process_wastewater_gen_k_lbs,Total Process Wastewater Generated K (lbs),numeric
total_process_wastewater_gen_salt_lbs,Total Process Wastewater Generated Salt (lbs),numeric
total_exports_n_lbs,Total Exports N (lbs),numeric
total_exports_p_lbs,Total Exports P (lbs),numeric
total_exports_k_lbs,Total Exports K (lbs),numeric
total_exports_salt_lbs,Total Exports Salt (lbs),numeric
applied_n_dry_manure_lbs,Applied N Dry Manure (lbs),numeric
applied_p_dry_manure_lbs,Applied P Dry Manure (lbs),numeric
applied_k_dry_manure_lbs,Applied K Dry Manure (lbs),numeric
applied_salt_dry_manure_lbs,Applied Salt Dry Manure (lbs),numeric
applied_process_wastewater_n_lbs,Applied Process Wastewater N (lbs),numeric
applied_process_wastewater_p_lbs,Applied Process Wastewater P (lbs),numeric
applied_process_wastewater_k_lbs,Applied Process Wastewater K (lbs),numeric
applied_process_wastewater_salt_lbs,Applied Process Wastewater Salt (lbs),numeric
applied_to_removed_ratio_n,Applied to Removed Ratio N,numeric
applied_to_removed_ratio_p,Applied to Removed Ratio P,numeric
applied_to_removed_ratio_k,Applied to Removed Ratio K,numeric
applied_to_removed_ratio_salt,Applied to Removed Ratio Salt,numeric
operator_name,Operator Name,text
hauling_company,Hauling Company,text
destination_address,Destination Address,text
manure_amount,Manure Amount,numeric
manure_solids_content,Manure Solids Content,numeric
