RB,Responsible Party,Place (Facility),WDID,Violation ID,Violation Type,Priority Violation,Violation Program,Status, Date Occured,Violation Description,Comments,Corrective Action,Enforcement Action ID,Enforcement Action,EA Order Number,EA Effective Date,County,Staff,Discovery Date
5F,Flavio Martins,F&S Brasil Dairy,5D165056001,1111713,Order Conditions,B,ANIWSTCOWS,Violation,1/3/23,Standing water observed in the southern portion of the corrals is a violation of Production Area Specification D.6. ,,,null,null,null,null,Kings,Lewis Lummen,null
5F,Flavio Martins,F&S Brasil Dairy,5D165056001,1111714,Order Conditions,B,ANIWSTCOWS,Violation,1/3/23,"Waste applications to crops indicated by the 2017 Annual Report have resulted in nitrogen balance ratios in excess of 1.65. Nutrient applications resulting in nitrogen balance ratios in excess of 1.65 are in violation of Land Application Specification E.5.a and Attachment C, Technical Standards for Nutrient Management, Nutrient Application Rates, Nitrogen, section B.2.a.",,,null,null,null,null,Kings,Lewis Lummen,null
8,American Beef Packers Inc,American Beef Packers,8 366022001,1113150,Reporting -> Late Report,B,ANIWSTCOWS,Dismissed,1/15/23,"Failure to submit a complete Annual Monitoring Report for the 2022 calendar year by the January 15th deadline, as required by Section XI.A.3, Attachment B of Order No. R8-2018-0001.  *** Dismissed:Annual Report for the 2022 calendar year was submitted on February 22, 2023.","On November 17, 2022, A notification letter was mailed to the Discharger with attached required forms (Form 2: Summary Report of Weekly Storm Water Management Structure Inspections, Form 3: Annual Report, Form 4: Manure Tracking Manifest). ",A complete Annual Report for the 2022 calendar year must be submitted.,451304,Notice of Violation,null,2/7/23,San Bernardino,Michael  Kashak(+),null
6B,Dutch Dairy Mike Devries,Dutch Dairy,6B368010001,1113575,Order Conditions,B,ANIWSTCOWS,Violation,1/19/23,"During a site inspection on 1/19/23, ponding was observed in some corrals, as well as elevated levels of manure in corrals following a storm event. Muddy tracks with ponding were observed and not following best management practices after a storm event.","This violation was observed during a site inspection on January 19, 2023. ",Discharger must remove manure from the corrals and take measures to ensure best management practices are followed. ,452760,Oral Communication,null,1/19/23,San Bernardino,Sergio Alonso,1/19/23
8,Robert Feenstra,Archibald Ranch,8 366039001,1113628,Reporting -> Late Report,B,ANIWSTCOWS,Violation,1/16/23,"Failure to submit a complete 2022 Annual Report by the 1/15/2023 deadline, as required by Section XI.A.3 of Attachment B of Order No. R8-2018-0001.",,,451350,Notice of Violation,null,2/7/23,San Bernardino,Michael  Kashak(+),null
8,"Venegas, Art",Art Venegas Dairy - Euclid,8 365975001,1113632,Reporting -> Late Report,B,ANIWSTCOWS,Violation,1/16/23,Failure to submit a complete 2022 Annual Report by the 1/15/2023 deadline.,,,451353,Notice of Violation,null,2/7/23,San Bernardino,Michael  Kashak(+),1/16/23
8,"Batista, Zach",Batista Family Farm LLC,8 366013001,1113654,Reporting -> Late Report,B,ANIWSTCOWS,Violation,1/16/23,Failure to submit a complete 2022 Annual Report by the 1/15/2023 deadline.,,,451370,Notice of Violation,null,2/7/23,San Bernardino,Michael  Kashak(+),1/16/23
8,Frank Souza,Frank Souza Dairy - Euclid,8 365465001,1113655,Reporting -> Late Report,B,ANIWSTCOWS,Violation,1/16/23,Failure to submit a complete 2022 Annual Report by the 1/15/2023 deadline.,2022 Annual Report was submitted and received on 02-23-2023. Missing Form 4: Manure manifest. ,,451371,Notice of Violation,null,2/7/23,San Bernardino,Michael  Kashak(+),1/16/23
8,"Borba, George",George Borba & Son Dairy,8 365291001,1113656,Reporting -> Late Report,B,ANIWSTCOWS,Violation,1/16/23,Failure to submit a complete 2022 Annual Report by the 1/15/2023 deadline.,2022 Annual Report was received on 03/03/2023 from George Borba. ,,451372,Notice of Violation,null,2/7/23,San Bernardino,Michael  Kashak(+),1/16/23
8,"De Jong, Arie",Hollandia Farms North,8 335691001,1113657,Reporting -> Late Report,B,ANIWSTCOWS,Violation,1/16/23,Failure to submit a complete 2022 Annual Report by the 1/15/2023 deadline.,2022 Annual Report was received on 08/25/2023. ,,451373,Notice of Violation,null,2/7/23,Riverside,Michael  Kashak(+),1/16/23
8,LaBrucherie Bros LLC,LaBrucherie Bros LLC - Schaefer,8 366020001,1113658,Reporting -> Late Report,B,ANIWSTCOWS,Violation,2/7/23,Failure to submit a complete 2022 Annual Report by the 1/15/2023 deadline.,,,451374,Notice of Violation,null,2/7/23,San Bernardino,Michael  Kashak(+),2/7/23
8,"Bouma, Peter",P & D Dairy #3,8 365994001,1113659,Reporting -> Late Report,B,ANIWSTCOWS,Violation,1/16/23,Failure to submit a complete 2022 Annual Report by the 1/15/2023 deadline.,,,451375,Notice of Violation,null,2/7/23,San Bernardino,Michael  Kashak(+),1/16/23
8,Josh de Jong,Ramona Dairy #2,8 335705001,1113660,Reporting -> Late Report,B,ANIWSTCOWS,Violation,1/16/23,Failure to submit a complete 2022 Annual Report by the 1/15/2023 deadline.,,,451376,Notice of Violation,null,2/7/23,Riverside,Michael  Kashak(+),1/16/23
8,Josh de Jong,Ramona Dairy,8 335695001,1113661,Reporting -> Late Report,B,ANIWSTCOWS,Violation,1/16/23,Failure to submit a complete 2022 Annual Report by the 1/15/2023 deadline.,,,451377,Notice of Violation,null,2/7/23,Riverside,Michael  Kashak(+),1/16/23
8,Southwest Dairy Inc,Legend Dairy Farms - 8185 Edison,8 366043001,1113662,Reporting -> Late Report,B,ANIWSTCOWS,Violation,1/16/23,Failure to submit a complete 2022 Annual Report by the 1/15/2023 deadline.,Submitted by Betsy Hunter on 03/09/2024.,,451378,Notice of Violation,null,2/7/23,San Bernardino,Daric  Ameye(+),1/16/23
8,Frank Souza,Souza Dairy,8 366023001,1113664,Reporting -> Late Report,B,ANIWSTCOWS,Violation,1/16/23,NOV issued 2/7/2023 for failure to submit a complete 2022 Annual Report by the 1/15/2023 deadline. ,2022 Annual Report was submitted and received on 02-23-2023. Missing Form 4: Manure manifest. ,,451379,Notice of Violation,null,2/7/23,San Bernardino,Michael  Kashak(+),1/16/23
8,Frank Souza,Zephyr Dairy,8 366027001,1113665,Reporting -> Late Report,B,ANIWSTCOWS,Violation,1/16/23,Failure to submit a complete 2022 Annual Report by the 1/15/2023 deadline. ,2022 Annual Report was submitted and received on 02-23-2023. Missing Form 4: Manure manifest. ,,451380,Notice of Violation,null,2/7/23,San Bernardino,Michael  Kashak(+),1/16/23
5S,Double D Dairy,Double D Dairy,5B50NC00024,1116404,Other Codes,A,ANIWSTCOWS,Violation,3/1/23,"Standard Provision B.17, Animal waste storage areas and containment structures shall be designed, constructed, and maintained to limit, to the greatest extent possible, infiltration, inundation, erosion, slope failure, washout, overtopping, by-pass, and overflow.",,,null,null,null,null,Stanislaus,Daniel Gamon,3/1/23
5S,Joe Xavier Dairy,D Barcelos Dairy,5B24NC00218,1116736,Other Codes,B,ANIWSTCOWS,Violation,5/15/23,Primary wastewater storage lagoon with zero freeboard. Primary wastewater storage lagoon does not contain a freeboard / depth marker. Primary wastewater storage lagoon discharging wastewater and slurry manure off-property. Failure to manage wastewater/solid manure at the manure storage area and south of the manure storage area. Corral run-off discharging to cropland. StoringExcessive weeds on the primary and secondary wastewater storage lagoon embankments. wastewater and slurry manure on cropland. ,,,null,null,null,null,Merced,Sean  Walsh,5/15/23
