Source PDF,Manifest Number,Start Page,End Page,Origin Dairy Name,Origin Dairy Address,Origin Dairy Latitude (Geocoded),Origin Dairy Longitude (Geocoded),Destination Address Final,Destination Address Final Source,Destination Type (Standardized),Destination Latitude (Geocoded),Destination Longitude (Geocoded),First Haul Date,Last Haul Date,Is Pipeline,Wastewater Volume per Haul (Gallons),Wastewater Number of Hauls,Wastewater Hours Pumped (Hours),Wastewater Pumping Rate (GPM),Total Process Wastewater Exports (Gallons),"Number of <8,000 gal Hauls for Analysis","Number of >=8,000 gal Hauls for Analysis"
2024AR_AJ Selnders Dairy_625 E Coleman Ave_Fresno,2,50,51,Aj Slenders Dai,625 E Coleman Ave Laton Fresno 93242,36.466719590345,-119.783410560239,Laton 93242 2G-1 2G-2 2G-3 Fresno,Destination Address,Farmer,,,,2024-07-30,False,,,,,5420000.0,834,375
2024AR_AJ Selnders Dairy_625 E Coleman Ave_Fresno,3,52,53,Aj Slenders Dai,625 E Coleman Ave Laton Fresno 93242,36.466719590345,-119.783410560239,Laton 93242 2G-1 2G-2 2G-3 Fresno,Destination Address,Farmer,,,,2024-05-10,False,,,,,6642000.0,1022,460
2024AR_AJ Selnders Dairy_625 E Coleman Ave_Fresno,4,54,55,Aj Slenders Dai,625 E Coleman Ave Laton Fresno 93242,36.466719590345,-119.783410560239,Laton 93242 2G-1 2G-2 2G-3 Fresno,Destination Address,Farmer,,,,2024-02-17,False,,,,,5400000.0,831,374
2024AR_Black Diamond Dairy_18789 S Fruit Ave_Fresno,1,36,37,Black Diamond Dai,18541 S Fruit Ave Riverdale Fresno 93656,36.463649173483,-119.829910090114,Riverdale 93656 Fruit Fresno,Destination Address,Farmer,36.438315206411,-119.812750275793,,2024-02-25,False,,,,,6400000.0,985,443
2024AR_Black Diamond Dairy_18789 S Fruit Ave_Fresno,2,38,39,Black Diamond Dairy,18541 S Fruit Ave Riverdale Fresno 93656,36.463649173483,-119.829910090114,Riverdale 93656 Fruit Fresno,Destination Address,Farmer,36.438315206411,-119.812750275793,,2024-05-10,False,,,,,6250000.0,961,433
2024AR_Black Diamond Dairy_18789 S Fruit Ave_Fresno,4,42,43,Black Diamond Dai,18541 S Fruit Ave Riverdale Fresno 93656,36.463649173483,-119.829910090114,Riverdale 93656 Fruit Fresno,Destination Address,Farmer,36.438315206411,-119.812750275793,,2024-10-10,False,,,,,2519000.0,387,174
2024AR_Black Diamond Dairy_18789 S Fruit Ave_Fresno,5,44,45,Black Diamond Dairy,18541 S Fruit Ave Riverdale Fresno 93656,36.463649173483,-119.829910090114,Riverdale 93656 Fruit Fresno,Destination Address,Farmer,36.438315206411,-119.812750275793,,2024-10-15,False,,,,,6320000.0,972,438
2024AR_Frea Dairy LLC_6205 S Brawley Ave_Fresno,1,18,19,Frea Dairy Llc,6205 S. Brawley Avenue Fresno Fresno 93706,36.645105516838,-119.863987304207,Fresno 93706 Brawley And Lincoln Avenues Fresno,Destination Address,Farmer,36.64854901221,-119.862485015701,,2024-12-31,False,,,,,1423800.0,219,99
2024AR_Frea Dairy LLC_6205 S Brawley Ave_Fresno,5,26,27,Frea Dairy Llc,6205 S. Brawley Avenue Fresno Fresno 93706,36.645105516838,-119.863987304207,Fresno 93706 S. Brawley & Lincoln Avenue Fresno,Destination Address,Farmer,36.64854901221,-119.862485015701,,2024-10-08,False,,,,,600000.0,92,42
2024AR_Frea Dairy LLC_6205 S Brawley Ave_Fresno,6,28,29,Frea Dairy Llc,6205 S. Brawley Avenue Fresno Fresno 93706,36.645105516838,-119.863987304207,Fresno 93706 Brawley And Lincoln Avenues Fresno Stanislaus,Destination Address,Farmer,36.64855,-119.86249,,2024-09-30,False,,,,,762300.0,117,53
2024AR_Frea Dairy LLC_6205 S Brawley Ave_Fresno,8,32,33,Frea Dairy Llc,6205 S. Brawley Avenue Fresno Fresno 93706,36.645105516838,-119.863987304207,Fresno 93706 Brawley And Lincoln Avenues Fresno,Destination Address,Farmer,36.64854901221,-119.862485015701,,2024-06-30,False,,,,,1272600.0,196,88
2024AR_Frea Dairy LLC_6205 S Brawley Ave_Fresno,9,34,35,Frea Dairy Llc,6205 S. Brawley Avenue Fresno Fresno 93706,36.645105516838,-119.863987304207,Fresno 93706 Brawley And Lincoln Avenues Fresno,Destination Address,Farmer,36.64854901221,-119.862485015701,,2024-03-31,False,,,,,1627200.0,250,113
2024AR_G & A Dairy #2_6043 S Madera Ave_Fresno,2,23,24,G & A Dairy #2,6043 S Madera Kerman Fresno 93630,36.646002590026,-120.061560412898,Fresno 93706 S. Madera And Lincoln Avenues Fresno,Destination Address,Farmer,36.64744700149,-120.061134025483,,2024-03-31,False,,,,,6300021.0,969,436
