Dairy Name,Dairy Address,Average Milk Cows,Average Dry Cows,Average Bred Heifers,Average Heifers,Average Calves (4-6 mo.),Average Calves (0-3 mo.),Average Other/Unspecified Head,Total Manure Excreted (tons),Average Milk Production (lb per cow per day),Total Dry Manure Generated N After Ammonia Losses (lbs),Total Dry Manure Generated N (lbs),Total Dry Manure Generated P (lbs),Total Dry Manure Generated K (lbs),Total Dry Manure Generated Salt (lbs),Total Process Wastewater Generated (gals),Total Process Wastewater Generated N (lbs),Total Process Wastewater Generated P (lbs),Total Process Wastewater Generated K (lbs),Total Process Wastewater Generated Salt (lbs),Applied N Dry Manure (lbs),Applied P Dry Manure (lbs),Applied K Dry Manure (lbs),Applied Salt Dry Manure (lbs),Applied Process Wastewater (gals),Applied Process Wastewater N (lbs),Applied Process Wastewater P (lbs),Applied Process Wastewater K (lbs),Applied Process Wastewater Salt (lbs),Applied to Removed Ratio N,Applied to Removed Ratio P,Applied to Removed Ratio K,Applied to Removed Ratio Salt,filename,avg_milk_prod_kg_per_cow,avg_milk_prod_l_per_cow,reported_annual_milk_production_l,total_herd_size,total_applied_n_lbs,total_reported_n_lbs,unaccounted_for_n_lbs,total_applied_p_lbs,total_reported_p_lbs,unaccounted_for_p_lbs,total_applied_k_lbs,total_reported_k_lbs,unaccounted_for_k_lbs,total_applied_salt_lbs,total_reported_salt_lbs,unaccounted_for_salt_lbs,total_ww_gen_liters,ww_to_reported_milk,ww_to_estimated_milk,wastewater_ratio_discrepancy,calculated_manure_factor,manure_factor_discrepancy,usda_nitrogen_estimate_lbs,ucce_nitrogen_estimate_lbs,nitrogen_discrepancy,usda_nitrogen_pct_deviation,ucce_nitrogen_pct_deviation,USDA Nitrogen % Deviation,UCCE Nitrogen % Deviation,Maximum Milk Cows,Maximum Dry Cows,Maximum Bred Heifers,Maximum Heifers,Maximum Calves (4-6 mo.),Maximum Calves (0-3 mo.),Total Exports N (lbs),Total Exports P (lbs),Total Exports K (lbs),Total Exports Salt (lbs),Operator Name,Hauling Company,Destination Address,Manure Amount,Manure Solids Content
Costa View Dairy North,9499 Avenue 20 Chowchilla Madera 93610,0.0,0,0,0,0,0,,16252.67,1.0,117376.7,167681.0,26338.4,1.0,68985.0,0.0,0.0,0.0,0.0,0.0,58946.96,0,0,0,0.0,0.0,0,0,0,1.46,0,0,0,2023AR_Costa View Dairy North_9499 Ave 20_Madera.pdf,0.453592,0.46719976,0.0,0.0,58946.96,117376.7,0.0,0,26338.4,0.0,0,1.0,0.0,0,68985.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,419968992.8,0.0,419851616.1,357695.8766944377,-100.0,357695.8766944377,-100.0,,,,,,,,,,,,,,,
Costa View Farms,16800 Road 15 Madera Madera 93637,6025.0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,850737.42,0,0,0,557208.2,557208.2,0,0,0,0.83,0,0,0,2023AR_Costa View Farms Dairy #2_16800 Road 15_Madera.pdf,0.0,0.0,0.0,6025.0,1407945.62,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.1,0.0,319156.29999999993,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
Pimentel Dairy,18177 Road 10 1/2,0.0,0,0,0,0,0,,1.0,41.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,2023AR_Pimentel Dairy_18177 Road 10.5_Madera.pdf,18.597272,19.15519016,0.0,0.0,0.0,0.0,0.0,0,4.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25840.0,0.0,25840.0,0.0,0.0,,,,,,,,,,,,,,,,,
Golden Star Dairy,4109 E Conejo AVE Selma Fresno 93662,600.0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,6.0,32.0,238.0,0.0,0,0,0,50705.0,50705.0,0,0,0,1.29,0,0,0,2023AR_Golden Star Dairy_4109 E Conejo Ave_Fresno.pdf,0.0,0.0,0.0,600.0,50705.0,50.0,0.0,0,6.0,0.0,0,32.0,0.0,0,238.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.1,0.0,31783.2,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
—Souza's Dairy Inc.,8555 S Valentine AVE,1960.0,0,0,0,0,0,,68906.72,80.0,597191.29,853130.41,142251.63,388235.28,960807.75,48564000.0,111852.61,12800.84,169939.78,907310.46,112361.12,0,0,0,111852.61,111852.61,0,0,0,1.17,0,0,0,2023AR_Souza_s Dairy Inc._8555 S Valentine Ave_Fresno.pdf,36.28736,37.3759808,26738776.66432,1960.0,224213.72999999998,709043.9,0.0,0,155052.47,0.0,0,558175.06,0.0,0,1868118.21,0.0,183834651.24,6.875208000271285,0.0,0.0,35.15648979591837,31.056489795918367,1780549644.8000002,103825.11999999998,1779952453.5100002,298053.98761090444,-82.61442828477958,298053.98761090444,-82.61442828477958,,,,,,,,,,,,,,,
Vitoria Farms,12429 ave 24 Chowchilla Madera 93610,425.0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13060.93,0,0,0,57489.37,57489.37,0,0,0,1.07,0,0,0,2023AR_Vitoria Farms Dairy_12433 Ave 24_Madera.pdf,0.0,0.0,0.0,425.0,70550.3,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.1,0.0,22513.1,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
BANOS DAIRY,4667 Avenue 23 1/2 Chowchilla Madera 93610,610.0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15970.33,2849.42,25411.93,160784.78,0.0,0,0,0,15970.33,15970.33,0,0,0,1.4,0,0,0,2023AR_Banos Dairy_4667 Ave 23.5_Madera.pdf,0.0,0.0,0.0,610.0,15970.33,15970.33,0.0,0,2849.42,0.0,0,25411.93,0.0,0,160784.78,0.0,0.0,0.0,0.0,0.0,0.0,-4.1,0.0,32312.92,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
— Grain Mill Group West,5336 W Harlan AVE Riverdale Fresno 93656,0.0,0,0,0,0,0,,0.0,0.0,9964.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,2023AR_Monteiro Bros. Dairy #1_5336 W Harlan Ave_Fresno.pdf,0.0,0.0,0.0,0.0,0.0,9964.5,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9964.5,-100.0,-100.0,-100.0,-100.0,,,,,,,,,,,,,,,
River Valley Dairy,22700 S Cornelia AVE Riverdale Fresno 93656,0.0,0,0,0,0,0,,0.0,0.0,437064.48,0.0,0.0,0.0,0.0,28080000.0,102270.03,6145.48,145322.47,657928.66,252623.26,0,0,0,102270.03,102270.03,0,0,0,0.68,0,0,0,2023AR_River Valley Dairy_22700 S Cornelia Ave_Fresno.pdf,0.0,0.0,0.0,0.0,354893.29000000004,539334.51,0.0,0,6145.48,0.0,0,145322.47,0.0,0,657928.66,0.0,106294312.80000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-437064.48,-100.0,-100.0,-100.0,-100.0,,,,,,,,,,,,,,,
SOZINHO DAIRY #2,8489 E. Elkhorn AVE Selma Fresno 93662,1163.0,0,0,0,0,0,,41224.12,70.0,353423.46,504890.66,83974.85,222725.23,592668.75,28382000.0,79163.03,9243.09,79407.01,437259.12,124582.93,0,0,0,79163.03,79163.03,0,0,0,1.09,0,0,0,2023AR_Sozinho Dairy #2_8489 E Elkhorn Ave_Fresno.pdf,31.75144,32.703983199999996,13882677.348483998,1163.0,203745.96,432586.49,0.0,0,93217.94,0.0,0,302132.24,0.0,0,1029927.87,0.0,107437506.62,7.738961579463077,0.0,0.0,35.44636285468616,31.346362854686156,1065231260.8000001,61606.43599999999,1064877837.34,301303.6648274565,-82.56866253304182,301303.6648274565,-82.56866253304182,,,,,,,,,,,,,,,
