operator_name,hauling_company,destination_address,manure_amount,Page Numbers,Source File
"-------------=G--=ec:..;rr:...:..it:....:Rc...:..:::.o-=-e'-""lo:..:...ff:...::s'-----------",Larry Burrows Trucking & Spreading,: 2200 S. Marks Avenue Fresno 93706,1250 Tons or Cubic Yards (indicate which units used),28-29,2023AR_G & A Dairy_2200 S Marks Ave_Fresno.pdf
__________-- -=::::G:..:::e:..:.:rr:..:..it::...:R:....:..:::.o.=.e-=-=lo:..:..ff:..:::s....:......:.._ ________,Larry Burrows Trucking & Spreading,: 2200 S. Marks Avenue Fresno 93706,2450 Tons or Cubic Yards (indicate which units used),30-31,2023AR_G & A Dairy_2200 S Marks Ave_Fresno.pdf
---------- ---G=:..=ec.:..;rr:...:..it':-..'R..:..::.o.:::.el:o.:::.:.:ff:.::s_ _ _ _______,Larry Burrows Trucking & Spreading,: 2200 S. Marks Avenue Fresno 93706,1000 Tons or Cubic Yards (indicate which units used),32-33,2023AR_G & A Dairy_2200 S Marks Ave_Fresno.pdf
-------------=G:...::e:..:...rr:..:.it:..:R:....:..::.o-=-e.:..::lo:..:..ff:..::s:....___ _______ _,Larry Burrows Trucking & Spreading,: 2200 S. Marks Avenue Fresno 93706,2000 Tons or Cubic Yards (indicate which units used),34-35,2023AR_G & A Dairy_2200 S Marks Ave_Fresno.pdf
____ _______G ..=.c=e_:_:rr:...:.;it:.....:Rc....:..::.o=e'-=lo:...:.;ff:...=s_ ___ _ _____,Larry Burrows Trucking & Spreading,: 2200 S. Marks Avenue Fresno 93706,420 Tons or Cubic Yards (indicate which units used),36-37,2023AR_G & A Dairy_2200 S Marks Ave_Fresno.pdf
__________ _ G'----e-'--r_r'i-t-_R_o'-e_l-o'-_ff_s _ _________,Larry Burrows Trucking & Spreading,: 2200 S. Marks Avenue Fresno 93706,1375 Tons or Cubic Yards (indicate which units used),38-39,2023AR_G & A Dairy_2200 S Marks Ave_Fresno.pdf
"------------==G-=e.;,.;rr:..:..:it...;Rc...:o..::.-e=-.l:.o..:::.f.:..f:..s.='---_________",Larry Burrows Trucking & Spreading,: 2200 S. Marks Avenue Fresno 93706,2000 Tons or Cubic Yards (indicate which units used),40-41,2023AR_G & A Dairy_2200 S Marks Ave_Fresno.pdf
__________... .:::G:....:e:..:..r.:r...i:..t:....R:.....:..:::.o.==.e.:..::lo;..:..;ffc::s_ _________,,: 2200 S. Marks Avenue Fresno 93706,780 Tons or Cubic Yards (indicate which units used),42-43,2023AR_G & A Dairy_2200 S Marks Ave_Fresno.pdf
___________G= -=e..;.;rrc..:..;it:..:R....:.:::.oleo=:..:.;ff=s_ __ _ ______,Larry Burrows Trucking & Spreading,: 2200 S. Marks Avenue Fresno 93706,1250 Tons or Cubic Yards (indicate which units used),44-45,2023AR_G & A Dairy_2200 S Marks Ave_Fresno.pdf
___________ _G;=-e=rc...:..r::..:.it-'-R..:..;o::...;e::...:I-=-o;_;_ff-=-s_ _________,Larry Burrows Trucking & Spreading,: 2200 S. Marks Avenue Fresno 93706,1000 Tons or Cubic Yards (indicate which units used),46-47,2023AR_G & A Dairy_2200 S Marks Ave_Fresno.pdf
____ _ ______ Gc....e.c.._.r;r_.i:.t.c--R'--'-oC...e.:;_;l-o-=-.:f..f_;-_-s=- ____ ______,Larry Burrows Trucking & Spreading,: 2200 S. Marks Avenue Fresno 93706,2050 Tons or Cubic Yards (indicate which units used),48-49,2023AR_G & A Dairy_2200 S Marks Ave_Fresno.pdf
___________G _e_r_r_it_R_o_e_l_off_s_ _________,Larry Burrows Trucking & Spreading,: 2200 S. Marks Avenue Fresno 93706,2500 Tons or Cubic Yards (indicate which units used),50-51,2023AR_G & A Dairy_2200 S Marks Ave_Fresno.pdf
___________G =-=e..:...:rr...:..;it:....:R....:o-=-e-=-l=o...:..:ff=s----------,Larry Burrows Trucking & Spreading,: 2200 S. Marks Avenue Fresno 93706,1300 Tons or Cubic Yards (indicate which units used),52-53,2023AR_G & A Dairy_2200 S Marks Ave_Fresno.pdf
___________ _cG::....e-'-r-'--r----'-it-'--R---'--o'-:-;_e_lc.o.::...f:.cf..s.::. ._____ _____,Larry Burrows Trucking & Spreading,: 2200 S. Marks Avenue Fresno 93706,1225 Tons or Cubic Yards (indicate which units used),54-55,2023AR_G & A Dairy_2200 S Marks Ave_Fresno.pdf
_ ___ _ ______Gc _e..:...r'-r'--'it_R_;_oc....ec..cl...c.o..;..;ff..::.s_ ________ _,Larry Burrows Trucking & Spreading,: 2200 S. Marks Avenue Fresno 93706,2675 Tons or Cubic Yards (indicate which units used),56-57,2023AR_G & A Dairy_2200 S Marks Ave_Fresno.pdf
