Dairy Name,Dairy Address,Average Milk Cows,Average Dry Cows,Average Bred Heifers,Average Heifers,Average Calves (4-6 mo.),Average Calves (0-3 mo.),Average Other/Unspecified Head,Total Manure Excreted (tons),Average Milk Production (lb per cow per day),Total Dry Manure Generated N After Ammonia Losses (lbs),Total Dry Manure Generated N (lbs),Total Dry Manure Generated P (lbs),Total Dry Manure Generated K (lbs),Total Dry Manure Generated Salt (lbs),Total Process Wastewater Generated (gals),Total Process Wastewater Generated N (lbs),Total Process Wastewater Generated P (lbs),Total Process Wastewater Generated K (lbs),Total Process Wastewater Generated Salt (lbs),Applied N Dry Manure (lbs),Applied P Dry Manure (lbs),Applied K Dry Manure (lbs),Applied Salt Dry Manure (lbs),Applied Process Wastewater (gals),Applied Process Wastewater N (lbs),Applied Process Wastewater P (lbs),Applied Process Wastewater K (lbs),Applied Process Wastewater Salt (lbs),Applied to Removed Ratio N,Applied to Removed Ratio P,Applied to Removed Ratio K,Applied to Removed Ratio Salt,filename,Maximum Milk Cows,Maximum Dry Cows,Maximum Bred Heifers,Maximum Heifers,Maximum Calves (4-6 mo.),Maximum Calves (0-3 mo.),Total Exports N (lbs),Total Exports P (lbs),Total Exports K (lbs),Total Exports Salt (lbs),Operator Name,Hauling Company,Destination Address,Manure Amount,Manure Solids Content,Estimated Total Manure (tons),USDA Nitrogen Estimate (lbs),UCCE Nitrogen Estimate (lbs),Wastewater to Milk Ratio
,27125 Pond RD,2965.0,0,0,0,0,0,,106854.62,75.0,0.0,0.0,0.0,0.0,0.0,78798391.0,0.0,0.0,301528.36,2631141.14,71226.34,0,0,0,293186.68,293186.68,0,0,0,0.76,0,0,0,2023AR_Avalon Dairy Farms_27125 Pond Rd_Kern.pdf,,,,,,,,,,,,,,,,12156.499999999998,157061.97999999998,1082225.0,2.1402925401500252
T&W Farms 1,18346 Old River Rd Bakersfield Kern 93311,4271.0,0,0,0,0,0,,148432.31,70.0,1304063.46,1862947.81,306202.53,817935.91,2171965.35,88201210.99,354507.59,340931514.3,561801.07,3190060.74,118011.29,0,0,0,354507.59,354507.59,0,0,0,1.17,0,0,0,2023AR_T&W Farms 1_18346 Old River Rd_Kern.pdf,,,,,,,,,,,,,,,,17511.1,226243.41199999998,1558915.0,1.781921983635466
West Star North Dairy,26953 Riverside ST Buttonwillow Kern 93206,4680.0,0,0,0,0,0,,145028.29,75.0,0.0,0.0,0.0,0.0,0.0,136892271.0,0.0,0.0,524716.08,4674260.94,66567.83,0,0,0,466163.55,466163.55,0,0,0,0.95,0,0,0,2023AR_West Star North Dairy_26953 Riverside St_Kern.pdf,,,,,,,,,,,,,,,,19188.0,247908.96,1708200.0,2.3556651725482225
Maple Dairy,15857 Bear Mountain Blvd Bakersfield Kern 93311,6194.0,0,0,0,0,0,,232293.54,78.0,2043813.73,2919733.9,477077.0,1218763.81,3171229.5,68740284.96,173372.31,358365219.59,266453.44,1645036.9,418784.43,0,0,0,173372.31,173372.31,0,0,0,0.82,0,0,0,2023AR_Maple Dairy_15857 Bear Mountain Blvd_Kern.pdf,,,,,,,,,,,,,,,,25395.399999999998,328108.56799999997,2260810.0,0.8593840196893786
Kootstra Dairy Farms,13628 Adobe RD Bakersfield Kern 93307,1250.0,0,0,0,0,0,,36595.33,64.0,327962.86,468518.37,77616.94,234459.03,640301.25,1980000.0,1768.17,237.92,2288.6,15917.75,0.0,0,0,0,1768.17,1768.17,0,0,0,0.12,0,0,0,2023AR_Koostra Dairy_13628 Adobe Rd_Kern.pdf,,,,,,,,,,,,,,,,5125.0,66215.0,456250.0,0.14949165588917396
Affentranger & Sons Dairy Farms Inc.,18107 Kratzmeyer Road Bakersfield Kern 93314-9481,1250.0,0,0,0,0,0,,43399.04,70.0,374399.98,534857.12,88678.44,239386.53,634552.5,69933051.0,45368.94,8600.94,39987.42,695415.59,0.0,0,0,0,45368.94,45368.94,0,0,0,1.23,0,0,0,2023AR_Affentranger&Sons Dairy_18107 Kratzmeyer Ave_Kern.pdf,,,,,,,,,,,,,,,,5125.0,66215.0,456250.0,4.8274320786710785
Petrissans Dairy,5111 Bear Mountain BLVD Bakersfield Kern 93313,1000.0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18335112.0,53950.1,12056.91,108328.61,532462.65,0.0,0,0,0,408329.0,408329.0,0,0,0,0.0,0,0,0,2023AR_Petrissans Dairy_5111 Bear Mountain Blvd_Kern.pdf,,,,,,,,,,,,,,,,4100.0,52972.0,365000.0,0.0
— RichMar Farms,1129 E Shafter RD Bakersfield Kern 93307,2425.0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,472968.62,0,0,0,44395.69,44395.69,0,0,0,0.54,0,0,0,2023AR_RichMar Farms Dairy_1129 East Shafter Rd_Kern.pdf,,,,,,,,,,,,,,,,9942.5,128457.1,885125.0,0.0
Bear Mountain Dairy,4551 Bear Mountain Blvd Bakersfield Kern 93313,2548.0,0,0,0,0,0,,94561.99,70.0,830459.0,1186369.99,192735.09,487965.51,1342984.65,21752778.98,0.0,0.0,0.0,0.0,137618.36,0,0,0,59700.73,59700.73,0,0,0,1.11,0,0,0,2023AR_Bear Mountain Dairy_4551 Bear Mountain Blvd_Kern.pdf,,,,,,,,,,,,,,,,10446.8,134972.656,930020.0,0.7366463355038197
_ Bidart 3,25820 Stockdale HWY Bakersfield Kern 93314,1230.0,0,0,0,0,0,,37550.25,60.0,0.0,0.0,0.0,0.0,0.0,85755596.0,0.0,0.0,187324.42,1729559.38,0.0,0,0,0,178458.44,178458.44,0,0,0,1.18,0,0,0,2023AR_Bidart Dairy 3_25820 Stockdale Hwy_Kern.pdf,,,,,,,,,,,,,,,,5043.0,65155.56,448950.0,7.0185574157855095
Peterson Dairy,30999 Peterson RD Mcfarland Kern 93250,778.0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,4897.97,35445.67,217128.4,0.0,0,0,0,22447.69,22447.69,0,0,0,1.25,0,0,0,2023AR_Peterson Dairy_30999 Peterson Rd_Kern.pdf,,,,,,,,,,,,,,,,3189.7999999999997,41212.21599999999,283970.0,0.0
Belonave Ranch LLC,14461 Taft Highway Bakersfield Kern 93311,5278.0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,602742.12,0,0,0,594533.24,594533.24,0,0,0,1.22,0,0,0,2023AR_Belonave Ranch_14461 Taft Hwy_Kern.pdf,,,,,,,,,,,,,,,,21639.8,279586.216,1926470.0,0.0
