Dairy Name,Dairy Address,Average Milk Cows,Average Dry Cows,Average Bred Heifers,Average Heifers,Average Calves (4-6 mo.),Average Calves (0-3 mo.),Average Other/Unspecified Head,Total Manure Excreted (tons),Average Milk Production (lb per cow per day),Total Dry Manure Generated N After Ammonia Losses (lbs),Total Dry Manure Generated N (lbs),Total Dry Manure Generated P (lbs),Total Dry Manure Generated K (lbs),Total Dry Manure Generated Salt (lbs),Total Process Wastewater Generated (gals),Total Process Wastewater Generated N (lbs),Total Process Wastewater Generated P (lbs),Total Process Wastewater Generated K (lbs),Total Process Wastewater Generated Salt (lbs),Applied N Dry Manure (lbs),Applied P Dry Manure (lbs),Applied K Dry Manure (lbs),Applied Salt Dry Manure (lbs),Applied Process Wastewater (gals),Applied Process Wastewater N (lbs),Applied Process Wastewater P (lbs),Applied Process Wastewater K (lbs),Applied Process Wastewater Salt (lbs),Applied to Removed Ratio N,Applied to Removed Ratio P,Applied to Removed Ratio K,Applied to Removed Ratio Salt,filename,Average Milk Production (kg per cow),Average Milk Production (L per cow),Reported Annual Milk Production (L),Total Herd Size,Total Applied N (lbs),Total Reported N (lbs),Unaccounted For N (lbs),Total Applied P (lbs),Total Reported P (lbs),Unaccounted For P (lbs),Total Applied K (lbs),Total Reported K (lbs),Unaccounted For K (lbs),Total Applied Salt (lbs),Total Reported Salt (lbs),Unaccounted For Salt (lbs),Total Wastewater Generated (L),Wastewater to Reported Milk Ratio,estimated_annual_milk_production_l,wastewater_estimated,Wastewater to Estimated Milk Ratio,Wastewater Ratio Discrepancy,Calculated Manure Factor,Manure Factor Discrepancy,USDA N Estimate (lbs),UCCE N Estimate (lbs),Nitrogen Discrepancy,USDA Nitrogen % Deviation,UCCE Nitrogen % Deviation,Operator Name,Hauling Company,Destination Address,Manure Amount,Manure Solids Content
,27125 Pond RD,2965.0,285.0,410.0,1440.0,1290.0,650.0,,106854.62,75.0,0.0,0.0,0.0,0.0,0.0,78798391.0,0.0,0.0,301528.36,2631141.14,71226.34,29647.51,99427.63,1224093.3,293186.68,293186.68,50145.95,301528.36,2631141.14,0.76,1.03,0.95,2.21,2023AR_Avalon Dairy Farms_27125 Pond Rd_Kern.pdf,34.0194,35.039981999999995,41566178.64749999,7040.0,364413.02,0.0,0.0,79793.45999999999,0.0,0.0,400955.99,301528.36,0.0,3855234.4400000004,2631141.14,0.0,298284217.27531004,7.176127971851711,41566178.64749999,42813164.006924994,7.176127971851711,0.0,25.665140128881074,21.565140128881076,2761123380.7999997,220544.4,-2761123380.7999997,-100.0,-100.0,,,,,
T&W Farms 1,18346 Old River Rd Bakersfield Kern 93311,4271.0,700.0,1495.0,1225.0,447.0,427.0,,148432.31,70.0,1304063.46,1862947.81,306202.53,817935.91,2171965.35,88201210.99,354507.59,340931514.3,561801.07,3190060.74,118011.29,32973.96,192416.96,0.0,354507.59,354507.59,340931514.3,561801.07,3075.3,1.17,3250.26,51.62,0.0,2023AR_T&W Farms 1_18346 Old River Rd_Kern.pdf,31.75144,32.703983199999996,59338597.67782799,8565.0,472518.88,1658571.05,0.0,340964488.26,341237716.83,0.0,754218.0299999999,1379736.98,0.0,3075.3,5362026.09,0.0,333877746.0936559,5.626653799714079,59338597.67782799,61118755.608162835,5.626653799714079,0.0,24.442526578333286,20.342526578333285,3835490890.4,321683.452,-3834186826.94,-99.96600008975999,305.38717546465523,,,,,
West Star North Dairy,26953 Riverside ST Buttonwillow Kern 93206,4680.0,615.0,340.0,0.0,0.0,0.0,,145028.29,75.0,0.0,0.0,0.0,0.0,0.0,136892271.0,0.0,0.0,524716.08,4674260.94,66567.83,24078.11,94768.76,0.0,466163.55,466163.55,64906.58,524716.08,4674260.94,0.95,0.85,1.11,2.54,2023AR_West Star North Dairy_26953 Riverside St_Kern.pdf,34.0194,35.039981999999995,67720897.21184999,5635.0,532731.38,0.0,0.0,88984.69,0.0,0.0,619484.84,524716.08,0.0,4674260.94,4674260.94,0.0,518193371.56611,7.651897610645287,67720897.21184999,69752524.1282055,7.651897610645287,0.0,26.76099772722159,22.66099772722159,3747531013.6000004,287075.94,-3747531013.6000004,-100.0,-100.0,,,,,
Maple Dairy,15857 Bear Mountain Blvd Bakersfield Kern 93311,6194.0,1108.0,2459.0,2336.0,948.0,1187.0,,232293.54,78.0,2043813.73,2919733.9,477077.0,1218763.81,3171229.5,68740284.96,173372.31,358365219.59,266453.44,1645036.9,418784.43,117620.04,475915.45,0.0,173372.31,173372.31,358365219.59,266453.44,0.0,0.82,2482.9,1.34,0.0,2023AR_Maple Dairy_15857 Bear Mountain Blvd_Kern.pdf,35.380176,36.44158128,97125195.6748944,14232.0,592156.74,2217186.04,0.0,358482839.63,358842296.59,0.0,742368.89,1485217.25,0.0,0.0,4816266.4,0.0,260210162.0904336,2.6791211104627357,97125195.6748944,100038951.54514123,2.6791211104627357,0.0,24.933204025320563,20.833204025320562,6002465073.599999,493520.74399999995,-6000421259.87,-99.96595042695061,314.12924478813807,,,,,
Kootstra Dairy Farms,13628 Adobe RD Bakersfield Kern 93307,1250.0,225.0,208.0,0.0,0.0,0.0,,36595.33,64.0,327962.86,468518.37,77616.94,234459.03,640301.25,1980000.0,1768.17,237.92,2288.6,15917.75,0.0,0.0,0.0,0.0,1768.17,1768.17,237.92,2288.6,15917.75,0.12,0.0,0.0,1.23,2023AR_Koostra Dairy_13628 Adobe Rd_Kern.pdf,29.029888,29.90078464,16097834.93056,1683.0,1768.17,329731.02999999997,0.0,237.92,77854.86,0.0,2288.6,236747.63,0.0,15917.75,656219.0,0.0,7495111.800000001,0.46559750626907853,16097834.93056,16580769.9784768,0.46559750626907853,0.0,23.5931838981052,19.4931838981052,945623327.2,82164.74,-945295364.34,-99.96531781201178,299.1527996072281,,,,,
Affentranger & Sons Dairy Farms Inc.,18107 Kratzmeyer Road Bakersfield Kern 93314-9481,1250.0,200.0,390.0,390.0,100.0,0.0,,43399.04,70.0,374399.98,534857.12,88678.44,239386.53,634552.5,69933051.0,45368.94,8600.94,39987.42,695415.59,0.0,0.0,0.0,0.0,45368.94,45368.94,8600.94,39987.42,695415.59,1.23,2.19,1.23,4.39,2023AR_Affentranger&Sons Dairy_18107 Kratzmeyer Ave_Kern.pdf,31.75144,32.703983199999996,17308583.108599998,2330.0,45368.94,419768.92,0.0,8600.94,97279.38,0.0,39987.42,279373.95,0.0,695415.59,1329968.0899999999,0.0,264725270.58591002,15.294450673687887,17308583.108599998,17827840.601857997,15.294450673687887,0.0,24.834063363572923,20.734063363572922,1121431193.6000001,92571.8,-1121056793.6200001,-99.96661409258662,304.4428000751849,,,,,
Bear Mountain Dairy,4551 Bear Mountain Blvd Bakersfield Kern 93313,2548.0,623.0,898.0,988.0,392.0,374.0,,94561.99,70.0,830459.0,1186369.99,192735.09,487965.51,1342984.65,21752778.98,0.0,0.0,0.0,0.0,137618.36,45517.36,142111.89,2833.3,59700.73,59700.73,114531007.5,144444.05,349.53,1.11,3179.12,603.67,0.0,2023AR_Bear Mountain Dairy_4551 Bear Mountain Blvd_Kern.pdf,31.75144,32.703983199999996,37852080.715427995,5823.0,197319.09,830459.0,0.0,114576524.86,192735.09,0.0,286555.94,487965.51,0.0,3182.83,1342984.65,0.0,82343187.07868181,2.175393941953628,37852080.715427995,38987643.136890836,2.175393941953628,0.0,23.913018423373693,19.81301842337369,2443481821.6,209473.25199999998,-2442651362.6,-99.96601329329897,296.45109438602697,,,,,
_ Bidart 3,25820 Stockdale HWY Bakersfield Kern 93314,1230.0,0.0,425.0,0.0,0.0,0.0,,37550.25,60.0,0.0,0.0,0.0,0.0,0.0,85755596.0,0.0,0.0,187324.42,1729559.38,0.0,0.0,0.0,0.0,178458.44,178458.44,31050.28,187324.42,1729559.38,1.18,1.11,1.3,2.93,2023AR_Bidart Dairy 3_25820 Stockdale Hwy_Kern.pdf,27.215519999999998,28.0319856,12584959.93512,1655.0,178458.44,0.0,0.0,31050.28,0.0,0.0,187324.42,187324.42,0.0,1729559.38,1729559.38,0.0,324620090.65436,25.79428876435789,12584959.93512,12962508.7331736,25.79428876435789,0.0,27.102548191180354,23.002548191180352,970298460.0,73392.06,-970298460.0,-100.0,-100.0,,,,,
Carlos Echeverria & Sons Dairy,20229 Old River RD Bakersfield Kern 93311,5025.0,760.0,1625.0,1360.0,600.0,775.0,,177824.27,75.0,0.0,0.0,0.0,0.0,0.0,124525685.0,0.0,0.0,511606.64,3180491.19,549564.16,227864.32,861624.64,450264.0,247979.69,247979.69,48201.64,511606.64,3180491.19,1.18,2.18,2.66,7.61,2023AR_Carlos Echeverria & Sons Dairy_20229 Old River Rd_Kern.pdf,34.0194,35.039981999999995,73987797.99254999,10145.0,797543.8500000001,0.0,0.0,276065.96,0.0,0.0,1373231.28,511606.64,0.0,3630755.19,3180491.19,0.0,471380773.25585,6.371060986344188,73987797.99254999,76207431.93232648,6.371060986344188,0.0,25.242076168054425,21.142076168054423,4594979136.799999,373174.82,-4594979136.799999,-100.0,-100.0,,,,,
,Westwind Farms,1098.0,180.0,74.0,0.0,0.0,0.0,,31568.81,70.0,285683.96,408119.95,67866.7,210277.13,558384.3,9347600.58,9399.4,21104814.05,9223.2,78181.56,96950.12,30852.57,71654.3,2374.4,9399.4,9399.4,21104814.05,9223.2,19.28,1.24,795.41,222.02,0.0,2023AR_Westwind Farms_6221 Bear Mountain Blvd_Kern.pdf,31.75144,32.703983199999996,15255427.043303998,1352.0,106349.51999999999,295083.36000000004,0.0,21135666.62,21172680.75,0.0,80877.5,219500.33000000002,0.0,2393.6800000000003,636565.8600000001,0.0,35384500.7115378,2.319469695020368,15255427.043303998,15713089.85460312,2.319469695020368,0.0,24.18930272108844,20.089302721088437,815738050.4000001,69132.336,-815452366.44,-99.96497846828893,313.2421621048651,,,,,
