Dairy Name,Dairy Address,Maximum Milk Cows,Maximum Dry Cows,Maximum Bred Heifers,Maximum Heifers,Maximum Calves (4-6 mo.),Maximum Calves (0-3 mo.),Average Milk Cows,Average Dry Cows,Average Bred Heifers,Average Heifers,Average Calves (4-6 mo.),Average Calves (0-3 mo.),Average Other/Unspecified Head,Total Manure Excreted (tons),Average Milk Production (lb per cow per day),Total Dry Manure Generated N After Ammonia Losses (lbs),Total Dry Manure Generated N (lbs),Total Dry Manure Generated P (lbs),Total Dry Manure Generated K (lbs),Total Dry Manure Generated Salt (lbs),Total Process Wastewater Generated (gals),Total Process Wastewater Generated N (lbs),Total Process Wastewater Generated P (lbs),Total Process Wastewater Generated K (lbs),Total Process Wastewater Generated Salt (lbs),Total Exports N (lbs),Total Exports P (lbs),Total Exports K (lbs),Total Exports Salt (lbs),Applied N Dry Manure (lbs),Applied P Dry Manure (lbs),Applied K Dry Manure (lbs),Applied Salt Dry Manure (lbs),Applied Process Wastewater N (lbs),Applied Process Wastewater P (lbs),Applied Process Wastewater K (lbs),Applied Process Wastewater Salt (lbs),Applied to Removed Ratio N,Applied to Removed Ratio P,Applied to Removed Ratio K,Applied to Removed Ratio Salt,filename,Estimated Total Manure (tons),USDA Nitrogen Estimate (lbs),UCCE Nitrogen Estimate (lbs),Wastewater to Milk Ratio,Average Milk Production (kg per cow),Average Milk Production (L per cow),Reported Annual Milk Production (L),Estimated Milk Production (lb per cow per day),Estimated Milk Production (kg per cow),Estimated Milk Production (L per cow),Estimated Annual Milk Production (L),Milk Production Discrepancy (L),Total Herd Size,Total Applied N (lbs),Total Reported N (lbs),Unaccounted-for N (lbs),Total Applied P (lbs),Total Reported P (lbs),Unaccounted-for P (lbs),Total Applied K (lbs),Total Reported K (lbs),Unaccounted-for K (lbs),Total Applied Salt (lbs),Total Reported Salt (lbs),Unaccounted-for Salt (lbs),Total Process Wastewater Generated (L),Ratio of Wastewater to Milk (L/L),Milk Production Source,Calculated Manure Factor,Nitrogen Discrepancy,Wastewater Ratio Discrepancy,Manure Factor Discrepancy,USDA Nitrogen % Deviation,UCCE Nitrogen % Deviation
Mattos Bros. Dairy,4017 Kansas AVE Hanford Kings 93230,2100.0,0,0,0,0,0,2100.0,0,0,0,0,0,,76576.9,85.0,664047.09,948638.7,157490.74,422864.88,1057770.0,0.0,94172.9,13456.15,159264.58,1091638.78,0,0,0,0,83676.24,0,0,0,94172.9,0,0,0,0.74,0,0,0,2023AR_Mattos Brothers Dairy_4017 Kansas Ave_Kings.pdf,8610.0,111241.2,766500.0,0,38.55532,39.7119796,30439232.3634,85.0,38.55532,39.7119796,30439232.3634,0.0,0.0,177849.14,758219.99,580370.85,0,170946.88999999998,170946.88999999998,0,582129.46,582129.46,0,2149408.7800000003,2149408.7800000003,0.0,0.0,Reported,36.46519047619047,-552805.89,0.0,32.36519047619047,-83.24799525889046,15.428560947387036
Golden Star Dairy #2,This owner is responsible for paying permit fees.,0.0,0,0,0,0,0,0.0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,24072.93,0,0,0,0.53,0,0,0,2023AR_Golden Star Dairy LLC #2_6398 16th Avenue_Kings.pdf,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24072.93,0.0,-24072.93,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,Estimated,0.0,0.0,0.0,0.0,0.0,0.0
C&R Dairy,18321 Idaho AVE Lemoore Kings 93245,595.0,0,0,0,0,0,395.0,0,0,0,0,0,,9759.22,62.0,89338.38,127626.25,21535.67,73570.02,185985.75,0.0,9574.07,709.95,4240.72,27149.21,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,2023AR_C&R Dairy_18321 Idaho Avenue_Kings.pdf,1619.4999999999998,20923.94,144175.0,0,28.122704,28.966385119999998,4176228.5746759996,62.0,28.122704,28.966385119999998,4176228.5746759996,0.0,0.0,0.0,98912.45000000001,98912.45000000001,0,22245.62,22245.62,0,77810.74,77810.74,0,213134.96,213134.96,0.0,0.0,Reported,24.706886075949367,-68414.44,0.0,20.60688607594937,-76.57900221606883,61.380808561784974
Sierra Blanca Ranch Physical address of dairy 15673 5th 12 AVE Hanford Kings 93230 Number and Street City County Zip Code Street and nearest cross street (if no address) Date facility was originally placed in operation 03011990 Regional Water Quality Control Board Basin Plan designation Tulare Basin County Assessor Parcel Number(s) for dairy facility X028-X070-X004-XXXX X028-X070-X019-XXXX B. OPERATORS TeVelde Adam Operator name TeVelde Adam Telephone no. (559) 410-3456 Landline Cellular 2911 Hanford-Armona RD Hanford CA 93230 Mailing Address Number and Street City State Zip Code This operator is responsible for paying permit fees. TeVelde Jacob Operator name TeVelde Jacob Telephone no. (559) 786-6757 Landline Cellular 2911 Hanford-Armona RD Hanford CA 93230 Mailing Address Number and Street City State Zip Code C. OWNERS Sierra Blanca Ranch 15673 5th 12 AVE Hanford CA 93230 Kings County Tulare Basin 061112024 123936 Page 1 of 109,PDF PAGE BREAK 1,3.0,0,0,0,0,0,3.0,0,0,0,0,0,,97.0,75.0,891.0,1.0,208.0,642.0,1.0,173.0,296.0,54.0,721.0,2.0,0,0,0,0,0.0,0,0,0,296.0,0,0,0,0.0,0,0,0,2023AR_Sierra Blanca Ranch_15673 5 1-2 Avenue_Kings.pdf,12.299999999999999,158.916,1095.0,0,34.0194,35.039981999999995,38368.780289999995,75.0,34.0194,35.039981999999995,38368.780289999995,0.0,0.0,296.0,1187.0,891.0,0,262.0,262.0,0,1363.0,1363.0,0,3.0,3.0,654.87593,0.01706793713665898,Reported,32.333333333333336,-732.0840000000001,-0.01706793713665898,28.233333333333334,-82.16430976430978,22.895622895622896
Barreto & Silveira Dairy,11305 2nd Ave Hanford Kings 93230,0.0,0,0,0,0,0,0.0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,187040.0,0,0,0,0.0,0,0,0,0.49,0,0,0,2023AR_Barreto & Silveira Dairy_11305 2nd Avenue_Kings.pdf,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187040.0,0.0,-187040.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,Estimated,0.0,0.0,0.0,0.0,0.0,0.0
SOZINHO DAIRY 1,11447 8 1/2 AVE Hanford Kings 93230,1200.0,0,0,0,0,0,1200.0,0,0,0,0,0,,46561.72,69.0,401026.34,572894.77,92386.7,229022.67,608710.5,0.0,198842.29,15068.88,139318.81,922401.95,0,0,0,0,36790.2,0,0,0,198842.29,0,0,0,1.28,0,0,0,2023AR_Sozinho Dairy #1 and #3_11447 8 1-2 Avenue_Kings.pdf,4920.0,63566.4,438000.0,0,31.297848,32.236783439999996,14119711.14672,69.0,31.297848,32.236783439999996,14119711.14672,0.0,0.0,235632.49,599868.63,364236.14,0,107455.58,107455.58,0,368341.48,368341.48,0,1531112.45,1531112.45,0.0,0.0,Reported,38.801433333333335,-337459.94,0.0,34.701433333333334,-84.14907110590292,9.219758482697165
Richard Simas,17571 Flint AVE Hanford Kings 93230,1.0,0,0,0,0,0,1.0,0,0,0,0,0,,17.5,1.0,160.65,229.5,37.31,146.18,470.85,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,2023AR_Richard Simas Dairy_17571 Flint Avenue_Kings.pdf,4.1,52.971999999999994,365.0,0,0.453592,0.46719976,170.52791240000002,1.0,0.453592,0.46719976,170.52791240000002,0.0,0.0,0.0,160.65,160.65,0,37.31,37.31,0,146.18,146.18,0,470.85,470.85,0.0,0.0,Reported,17.5,-107.67800000000001,0.0,13.4,-67.02645502645504,127.20199190787424
Silva & Son Dairy,8331 Excelsior AVE Hanford Kings 93230,520.0,0,0,0,0,0,510.0,0,0,0,0,0,,14553.03,68.0,131415.2,187736.0,31439.26,96999.57,250941.15,0.0,5266.5,1882.31,13435.38,65093.0,0,0,0,0,54054.0,0,0,0,5266.5,0,0,0,0.97,0,0,0,2023AR_Silva & Son Dairy_8331 Excelsior Avenue_Kings.pdf,2091.0,27015.72,186150.0,0,30.844256,31.769583680000004,5913908.002032001,68.0,30.844256,31.769583680000004,5913908.002032001,0.0,0.0,59320.5,136681.7,77361.20000000001,0,33321.57,33321.57,0,110434.95000000001,110434.95000000001,0,316034.15,316034.15,0.0,0.0,Reported,28.535352941176473,-104399.48000000001,0.0,24.435352941176475,-79.44246936427444,41.65028094162622
Mendes & Toste Dairy,23568 Fargo AVE Lemoore Kings 93245,325.0,0,0,0,0,0,325.0,0,0,0,0,0,,8495.07,65.0,77747.27,111067.53,18596.56,61172.87,158775.0,0.0,78125.42,6780.71,77658.44,449118.89,0,0,0,0,0.0,0,0,0,78125.42,0,0,0,1.16,0,0,0,2023AR_Mendes & Toste Dairy_23568 Fargo Avenue_Kings.pdf,1332.4999999999998,17215.899999999998,118625.0,0,29.48348,30.3679844,3602402.1494500004,65.0,29.48348,30.3679844,3602402.1494500004,0.0,0.0,78125.42,155872.69,77747.27,0,25377.27,25377.27,0,138831.31,138831.31,0,607893.89,607893.89,0.0,0.0,Reported,26.138676923076922,-60531.37000000001,0.0,22.03867692307692,-77.8565858325315,52.577704657668356
Neves Dairy,16831 Jackson AVE Lemoore Kings 93245,360.0,0,0,0,0,0,360.0,0,0,0,0,0,,10205.35,61.0,91557.12,130795.89,21737.33,66814.64,178704.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,2023AR_Neves Dairy_16831 Jackson Ave_Kings.pdf,1475.9999999999998,19069.92,131400.0,0,27.669112,28.49918536,3744792.9563039993,61.0,27.669112,28.49918536,3744792.9563039993,0.0,0.0,0.0,91557.12,91557.12,0,21737.33,21737.33,0,66814.64,66814.64,0,178704.0,178704.0,0.0,0.0,Reported,28.348194444444445,-72487.2,0.0,24.248194444444444,-79.17155978693955,43.516965147003326
