dairy_name,dairy_address,avg_milk_cows,avg_dry_cows,avg_bred_heifers,avg_heifers,avg_calves_4_6_mo,avg_calves_0_3_mo,avg_other,total_manure_excreted_tons,avg_milk_lb_per_cow_day,total_manure_gen_n_after_nh3_losses_lbs,total_manure_gen_n_lbs,total_manure_gen_p_lbs,total_manure_gen_k_lbs,total_manure_gen_salt_lbs,total_ww_gen_gals,total_ww_gen_n_lbs,total_ww_gen_p_lbs,total_ww_gen_k_lbs,total_ww_gen_salt_lbs,applied_n_dry_manure_lbs,applied_p_dry_manure_lbs,applied_k_dry_manure_lbs,applied_salt_dry_manure_lbs,applied_ww_gals,applied_ww_n_lbs,applied_ww_p_lbs,applied_ww_k_lbs,applied_ww_salt_lbs,applied_to_removed_ratio_n,applied_to_removed_ratio_p,applied_to_removed_ratio_k,applied_to_removed_ratio_salt,filename,avg_milk_prod_kg_per_cow,avg_milk_prod_l_per_cow,reported_annual_milk_production_l,total_herd_size,total_applied_n_lbs,total_reported_n_lbs,unaccounted_for_n_lbs,total_applied_p_lbs,total_reported_p_lbs,unaccounted_for_p_lbs,total_applied_k_lbs,total_reported_k_lbs,unaccounted_for_k_lbs,total_applied_salt_lbs,total_reported_salt_lbs,unaccounted_for_salt_lbs,total_ww_gen_liters,wastewater_to_reported,estimated_annual_milk_production_l,wastewater_estimated,wastewater_to_estimated,wastewater_ratio_discrepancy,calculated_manure_factor,manure_factor_discrepancy,usda_nitrogen_estimate_lbs,ucce_nitrogen_estimate_lbs,nitrogen_discrepancy,usda_nitrogen_pct_deviation,ucce_nitrogen_pct_deviation
Mattos Bros. Dairy,4017 Kansas AVE Hanford Kings 93230,2100.0,300.0,900.0,400.0,350.0,0.0,,76576.9,85.0,0.0,948638.7,157490.74,422864.88,1057770.0,18070500.0,94172.9,13456.15,159264.58,1091638.78,83676.24,37430.98,78652.74,77668.36,94172.9,94172.9,13456.15,159264.58,1091.0,0.74,1.09,0.92,1.15,2023AR_Mattos Brothers Dairy_4017 Kansas Ave_Kings.pdf,38.55532,39.7119796,34787694.1296,4050.0,177849.14,94172.9,0.0,50887.130000000005,170946.88999999998,0.0,237917.32,582129.46,0.0,78759.36,2149408.7800000003,0.0,68404251.405,1.9663347375127254,34787694.1296,35831324.95348801,1.9663347375127254,0.0,0.0,0.0,0.0,886052.0243902439,0.0,0.0,-100.0
C&R Dairy,18321 Idaho AVE Lemoore Kings 93245,395.0,0.0,0.0,0.0,0.0,0.0,,9759.22,62.0,89338.38,127626.25,21535.67,73570.02,185985.75,2050000.0,9574.07,709.95,4240.72,27149.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023AR_C&R Dairy_18321 Idaho Avenue_Kings.pdf,28.122704,28.966385119999998,4176228.5746759996,395.0,0.0,98912.45000000001,0.0,0.0,22245.62,0.0,0.0,77810.74,0.0,0.0,213134.96,0.0,7760090.5,1.858157512511643,4176228.5746759996,4301515.43191628,1.858157512511643,0.0,0.0,0.0,0.0,119929.9,0.0,0.0,-25.507834159788334
Sierra BIanca Ranch,15673 5th 1/2 AVE Hanford Kings 93230,3300.0,500.0,100.0,0.0,0.0,800.0,,97722.85,0.0,0.0,0.0,208564.04,642820.95,0.0,0.0,296562.4,54272.48,0.0,0.0,0.0,0.0,0.0,0.0,296562.4,296562.4,54272.48,721750.94,2018108.74,0.0,0.0,0.0,0.0,2023AR_Sierra Blanca Ranch_15673 5 1-2 Avenue_Kings.pdf,0.0,0.0,0.0,4700.0,296562.4,296562.4,0.0,54272.48,262836.52,0.0,721750.94,642820.95,0.0,2018108.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1194485.512195122,0.0,0.0,-100.0
SOZINHO DAIRY 1,11447 8 1/2 AVE Hanford Kings 93230,1200.0,190.0,350.0,750.0,275.0,375.0,,46561.72,69.0,0.0,0.0,92386.7,0.0,608710.5,46180000.0,198842.29,15068.88,139318.81,922401.95,36790.2,20025.0,80576.6,1946086.2,198842.29,198842.29,15068.88,139318.81,922401.95,1.28,0.97,0.92,3.21,2023AR_Sozinho Dairy #1 and #3_11447 8 1-2 Avenue_Kings.pdf,31.297848,32.236783439999996,16355332.078283997,3140.0,235632.49,198842.29,0.0,35093.88,107455.58,0.0,219895.41,139318.81,0.0,2868488.15,1531112.45,0.0,174810233.8,10.688271749132294,16355332.078283997,16845992.040632516,10.688271749132294,0.0,0.0,0.0,0.0,568287.7756097561,0.0,0.0,-100.0
Richard Simas,17571 Flint AVE Hanford Kings 93230,1.0,0.0,0.0,0.0,0.0,0.0,,17.5,1.0,0.0,229.5,37.31,146.18,470.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023AR_Richard Simas Dairy_17571 Flint Avenue_Kings.pdf,0.453592,0.46719976,170.52791240000002,1.0,0.0,0.0,0.0,0.0,37.31,0.0,0.0,146.18,0.0,0.0,470.85,0.0,0.0,0.0,170.52791240000002,175.64374977200004,0.0,0.0,0.0,0.0,0.0,303.62,0.0,0.0,-100.0
Silva & Son Dairy,8331 Excelsior AVE Hanford Kings 93230,510.0,47.0,53.0,49.0,0.0,0.0,,14553.03,68.0,0.0,187736.0,31439.26,96999.57,250941.15,3756000.0,5266.5,1882.31,13435.38,65093.0,54054.0,23738.0,86086.0,0.0,5266.5,5266.5,1882.31,13435.38,65093.0,0.97,0.77,0.89,0.65,2023AR_Silva & Son Dairy_8331 Excelsior Avenue_Kings.pdf,30.844256,31.769583680000004,6458915.210062401,659.0,59320.5,5266.5,0.0,25620.31,33321.57,0.0,99521.38,110434.95000000001,0.0,65093.0,316034.15,0.0,14217999.96,2.2012984375223956,6458915.210062401,6652682.666364274,2.2012984375223956,0.0,0.0,0.0,0.0,180446.54975609755,0.0,0.0,-100.0
Mendes & Toste Dairy,23568 Fargo AVE Lemoore Kings 93245,325.0,25.0,0.0,0.0,0.0,0.0,,8495.07,65.0,0.0,111067.53,18596.56,0.0,158775.0,23925000.0,78125.42,0.0,0.0,449118.89,0.0,0.0,0.0,0.0,78125.42,78125.42,6780.71,77658.44,449118.89,1.16,0.71,1.12,1.06,2023AR_Mendes & Toste Dairy_23568 Fargo Avenue_Kings.pdf,29.48348,30.3679844,3879510.0071000005,350.0,78125.42,78125.42,0.0,6780.71,18596.56,0.0,77658.44,0.0,0.0,449118.89,607893.89,0.0,90565934.25,23.344683757549983,3879510.0071000005,3995895.307313001,23.344683757549983,0.0,0.0,0.0,0.0,106267.0,0.0,0.0,-100.0
Neves Dairy,16831 Jackson AVE Lemoore Kings 93245,360.0,40.0,30.0,45.0,12.0,0.0,,10205.35,61.0,0.0,130795.89,0.0,66814.64,178704.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023AR_Neves Dairy_16831 Jackson Ave_Kings.pdf,27.669112,28.49918536,4160881.0625599995,487.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66814.64,0.0,0.0,178704.0,0.0,0.0,0.0,4160881.0625599995,4285707.4944368,0.0,0.0,0.0,0.0,0.0,130223.35853658537,0.0,0.0,-100.0
—Sozinho Jerseys 2,5811 Lacey BLVD,898.0,102.0,71.0,82.0,25.0,0.0,,25122.74,61.0,226227.41,323182.02,53710.9,166665.41,446278.2,10944000.0,50466.62,5989.26,129623.12,499625.5,0.0,0.0,0.0,0.0,50466.62,50466.62,5989.26,129623.12,499625.5,0.82,0.19,0.99,1.35,2023AR_Sozinho Jerseys 2_5811 Lacey Boulevard_Kings.pdf,27.669112,28.49918536,10402202.6564,1178.0,50466.62,276694.03,0.0,5989.26,59700.16,0.0,129623.12,296288.53,0.0,499625.5,945903.7,0.0,41427527.04,3.982572577021611,10402202.6564,10714268.736092001,3.982572577021611,0.0,0.0,0.0,0.0,321540.9853658537,0.0,0.0,-29.64274531204929
Parreira Gaspar Dairy,17800 4th AVE Hanford Kings 93230,1208.0,135.0,268.0,247.0,172.0,0.0,,39350.15,0.0,0.0,496196.17,0.0,236674.99,0.0,0.0,223691.47,46566.21,485306.48,0.0,0.0,0.0,0.0,0.0,223691.47,223691.47,46566.21,485306.48,2515208.57,0.0,0.0,0.0,0.0,2023AR_Parreira & Gaspar Dairy_17800 4th Avenue_Kings.pdf,0.0,0.0,0.0,2030.0,223691.47,223691.47,0.0,46566.21,46566.21,0.0,485306.48,721981.47,0.0,2515208.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,471336.7258536585,0.0,0.0,-100.0
Dover Dairy,4265 Dover AVE Hanford Kings 93230,2150.0,275.0,1115.0,540.0,475.0,505.0,,78916.2,68.0,680255.83,971794.04,157604.4,408919.74,1075563.75,54708748.0,182419.99,55244.2,294814.37,2131825.17,132354.72,50096.88,141631.92,0.0,182419.99,182419.99,55244.2,294814.37,2131825.17,1.17,1.64,1.79,1.87,2023AR_Dover Dairy_4265 Dover Avenue_Kings.pdf,30.844256,31.769583680000004,28120052.75476,5060.0,314774.70999999996,862675.82,0.0,105341.07999999999,212848.59999999998,0.0,436446.29000000004,703734.11,0.0,2131825.17,3207388.92,0.0,207095041.76668,7.364674724218792,28120052.75476,28963654.337402802,7.364674724218792,0.0,0.0,0.0,0.0,956403.0,0.0,0.0,-28.873515662330636
