dairy_name,dairy_address,avg_milk_cows,avg_dry_cows,avg_bred_heifers,avg_heifers,avg_calves_4_6_mo,avg_calves_0_3_mo,avg_other,total_manure_excreted_tons,avg_milk_lb_per_cow_day,total_manure_gen_n_after_nh3_losses_lbs,total_manure_gen_n_lbs,total_manure_gen_p_lbs,total_manure_gen_k_lbs,total_manure_gen_salt_lbs,total_ww_gen_gals,total_ww_gen_n_lbs,total_ww_gen_p_lbs,total_ww_gen_k_lbs,total_ww_gen_salt_lbs,applied_n_dry_manure_lbs,applied_p_dry_manure_lbs,applied_k_dry_manure_lbs,applied_salt_dry_manure_lbs,applied_ww_n_lbs,applied_ww_p_lbs,applied_ww_k_lbs,applied_ww_salt_lbs,applied_to_removed_ratio_n,applied_to_removed_ratio_p,applied_to_removed_ratio_k,applied_to_removed_ratio_salt,filename,avg_milk_prod_kg_per_cow,avg_milk_prod_l_per_cow,reported_annual_milk_production_l,total_herd_size,total_applied_n_lbs,total_reported_n_lbs,unaccounted_for_n_lbs,total_applied_p_lbs,total_reported_p_lbs,unaccounted_for_p_lbs,total_applied_k_lbs,total_reported_k_lbs,unaccounted_for_k_lbs,total_applied_salt_lbs,total_reported_salt_lbs,unaccounted_for_salt_lbs,total_ww_gen_liters,wastewater_to_reported,estimated_annual_milk_production_l,wastewater_estimated,wastewater_to_estimated,wastewater_ratio_discrepancy,calculated_manure_factor,manure_factor_discrepancy,usda_nitrogen_estimate_lbs,ucce_nitrogen_estimate_lbs,nitrogen_discrepancy,usda_nitrogen_pct_deviation,ucce_nitrogen_pct_deviation
Still Waters Ranch LLC,5001 4th Avenue Hanford CA 93230,5133.0,711.0,0,2437.0,0,0.0,,188654.45,,0,2561172.15,436011.48,814052.2,4459291.43,0,0,0,0,0,,,,,,,,,,,,,2023AR_Still Water Ranch LLC_5001 4th Avenue_Kings.pdf,0.0,0.0,0.0,8281.0,0.0,0,0.0,0.0,436011.48,0.0,0.0,814052.2,0.0,0.0,4459291.43,0.0,0.0,0.0,67766428.1644608,69799421.00939462,0.0,0.0,0.0,0.0,0.0,2045058.428780488,0.0,0.0,-100.0
High Roller Dairy,14782 8th Avenue Hanford CA 93230,1828.0,195.0,0,855.0,0,0.0,,60038.73,,0,693573.0,115825.45,223569.8,0.0,0,0,0,0,0,,,,,,,,,,,,,2023AR_High Roller Dairy_14782 8th Avenue_Kings.pdf,0.0,0.0,0.0,2878.0,0.0,0,0.0,0.0,115825.45,0.0,0.0,223569.8,0.0,0.0,0.0,0.0,0.0,0.0,23458501.741393603,24162256.793635413,0.0,0.0,0.0,0.0,0.0,709197.0770731707,0.0,0.0,-100.0
Poplar Lane Dairy,5387 Kent Avenue Hanford CA 93230,2188.0,312.0,0,1170.0,0,0.0,,83107.21,,0,1123535.7,191062.9,363602.05,1951606.4,0,0,0,0,0,,,,,,,,,,,,,2023AR_Poplar Lane Dairy_5387 Kent Avenue_Kings.pdf,0.0,0.0,0.0,3670.0,0.0,0,0.0,0.0,191062.9,0.0,0.0,363602.05,0.0,0.0,1951606.4,0.0,0.0,0.0,28989745.108000003,29859437.461240005,0.0,0.0,0.0,0.0,0.0,889014.1707317074,0.0,0.0,-100.0
River Ranch Dairy,6155 Jackson Avenue Hanford CA 93230,355.0,390.0,0,1565.0,0,755.0,,188250.35,,0,2545090.25,435003.35,776676.2,4458358.36,0,0,0,0,0,,,,,,,,,,,,,2023AR_River Ranch Dairy_6155 Jackson Avenue_Kings.pdf,0.0,0.0,0.0,3065.0,0.0,0,0.0,0.0,435003.35,0.0,0.0,776676.2,0.0,0.0,4458358.36,0.0,0.0,0.0,8638944.042183999,8898112.36344952,0.0,0.0,0.0,0.0,0.0,427993.1195121952,0.0,0.0,-100.0
Backroad Ranch 42,4119 Houston Avenue Hanford CA 93230,828.0,48.0,0,0.0,0,0.0,,21714.14,,0,307957.8,52603.8,75292.2,558171.43,0,0,0,0,0,,,,,,,,,,,,,2023AR_Backroad Ranch #2_4119 Houston Avenue_Kings.pdf,0.0,0.0,0.0,876.0,0.0,0,0.0,0.0,52603.8,0.0,0.0,75292.2,0.0,0.0,558171.43,0.0,0.0,0.0,10158006.685843201,10462746.886418497,0.0,0.0,0.0,0.0,0.0,265971.12,0.0,0.0,-100.0
Milkaholic Dairy LLC,6267 5th Ave Hanford CA 93230,1291.0,145.0,0,336.0,0,0.0,,38024.43,,0,432229.35,72229.85,128607.75,0.0,0,0,0,0,0,,,,,,,,,,,,,"2023AR_Milkaholic Dairy, LLC_6267 5th Avenue_Kings.pdf",0.0,0.0,0.0,1772.0,0.0,0,0.0,0.0,72229.85,0.0,0.0,128607.75,0.0,0.0,0.0,0.0,0.0,0.0,16651709.5900352,17151260.877736256,0.0,0.0,0.0,0.0,0.0,473321.363902439,0.0,0.0,-100.0
CowIifornia Dairy LLC,3742 Highway 198 Hanford CA 93230,828.0,61.0,0,214.0,0,0.0,,49807.55,,0,632493.9,107716.61,181817.45,1114470.96,0,0,0,0,0,,,,,,,,,,,,,2023AR_Cowlifornia Dairy LLC_3742 Lacey Boulevard_Kings.pdf,0.0,0.0,0.0,1103.0,0.0,0,0.0,0.0,107716.61,0.0,0.0,181817.45,0.0,0.0,1114470.96,0.0,0.0,0.0,10308753.360404799,10618015.961216943,0.0,0.0,0.0,0.0,0.0,293689.4043902439,0.0,0.0,-100.0
Wreden Ranch Dairy,8749 Lansing Avenue Hanford CA 93230,5655.0,741.0,0,2047.0,0,34.0,,175815.93,,0,2462833.85,414778.7,698975.0,4446050.83,0,0,0,0,0,,,,,,,,,,,,,2023AR_Wreden Ranch Dairy_8749 Lansing Avenue_Kings.pdf,0.0,0.0,0.0,8477.0,0.0,0,0.0,0.0,414778.7,0.0,0.0,698975.0,0.0,0.0,4446050.83,0.0,0.0,0.0,74167363.88430719,76392384.80083641,0.0,0.0,0.0,0.0,0.0,2170594.1907317075,0.0,0.0,-100.0
DeGroot Dairy North,2446 Grangeville Blvd Hanford CA 93230,1549.0,349.0,0,437.0,0,0.0,,53694.88,,0,600895.85,98093.75,203399.9,1024328.7,0,0,0,0,0,,,,,,,,,,,,,2023AR_Degroot Dairies-North_2446 Grangeville Boulevard_Kings.pdf,0.0,0.0,0.0,2335.0,0.0,0,0.0,0.0,98093.75,0.0,0.0,203399.9,0.0,0.0,1024328.7,0.0,0.0,0.0,22009014.4859936,22669284.92057341,0.0,0.0,0.0,0.0,0.0,624812.9331707318,0.0,0.0,-100.0
Hollandia Farms Dairy,7905 Kansas Avenue Hanford CA 93230,2466.0,277.0,0,1009.0,0,0.0,,91923.07,,0,1235247.6,211002.85,395192.8,2132853.61,0,0,0,0,0,,,,,,,,,,,,,2023AR_Hollandia Farms North Dairy_7905 Kansas Avenue_Kings.pdf,0.0,0.0,0.0,3752.0,0.0,0,0.0,0.0,211002.85,0.0,0.0,395192.8,0.0,0.0,2132853.61,0.0,0.0,0.0,31807548.3324976,32761774.78247253,0.0,0.0,0.0,0.0,0.0,944909.872195122,0.0,0.0,-100.0
Dias and Sons Dairy,7594 Kent Avenue Hanford CA 93230,420.0,62.0,0,200.0,0,0.0,,15640.69,,0,211378.8,35831.32,67711.15,368228.59,0,0,0,0,0,,,,,,,,,,,,,2023AR_Dias and Sons Dairy_7594 Kent Avenue_Kings.pdf,0.0,0.0,0.0,682.0,0.0,0,0.0,0.0,35831.32,0.0,0.0,67711.15,0.0,0.0,368228.59,0.0,0.0,0.0,5589222.8568224,5756899.542527072,0.0,0.0,0.0,0.0,0.0,168560.9375609756,0.0,0.0,-100.0
DeGroot Dairy South,3101 Grangeville Blvd Hanford CA 93230,2028.0,349.0,0,437.0,0,0.0,,55891.27,,0,632026.7,104765.95,177718.5,1131824.85,0,0,0,0,0,,,,,,,,,,,,,2023AR_Degroot Dairies-South_3101 Grangeville Boulevard_Kings.pdf,0.0,0.0,0.0,2814.0,0.0,0,0.0,0.0,104765.95,0.0,0.0,177718.5,0.0,0.0,1131824.85,0.0,0.0,0.0,27563449.6486864,28390353.138146993,0.0,0.0,0.0,0.0,0.0,770246.9131707317,0.0,0.0,-100.0
J and A Dairy LLC,16283 18th Avenue Lemoore CA 93245,195.0,58.0,0,390.0,0,0.0,,21447.04,,0,292675.25,49132.65,91301.1,522132.52,0,0,0,0,0,,,,,,,,,,,,,"2023AR_J and A Dairy, LLC_16283 18th Avenue_Kings.pdf",0.0,0.0,0.0,643.0,0.0,0,0.0,0.0,49132.65,0.0,0.0,91301.1,0.0,0.0,522132.52,0.0,0.0,0.0,2933762.2049296,3021775.071077488,0.0,0.0,0.0,0.0,0.0,120137.25024390247,0.0,0.0,-100.0
Joe Parreira Dairy,18081 17th Avenue Stratford CA 93266,1755.0,204.0,0,706.0,0,0.0,,61515.0,,0,837364.75,142014.93,257500.2,1471396.89,0,0,0,0,0,,,,,,,,,,,,,2023AR_Parreira Dairy_18081 17th Avenue_Kings.pdf,0.0,0.0,0.0,2665.0,0.0,0,0.0,0.0,142014.93,0.0,0.0,257500.2,0.0,0.0,1471396.89,0.0,0.0,0.0,22716364.266628798,23397855.19462766,0.0,0.0,0.0,0.0,0.0,673214.4043902439,0.0,0.0,-100.0
Cactus Ranch,8800 Lansing Avenue Hanford CA 93230,0.0,0.0,0,536.0,0,0.0,,5595.05,,0,74343.2,11738.4,35215.2,138043.58,0,0,0,0,0,,,,,,,,,,,,,2023AR_Cactus Ranch_8800 Lansing Avenue_Kings.pdf,0.0,0.0,0.0,536.0,0.0,0,0.0,0.0,11738.4,0.0,0.0,35215.2,0.0,0.0,138043.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59539.14146341464,0.0,0.0,-100.0
