dairy_name,dairy_address,avg_milk_cows,avg_dry_cows,avg_bred_heifers,avg_heifers,avg_calves_4_6_mo,avg_calves_0_3_mo,avg_other,filename,avg_milk_prod_kg_per_cow,avg_milk_prod_l_per_cow,reported_annual_milk_production_l,total_herd_size,total_applied_n_lbs,total_reported_n_lbs,unaccounted_for_n_lbs,total_applied_p_lbs,total_reported_p_lbs,unaccounted_for_p_lbs,total_applied_k_lbs,total_reported_k_lbs,unaccounted_for_k_lbs,total_applied_salt_lbs,total_reported_salt_lbs,unaccounted_for_salt_lbs,total_ww_gen_liters,wastewater_to_reported,estimated_annual_milk_production_l,wastewater_estimated,wastewater_to_estimated,wastewater_ratio_discrepancy,calculated_manure_factor,manure_factor_discrepancy,usda_nitrogen_estimate_lbs,ucce_nitrogen_estimate_lbs,nitrogen_discrepancy,usda_nitrogen_pct_deviation,ucce_nitrogen_pct_deviation
4-H Calf Ranch,9200 Edison Avenue,0.0,0.0,,0.0,,4500.0,0.0,R8_animals.csv,0.0,0.0,0.0,4500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166620.73170731709,0.0,0.0,0.0
4-H Calf Ranch,9200 Edison Avenue,0.0,0.0,,0.0,,4500.0,0.0,R8_animals.csv,0.0,0.0,0.0,4500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166620.73170731709,0.0,0.0,0.0
American Beef Packers,7777 Schaefer Avenue,0.0,776.0,,21.0,,0.0,16.0,R8_animals.csv,0.0,0.0,0.0,813.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8998416.8815232,9268369.387968896,0.0,0.0,0.0,0.0,0.0,237941.81024390247,0.0,0.0,0.0
Art Venegas Dairy - Euclid,13835 Euclid Avenue,90.0,25.0,,60.0,,20.0,0.0,R8_animals.csv,0.0,0.0,0.0,195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1333528.274968,1373534.12321704,0.0,0.0,0.0,0.0,0.0,42321.66585365854,0.0,0.0,0.0
Boersma Dairy,4050 Ramona Expressway,872.0,140.0,,140.0,,130.0,0.0,R8_animals.csv,0.0,0.0,0.0,1282.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11735048.8197184,12087100.284309952,0.0,0.0,0.0,0.0,0.0,327628.1960975609,0.0,0.0,0.0
Boersma Dairy,4050 Ramona Expressway,872.0,140.0,,140.0,,130.0,0.0,R8_animals.csv,0.0,0.0,0.0,1282.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11735048.8197184,12087100.284309952,0.0,0.0,0.0,0.0,0.0,327628.1960975609,0.0,0.0,0.0
Boersma Dairy,4050 Ramona Expressway,872.0,140.0,,140.0,,130.0,0.0,R8_animals.csv,0.0,0.0,0.0,1282.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11735048.8197184,12087100.284309952,0.0,0.0,0.0,0.0,0.0,327628.1960975609,0.0,0.0,0.0
Boys Republic Farm,1907 Boys Republic Drive,0.0,77.0,,23.0,,40.0,5.0,R8_animals.csv,0.0,0.0,0.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,892884.1493264,919670.673806192,0.0,0.0,0.0,0.0,0.0,27414.664390243903,0.0,0.0,0.0
Bryan and Sons LLC (Gordon Hay Inc Dairy #8),13575 Walker Avenue,485.0,90.0,,10.0,,0.0,0.0,R8_animals.csv,0.0,0.0,0.0,585.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6667641.374840001,6867670.616085201,0.0,0.0,0.0,0.0,0.0,175692.30487804877,0.0,0.0,0.0
Chino Valley Dairy #1,2733 Cottonwood Avenue,1050.0,150.0,,300.0,,0.0,0.0,R8_animals.csv,0.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13915077.651840001,14332529.981395202,0.0,0.0,0.0,0.0,0.0,397668.1463414634,0.0,0.0,0.0
Chino Valley Dairy #1,2733 Cottonwood Avenue,1050.0,150.0,,300.0,,0.0,0.0,R8_animals.csv,0.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13915077.651840001,14332529.981395202,0.0,0.0,0.0,0.0,0.0,397668.1463414634,0.0,0.0,0.0
Chino Valley Dairy #2,36580 Ramona Expressway,400.0,65.0,,0.0,,0.0,0.0,R8_animals.csv,0.0,0.0,0.0,465.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5392092.5900880005,5553855.36779064,0.0,0.0,0.0,0.0,0.0,141183.3,0.0,0.0,0.0
Chino Valley Dairy #3 ,,0.0,0.0,,0.0,,0.0,0.0,R8_animals.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dick Van Dam Dairy,3180 Cottonwood Avenue,1340.0,130.0,,1200.0,,200.0,0.0,R8_animals.csv,0.0,0.0,0.0,2870.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17045970.123504,17557349.22720912,0.0,0.0,0.0,0.0,0.0,587023.3512195122,0.0,0.0,0.0
Dick Van Dam Dairy,3180 Cottonwood Avenue,1340.0,130.0,,1200.0,,200.0,0.0,R8_animals.csv,0.0,0.0,0.0,2870.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17045970.123504,17557349.22720912,0.0,0.0,0.0,0.0,0.0,587023.3512195122,0.0,0.0,0.0
Dyt Dairy,32300 Ramona Expressway,1700.0,290.0,,247.0,,150.0,0.0,R8_animals.csv,0.0,0.0,0.0,2387.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23075837.105968002,23768112.21914704,0.0,0.0,0.0,0.0,0.0,637194.7048780489,0.0,0.0,0.0
Dyt Dairy,32300 Ramona Expressway,1700.0,290.0,,247.0,,150.0,0.0,R8_animals.csv,0.0,0.0,0.0,2387.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23075837.105968002,23768112.21914704,0.0,0.0,0.0,0.0,0.0,637194.7048780489,0.0,0.0,0.0
El Dorado Dairy #1 (Green Acres Dairy) ,7322 & 7439 Chino Avenue,400.0,0.0,,0.0,,0.0,0.0,R8_animals.csv,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4638359.21728,4777509.9937984,0.0,0.0,0.0,0.0,0.0,121448.0,0.0,0.0,0.0
El Dorado Dairy #2,13566 Bon View Avenue,400.0,0.0,,0.0,,0.0,0.0,R8_animals.csv,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4638359.21728,4777509.9937984,0.0,0.0,0.0,0.0,0.0,121448.0,0.0,0.0,0.0
Falloncrest Farms,8300 Pine Avenue,0.0,0.0,,0.0,,0.0,0.0,R8_animals.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frank Souza Dairy - Euclid,16185 Euclid Avenue,0.0,0.0,,0.0,,2200.0,0.0,R8_animals.csv,0.0,0.0,0.0,2200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81459.02439024391,0.0,0.0,0.0
GH Dairy #10,,0.0,0.0,,0.0,,0.0,0.0,R8_animals.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GH Dairy #2,,0.0,0.0,,0.0,,0.0,0.0,R8_animals.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GH Dairy #2,,0.0,0.0,,0.0,,0.0,0.0,R8_animals.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GH Dairy #2,,0.0,0.0,,0.0,,0.0,0.0,R8_animals.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GH Dairy #2,,0.0,0.0,,0.0,,0.0,0.0,R8_animals.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GH Dairy #4,8061 Edison Avenue,401.0,141.0,,288.0,,0.0,8.0,R8_animals.csv,0.0,0.0,0.0,838.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6284976.7394144,6473526.041596833,0.0,0.0,0.0,0.0,0.0,196553.22048780488,0.0,0.0,0.0
GH Dairy #4,8061 Edison Avenue,401.0,141.0,,288.0,,0.0,8.0,R8_animals.csv,0.0,0.0,0.0,838.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6284976.7394144,6473526.041596833,0.0,0.0,0.0,0.0,0.0,196553.22048780488,0.0,0.0,0.0
GH Dairy #4,8061 Edison Avenue,401.0,141.0,,288.0,,0.0,8.0,R8_animals.csv,0.0,0.0,0.0,838.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6284976.7394144,6473526.041596833,0.0,0.0,0.0,0.0,0.0,196553.22048780488,0.0,0.0,0.0
GH Dairy #5,8929 Chino Avenue,913.0,161.0,,963.0,,0.0,26.0,R8_animals.csv,0.0,0.0,0.0,2063.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12453994.4983968,12827614.333348705,0.0,0.0,0.0,0.0,0.0,433058.3897560975,0.0,0.0,0.0
