dairy_name,dairy_address,avg_milk_cows,avg_dry_cows,avg_bred_heifers,avg_heifers,avg_calves_4_6_mo,avg_calves_0_3_mo,avg_other,total_manure_excreted_tons,filename,avg_milk_prod_kg_per_cow,avg_milk_prod_l_per_cow,reported_annual_milk_production_l,total_herd_size,total_applied_n_lbs,total_reported_n_lbs,unaccounted_for_n_lbs,total_applied_p_lbs,total_reported_p_lbs,unaccounted_for_p_lbs,total_applied_k_lbs,total_reported_k_lbs,unaccounted_for_k_lbs,total_applied_salt_lbs,total_reported_salt_lbs,unaccounted_for_salt_lbs,total_ww_gen_liters,wastewater_to_reported,estimated_annual_milk_production_l,wastewater_estimated,wastewater_to_estimated,wastewater_ratio_discrepancy,calculated_manure_factor,manure_factor_discrepancy,usda_nitrogen_estimate_lbs,ucce_nitrogen_estimate_lbs,nitrogen_discrepancy,usda_nitrogen_pct_deviation,ucce_nitrogen_pct_deviation
Silacci Dairy,4349 Lakeville Hwy Petaluma 94954,260.0,,,260.0,,,,,Silacci_Dairy_2324_AR.pdf,0.0,0.0,0.0,520.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3014933.4912320003,3105381.49596896,0.0,0.0,0.0,0.0,0.0,107822.1268292683,0.0,0.0,0.0
L Ranch,100 Pierce Point Rd Inverness 94937,120.0,,,120.0,,,,,R&J_McClelland_Dairy_2324_AR.pdf,0.0,0.0,0.0,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1391507.7651840001,1433252.9981395202,0.0,0.0,0.0,0.0,0.0,49764.05853658537,0.0,0.0,0.0
Moreda Valley Dairy,3286 Chileno Valley Rd. Petaluma CA,750.0,,,750.0,,,,,Moreda_Valley_Dairy_2324_AR.pdf,0.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8696923.5324,8957831.238372002,0.0,0.0,0.0,0.0,0.0,311025.3658536585,0.0,0.0,0.0
Nosteei pArey,S345 BoDEGA pve. PET nat4 Auyey,0.0,,,0.0,,,,,Nosecchi_Dairy_2324_AR.pdf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jim Riebli Dairy,295 Rainsville Rd Petaluma 94952,208.0,,,208.0,,,,,Jim_Riebli_Dairy_2324_AR.pdf,0.0,0.0,0.0,416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2411946.7929856,2484305.196775168,0.0,0.0,0.0,0.0,0.0,86257.70146341463,0.0,0.0,0.0
Dolcini Jersey Dairy,10049 Petaluma Pt Reyes Blvd Nicasio 94946,280.0,,,280.0,,,,,Dolcini_Jersey_Dairy_2324_AR.pdf,0.0,0.0,0.0,560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3246851.4520960003,3344256.9956588806,0.0,0.0,0.0,0.0,0.0,116116.13658536586,0.0,0.0,0.0
Spaletta Ranch,831 Chileno Valley Rd Petaluma,680.0,,,680.0,,,,,Spaletta_Ranch_2324_AR.pdf,0.0,0.0,0.0,1360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7885210.669376001,8121766.989457281,0.0,0.0,0.0,0.0,0.0,281996.3317073171,0.0,0.0,0.0
McIsaac Dairy,2754 Novato Blvd Novato 94947,312.0,,,312.0,,,,,McIssac_Dairy_2324_AR.pdf,0.0,0.0,0.0,624.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3617920.1894784,3726457.7951627523,0.0,0.0,0.0,0.0,0.0,129386.55219512194,0.0,0.0,0.0
Correia Heifer Ranch,5360 Bodega Ave Petaluma,0.0,,,0.0,,,,,Correia_Heifer_Ranch_2324_AR.pdf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Silva Family Dairy,1599 Cerini Rd Tomales 94971,80.0,,,80.0,,,,,Silva_Family_Dairy_2324_AR.pdf,0.0,0.0,0.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,927671.8434560001,955501.9987596801,0.0,0.0,0.0,0.0,0.0,33176.039024390244,0.0,0.0,0.0
Doug Ielmorini Dairy,5720 Nicasio Valley Road Nicasio CA 94946,0.0,,,0.0,,,,,Ielmorini_Dairy_2324_AR.pdf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kehoe Dairy Inc,6150 Pierce Pt Rd Inverness Ca 94937,79.0,,,79.0,,,,,Kehoe_Dairy_2324_AR.pdf,0.0,0.0,0.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,916075.9454128001,943558.2237751841,0.0,0.0,0.0,0.0,0.0,32761.33853658537,0.0,0.0,0.0
Travis Moreda Dairy,3243 Spring Hill Rd. Petaluma CA 94952,342.0,,,342.0,,,,,Travis_Moreda_Dairy_2324_AR.pdf,0.0,0.0,0.0,684.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3965797.1307744,4084771.044697632,0.0,0.0,0.0,0.0,0.0,141827.5668292683,0.0,0.0,0.0
Sleepy Hollow Dairy,7869 Lakeville Hwy Petaluma CA 94954,633.0,,,633.0,,,,,Sleepy_Hollow_Dairy_2324_AR.pdf,0.0,0.0,0.0,1266.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7340203.4613456,7560409.565185968,0.0,0.0,0.0,0.0,0.0,262505.40878048784,0.0,0.0,0.0
VOLPI Dairy INC.,5450 RED Hill RD. PETALUMA 94952,0.0,,,0.0,,,,,Volpi_Dairy_2324_AR.pdf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blakes Landing Farms,22188 Hwy 1 Marshall CA 94940,260.0,,,260.0,,,,,Blakes_Landing_Farms_2324_AR.pdf,0.0,0.0,0.0,520.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3014933.4912320003,3105381.49596896,0.0,0.0,0.0,0.0,0.0,107822.1268292683,0.0,0.0,0.0
JJ's Family Dairy,4669 Chileno Valley Rd Petaluma 94952,300.0,,,300.0,,,,,JJs_Family_Dairy_2324_AR.pdf,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3478769.4129600003,3583132.4953488004,0.0,0.0,0.0,0.0,0.0,124410.14634146342,0.0,0.0,0.0
Robert Giacomini Dairy,4700 Hwy 1 Point Reyes CA 94956,527.0,,,527.0,,,,,Robert_Giacomini_Dairy_2324_AR.pdf,0.0,0.0,0.0,1054.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6111038.2687664,6294369.416829392,0.0,0.0,0.0,0.0,0.0,218547.15707317073,0.0,0.0,0.0
Roy King Dairy,1241 Middle Two Rock Rd. Petaluma 94952,70.0,,,70.0,,,,,Roy_King_Dairy_2324_AR.pdf,0.0,0.0,0.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,811712.8630240001,836064.2489147201,0.0,0.0,0.0,0.0,0.0,29029.034146341466,0.0,0.0,0.0
,_26450 Sir Francis Drake Blvd. Point Reyes CA 94956,0.0,,,0.0,,,,,Drakes_View_Dairy_2324_AR.pdf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lafranchi Ranch,6290 Nicasio Valley Rd Nicasio 94946,0.0,,,0.0,,,,,Lafranchi_Dairy_2324_AR.pdf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JLT RANCH,1601 Stage Gulch Rd. Petaluma,350.0,,,350.0,,,,,JLT_Ranch_2324_AR.pdf,0.0,0.0,0.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4058564.31512,4180321.2445736,0.0,0.0,0.0,0.0,0.0,145145.1707317073,0.0,0.0,0.0
Deniz Dairy,421 Sonoma Mountain Rd Petaluma,375.0,,,375.0,,,,,Deniz_Dairy_2324_AR.pdf,0.0,0.0,0.0,750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4348461.7662,4478915.619186001,0.0,0.0,0.0,0.0,0.0,155512.68292682926,0.0,0.0,0.0
Gerald Spaletta Dairy,500 Ormsby Lane Petaluma 94954,405.0,,,405.0,,,,,Gerald_Spaletta_Dairy_2324_AR.pdf,0.0,0.0,0.0,810.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4696338.7074959995,4837228.86872088,0.0,0.0,0.0,0.0,0.0,167953.69756097562,0.0,0.0,0.0
_ Bianchini Inc Bivaive Dairy,_12800 Shoreline Highway 1 Point Reyes Station CA 94956,0.0,,,0.0,,,,,Bivalve_Dairy_2324_AR.pdf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spaletta Dairy,22000 Sir Francis Drake Blvd.,250.0,,,250.0,,,,,Spaletta_Dairy_2324_AR.pdf,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2898974.5108,2985943.746124,0.0,0.0,0.0,0.0,0.0,103675.12195121951,0.0,0.0,0.0
B Ranch Double M Dairy,25680 Sir Francis Drake Blvd Inverness,160.0,,,160.0,,,,,Double_M_Dairy_2324_AR.pdf,0.0,0.0,0.0,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1855343.6869120002,1911003.9975193602,0.0,0.0,0.0,0.0,0.0,66352.07804878049,0.0,0.0,0.0
Mertens Dairy,1100 Bonneau Rd Sonoma 95476,670.0,,,670.0,,,,,Mertens_Dairy_2324_AR.pdf,0.0,0.0,0.0,1340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7769251.688944,8002329.23961232,0.0,0.0,0.0,0.0,0.0,277849.32682926825,0.0,0.0,0.0
Valley View Dairy,480 Pepper Rd Petaluma 94952,530.0,,,530.0,,,,,Valley_View_Dairy_2324_AR.pdf,0.0,0.0,0.0,1060.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6145825.962896,6330200.741782879,0.0,0.0,0.0,0.0,0.0,219791.25853658537,0.0,0.0,0.0
