Dairy Name,Dairy Address,Average Milk Cows,Average Dry Cows,Average Bred Heifers,Average Heifers,Average Calves (4-6 mo.),Average Calves (0-3 mo.),Average Other/Unspecified Head,Total Manure Excreted (tons),filename,Average Milk Production (kg per cow),Average Milk Production (L per cow),Reported Annual Milk Production (L),Total Herd Size,Total Applied N (lbs),Total Reported N (lbs),Unaccounted For N (lbs),Total Applied P (lbs),Total Reported P (lbs),Unaccounted For P (lbs),Total Applied K (lbs),Total Reported K (lbs),Unaccounted For K (lbs),Total Applied Salt (lbs),Total Reported Salt (lbs),Unaccounted For Salt (lbs),Total Wastewater Generated (L),Wastewater to Reported Milk Ratio,Wastewater to Estimated Milk Ratio,Wastewater Ratio Discrepancy,Calculated Manure Factor,Manure Factor Discrepancy,USDA N Estimate (lbs),UCCE N Estimate (lbs),Nitrogen Discrepancy,USDA Nitrogen % Deviation,UCCE Nitrogen % Deviation,Average Milk Production (lb per cow per day),Total Dry Manure Generated N After Ammonia Losses (lbs),Total Dry Manure Generated N (lbs),Total Dry Manure Generated P (lbs),Total Dry Manure Generated K (lbs),Total Dry Manure Generated Salt (lbs),Total Process Wastewater Generated (gals),Total Process Wastewater Generated N (lbs),Total Process Wastewater Generated P (lbs),Total Process Wastewater Generated K (lbs),Total Process Wastewater Generated Salt (lbs),Applied N Dry Manure (lbs),Applied P Dry Manure (lbs),Applied K Dry Manure (lbs),Applied Salt Dry Manure (lbs),Applied Process Wastewater (gals),Applied Process Wastewater N (lbs),Applied Process Wastewater P (lbs),Applied Process Wastewater K (lbs),Applied Process Wastewater Salt (lbs),Applied to Removed Ratio N,Applied to Removed Ratio P,Applied to Removed Ratio K,Applied to Removed Ratio Salt,Operator Name,Hauling Company,Destination Address,Manure Amount,Manure Solids Content,Year,Region,Template,Consultant,Latitude,Longitude,Street Address,City,County,Zip,CADDID,PlaceID,FacilityName
Deniz Dairy,421 Sonoma Mountain Road Petaluma,300.0,,,300.0,,,,,All_r2_2023_generic_r2.csv,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21705.6,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,R2,generic_r2,Self-completed (R2),38.288894001529,-122.61595001566,421 Sonoma Mountain,Road,Sonoma,,10199.0,219581.0,Deniz Dairy
Mertens Dairy,1100 Bonneau Rd Sonoma 95476,741.0,,,741.0,,,,,All_r2_2023_generic_r2.csv,0.0,0.0,0.0,1482.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53612.832,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,R2,generic_r2,Self-completed (R2),38.228532983097,-122.472666996751,1100 Bonneau Rd,Sonoma,Sonoma,95476,10626.0,240417.0,Mertens Dairy
Silva Family Dairy,1599 Cerini Rd Tomales 94971,92.0,,,92.0,,,,,All_r2_2023_generic_r2.csv,0.0,0.0,0.0,184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6656.384000000001,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,R2,generic_r2,Self-completed (R2),38.230857997309,-122.860961008287,1599 Cerini Rd,Tomales,Marin,94971,11649.0,791458.0,Silva Family Dairy
McIsaac Dairy,2754 Novato Blvd Novato CA 94947,297.0,,,297.0,,,,,All_r2_2023_generic_r2.csv,0.0,0.0,0.0,594.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21488.544,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,R2,generic_r2,Self-completed (R2),38.122453024265,-122.623028466033,2754 Novato Blvd Novato,CA,Marin,94947,10613.0,240084.0,McIsaac Dairy
Doug Ielmorini Dairy,5720 Nicasio Valley Road Nicasio CA 94946,0.0,,,0.0,,,,,All_r2_2023_generic_r2.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,R2,generic_r2,Self-completed (R2),38.08349500321,-122.693851004678,5720 Nicasio Valley Road Nicasio,CA,Marin,94946,10224.0,220606.0,Doug Ielmorini Dairy
Pacheco Dairy,750 Chileno Vly Rd Petaluma CA,50.0,,,50.0,,,,,All_r2_2023_generic_r2.csv,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3617.6,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,R2,generic_r2,Self-completed (R2),38.209756011241,-122.67558499364,750 Chileno Vly Rd,Petaluma,,,10690.0,247116.0,Pacheco Dairy
Pacheco Dairy,750 Chileno Vly Rd Petaluma CA,50.0,,,50.0,,,,,All_r2_2023_generic_r2.csv,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3617.6,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,R2,generic_r2,Self-completed (R2),38.209756011241,-122.67558499364,750 Chileno Vly Rd,Petaluma,,,11236.0,705552.0,Pacheco Dairy
Nosecchi Dairy,5345 Bodega Ave Petaluma 94952,240.0,,,240.0,,,,,All_r2_2023_generic_r2.csv,0.0,0.0,0.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17364.48,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,R2,generic_r2,Self-completed (R2),38.261301991651,-122.724185028451,5345 Bodega Ave,Petaluma,Marin,94952,10670.0,244692.0,Nosecchi Dairy
Dolcini Jersey Dairy,10049 Petaluma Pt.Reys Road Nicasio,291.0,,,291.0,,,,,All_r2_2023_generic_r2.csv,0.0,0.0,0.0,582.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21054.432,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,R2,generic_r2,Self-completed (R2),38.103251987185,-122.723971038463,10049 Petaluma Pt.Reys,Road,,,10212.0,220433.0,Dolcini Jersey Dairy
Spaletta Ranch,837 Chileno Valley Rd Petaluma,660.0,,,660.0,,,,,All_r2_2023_generic_r2.csv,0.0,0.0,0.0,1320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47752.31999999999,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,R2,generic_r2,Self-completed (R2),38.203653985729,-122.678640029709,837 Chileno Valley,Rd,,,10808.0,258038.0,Spaletta Ranch
