Dairy Name,Dairy Address,Average Milk Cows,Average Dry Cows,Average Bred Heifers,Average Heifers,Average Calves (4-6 mo.),Average Calves (0-3 mo.),Average Other/Unspecified Head,Total Manure Excreted (tons),Average Milk Production (lb per cow per day),Total Dry Manure Generated N After Ammonia Losses (lbs),Total Dry Manure Generated N (lbs),Total Dry Manure Generated P (lbs),Total Dry Manure Generated K (lbs),Total Dry Manure Generated Salt (lbs),Total Process Wastewater Generated (gals),Total Process Wastewater Generated N (lbs),Total Process Wastewater Generated P (lbs),Total Process Wastewater Generated K (lbs),Total Process Wastewater Generated Salt (lbs),Applied N Dry Manure (lbs),Applied P Dry Manure (lbs),Applied K Dry Manure (lbs),Applied Salt Dry Manure (lbs),Applied Process Wastewater (gals),Applied Process Wastewater N (lbs),Applied Process Wastewater P (lbs),Applied Process Wastewater K (lbs),Applied Process Wastewater Salt (lbs),Applied to Removed Ratio N,Applied to Removed Ratio P,Applied to Removed Ratio K,Applied to Removed Ratio Salt,File Name,Average Milk Production (kg per cow),Average Milk Production (L per cow),Reported Annual Milk Production (L),Total Herd Size,Total Applied N (lbs),Total Reported N (lbs),Unaccounted For N (lbs),Total Applied P (lbs),Total Reported P (lbs),Unaccounted For P (lbs),Total Applied K (lbs),Total Reported K (lbs),Unaccounted For K (lbs),Total Applied Salt (lbs),Total Reported Salt (lbs),Unaccounted For Salt (lbs),Total Wastewater Generated (L),Wastewater to Reported Milk Ratio,Estimated Annual Milk Production (L),Estimated Total Wastewater Generated (L),Wastewater to Estimated Milk Ratio,Wastewater Ratio Discrepancy,Calculated Manure Factor,Manure Factor Discrepancy,USDA N Estimate (lbs),UCCE N Estimate (lbs),Nitrogen Discrepancy,USDA Nitrogen % Deviation,UCCE Nitrogen % Deviation,USDA Nitrogen % Deviation,UCCE Nitrogen % Deviation,Wastewater to Reported Milk Ratio,Wastewater to Estimated Milk Ratio,Year,Region,Template,Consultant,Latitude,Longitude,Street Address,City,County,Zip,CADDID,PlaceID,FacilityName
Costa View Farms,16800 Road 15 Madera Madera 93637,6025.0,830.0,1550.0,1930.0,250.0,0.0,,201027.46,0.0,0.0,2515167.1,418873.33,1153843.09,0.0,0.0,0.0,60531.48,845787.45,0.0,850737.42,325239.88,1247464.11,0.0,557208.2,557208.2,60531.48,845787.45,3960712.25,0.0,0.0,0.0,0.0,Fresno_madera_2023_generic_r5.csv,0.0,0.0,0.0,10585.0,1407945.62,0.0,0.0,385771.36,479404.81,0.0,2093251.56,1999630.54,0.0,3960712.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2477131.9048780487,0.0,0.0,-100.0,,,,,2023,R5,generic_r5,Self-completed (R5),36.9936,-120.279,16800 Road 15,Madera,Madera,936370,10152.0,215853.0,Costa View Farms
CSUF Ag Foundation Dairy,5450 N Sierra Vista AVE Fresno Fresno 93740,160.0,37.0,75.0,57.0,26.0,18.0,,5916.57,65.0,51772.67,73960.95,12028.98,30115.88,83844.15,7032000.0,25152.07,2861.08,18467.65,101703.09,48556.17,15487.63,66909.69,1649060.28,25152.07,25152.07,2861.08,18467.65,101703.09,0.95,1.9,1.92,5.79,Fresno_madera_2023_generic_r5.csv,29.48348,30.3679844,2183609.9182820003,373.0,73708.23999999999,76924.73999999999,0.0,18348.71,14890.06,0.0,85377.34,48583.53,0.0,1750763.37,185547.24,0.0,26619003.12,12.190365548871954,2183609.9182820003,2249118.21583046,12.190365548871954,0.0,0.0,0.0,0.0,76104.94487804879,0.0,0.0,-31.97200249870627,,,,,2023,R5,generic_r5,Self-completed (R5),36.8174,-119.7377,5790 N Chestnut Ave,Fresno,Fresno,937400,10873.0,266999.0,CSUF Ag Foundation Dairy
White River Dairy,20400 Ave. 17 1/2 AVE Madera Madera 93637,1550.0,195.0,144.0,570.0,430.0,0.0,,51913.67,74.0,458270.34,654671.91,107473.14,300912.7,774657.75,21420000.0,110648.48,28620.69,146594.19,667516.09,0.0,0.0,0.0,0.0,110648.48,110648.48,28620.69,146594.19,667516.09,1.34,1.62,1.28,1.91,Fresno_madera_2023_generic_r5.csv,33.565808,34.572782239999995,22020269.328212,2889.0,110648.48,568918.8200000001,0.0,28620.69,136093.83,0.0,146594.19,447506.89,0.0,667516.09,1442173.84,0.0,81083482.2,3.682220275849089,22020269.328212,22680877.40805836,3.682220275849089,0.0,0.0,0.0,0.0,625049.9048780488,0.0,0.0,-26.68259983346266,,,,,2023,R5,generic_r5,Self-completed (R5),37.0027,-120.1762,20400 Avenue 17  1/2,Madera,Madera,936370,10582.0,239369.0,White River Dairy
White River Dairy,20400 Ave. 17 1/2 AVE Madera Madera 93637,1550.0,195.0,144.0,570.0,430.0,0.0,,51913.67,74.0,458270.34,654671.91,107473.14,300912.7,774657.75,21420000.0,110648.48,28620.69,146594.19,667516.09,0.0,0.0,0.0,0.0,110648.48,110648.48,28620.69,146594.19,667516.09,1.34,1.62,1.28,1.91,Fresno_madera_2023_generic_r5.csv,33.565808,34.572782239999995,22020269.328212,2889.0,110648.48,568918.8200000001,0.0,28620.69,136093.83,0.0,146594.19,447506.89,0.0,667516.09,1442173.84,0.0,81083482.2,3.682220275849089,22020269.328212,22680877.40805836,3.682220275849089,0.0,0.0,0.0,0.0,625049.9048780488,0.0,0.0,-26.68259983346266,,,,,2023,R5,generic_r5,Self-completed (R5),36.1906,-119.8302,20784 Laurel Avenue,Stratford,Kings,932660,10941.0,273944.0,White River Dairy
AJ Slenders Dairy,625 E Coleman AVE Laton Fresno 93242,1012.0,110.0,450.0,350.0,150.0,0.0,,35675.27,66.0,0.0,436853.17,0.0,191147.8,501794.7,30835000.0,90474.48,12953.52,64769.56,455182.0,0.0,0.0,0.0,0.0,38818.18,38818.18,6154.97,32132.47,214588.75,1.23,0.89,0.67,1.14,Fresno_madera_2023_generic_r5.csv,29.937072,30.83518416,12627932.9690448,2072.0,38818.18,90474.48,0.0,6154.97,12953.52,0.0,32132.47,255917.36,0.0,214588.75,956976.7,0.0,116723117.35,9.243248094215147,12627932.9690448,13006770.958116146,9.243248094215147,0.0,0.0,0.0,0.0,435080.0546341464,0.0,0.0,-100.0,,,,,2023,R5,generic_r5,Self-completed (R5),36.4666,-119.7808,625 East Coleman Avenue,Laton,Fresno,932420,10036.0,205765.0,AJ Slenders Dairy
A.T.O. Dairy,19249 S Fruit AVE RiverdaIe Fresno 93656,850.0,100.0,350.0,300.0,150.0,0.0,,30121.71,0.0,0.0,370064.5,61171.54,161665.94,0.0,0.0,149183.65,12045.79,0.0,0.0,145790.0,58050.0,239270.0,5734450.2,149183.65,149183.65,12045.79,97169.79,468317.98,0.0,0.0,0.0,0.0,Fresno_madera_2023_generic_r5.csv,0.0,0.0,0.0,1750.0,294973.65,149183.65,0.0,70095.79000000001,73217.33,0.0,336439.79,161665.94,0.0,6202768.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,366195.3414634146,0.0,0.0,-100.0,,,,,2023,R5,generic_r5,Self-completed (R5),36.4573,-119.826,19249 South Fruit Avenue,Riverdale,Fresno,936560,10011.0,203938.0,A.T.O. Dairy
Troost Dairy,27000 Road 9 Chowchilla Madera 93610,2310.0,460.0,900.0,0.0,0.0,0.0,,83312.98,71.0,0.0,0.0,0.0,0.0,0.0,64669500.0,0.0,0.0,296015.62,1999546.33,199054.16,69158.95,332845.42,7593655.39,232512.35,232512.35,37401.71,296015.62,1999546.33,1.21,1.1,1.07,4.42,Fresno_madera_2023_generic_r5.csv,32.205032,33.17118296,33537724.531708,3670.0,431566.51,0.0,0.0,106560.66,0.0,0.0,628861.04,296015.62,0.0,9593201.72,1999546.33,0.0,244800571.995,7.299260024738859,33537724.531708,34543856.26765924,7.299260024738859,0.0,0.0,0.0,0.0,940999.8390243904,0.0,0.0,-100.0,,,,,2023,R5,generic_r5,Self-completed (R5),37.1088,-120.3896,24868 Road 9,Chowchilla,Madera,936100,10869.0,266527.0,Troost Dairy
Milk Time Dairy,12519 Road 17 Madera Madera 93637,1100.0,245.0,640.0,550.0,0.0,0.0,,45345.34,79.0,0.0,554016.76,91129.54,217164.45,574272.75,113085500.0,179057.83,29297.2,116325.08,2405622.54,13111.49,1210.29,1075.81,0.0,179057.83,179057.83,29297.2,116325.08,2405622.54,1.37,0.7,0.35,4.79,Fresno_madera_2023_generic_r5.csv,35.833768,36.90878104,18119443.332062,2535.0,192169.32,179057.83,0.0,30507.49,120426.74,0.0,117400.89,333489.53,0.0,2405622.54,2979895.29,0.0,428074982.555,23.625172954266745,18119443.332062,18663026.63202386,23.625172954266745,0.0,0.0,0.0,0.0,540554.6804878049,0.0,0.0,-100.0,,,,,2023,R5,generic_r5,Self-completed (R5),36.9313,-120.2495,12519 Road 17,Madera,Madera,936370,10655.0,242944.0,Milk Time Dairy
Shein Ranch,13668 13 AVE Madera Madera 93637,7200.0,400.0,200.0,0.0,0.0,0.0,,205297.78,0.0,0.0,2672438.4,452120.07,0.0,0.0,0.0,843277.53,79762.2,0.0,0.0,8564.12,2514.68,1696.9,184533.12,843277.53,843277.53,79762.2,683712.86,5892225.98,0.0,0.0,0.0,0.0,Fresno_madera_2023_generic_r5.csv,0.0,0.0,0.0,7800.0,851841.65,843277.53,0.0,82276.87999999999,531882.27,0.0,685409.76,0.0,0.0,6076759.100000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2329728.097560976,0.0,0.0,-100.0,,,,,2023,R5,generic_r5,Self-completed (R5),36.9381,-120.2956,13668 Avenue 13,Madera,Madera,936370,10780.0,256669.0,Shein Ranch
Black Diamond Dairy,18541 S Fruit AVE Riverdale Fresno 93656,975.0,80.0,400.0,300.0,250.0,0.0,,34003.01,69.0,293513.15,419304.5,69155.87,186080.92,477474.75,44225000.0,141138.97,18224.91,110438.01,694792.18,0.0,0.0,0.0,0.0,71082.17,71082.17,8229.47,52300.24,319157.03,1.35,1.12,1.09,0.49,Fresno_madera_2023_generic_r5.csv,31.297848,32.23678344,12413579.383157998,2005.0,71082.17,434652.12,0.0,8229.47,87380.78,0.0,52300.24,296518.93,0.0,319157.03,1172266.9300000002,0.0,167409757.25,13.486018180794137,12413579.383157998,12785986.764652738,13.486018180794137,0.0,0.0,0.0,0.0,407332.14878048777,0.0,0.0,-27.94255231786899,,,,,2023,R5,generic_r5,Self-completed (R5),36.4647,-119.8262,18607 South Fruit Avenue,Riverdale,Fresno,936560,10255.0,222897.0,Black Diamond Dairy
