Dairy Name,Dairy Address,Average Milk Cows,Average Dry Cows,Average Bred Heifers,Average Heifers,Average Calves (4-6 mo.),Average Calves (0-3 mo.),Average Other/Unspecified Head,Total Manure Excreted (tons),File Name,Average Milk Production (kg per cow),Average Milk Production (L per cow),Reported Annual Milk Production (L),Total Herd Size,Total Applied N (lbs),Total Reported N (lbs),Unaccounted For N (lbs),Total Applied P (lbs),Total Reported P (lbs),Unaccounted For P (lbs),Total Applied K (lbs),Total Reported K (lbs),Unaccounted For K (lbs),Total Applied Salt (lbs),Total Reported Salt (lbs),Unaccounted For Salt (lbs),Total Wastewater Generated (L),Wastewater to Reported Milk Ratio,Estimated Annual Milk Production (L),Estimated Total Wastewater Generated (L),Wastewater to Estimated Milk Ratio,Wastewater Ratio Discrepancy,Calculated Manure Factor,Manure Factor Discrepancy,USDA N Estimate (lbs),UCCE N Estimate (lbs),Nitrogen Discrepancy,USDA Nitrogen % Deviation,UCCE Nitrogen % Deviation,USDA Nitrogen % Deviation,UCCE Nitrogen % Deviation,Wastewater to Reported Milk Ratio,Wastewater to Estimated Milk Ratio,Year,Region,Template,Consultant,Latitude,Longitude,Street Address,City,County,Zip,CADDID,PlaceID,FacilityName
Silacci Dairy,4349 Lakeville Hwy Petaluma 94954,260.0,,,260.0,,,,,All_r2_2024_generic_r2.csv,0.0,0.0,0.0,520.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3014933.4912320003,3105381.49596896,0.0,0.0,0.0,0.0,0.0,107822.1268292683,0.0,0.0,0.0,,,,,2024,R2,generic_r2,Self-completed (R2),38.2281,-122.5691,4349 Lakeville,Petaluma,Sonoma,949540,10181.0,219062.0,Silacci Dairy
Jim Riebli Dairy,295 Rainsville Rd Petaluma 94952,208.0,,,208.0,,,,,All_r2_2024_generic_r2.csv,0.0,0.0,0.0,416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2411946.7929856,2484305.196775168,0.0,0.0,0.0,0.0,0.0,86257.70146341463,0.0,0.0,0.0,,,,,2024,R2,generic_r2,Self-completed (R2),38.2665,-122.6856,295 Rainsville Road,Petaluma,Sonoma,949520,10437.0,233685.0,Jim Riebli Dairy
Dolcini Jersey Dairy,10049 Petaluma Pt Reyes Blvd Nicasio 94946,280.0,,,280.0,,,,,All_r2_2024_generic_r2.csv,0.0,0.0,0.0,560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3246851.4520960003,3344256.995658881,0.0,0.0,0.0,0.0,0.0,116116.13658536586,0.0,0.0,0.0,,,,,2024,R2,generic_r2,Self-completed (R2),38.1045,-122.7212,10049 Pt. Reyes Petaluma,Nicasio,Marin,949460,10212.0,220433.0,Dolcini Jersey Dairy
Spaletta Ranch,831 Chileno Valley Rd Petaluma,680.0,,,680.0,,,,,All_r2_2024_generic_r2.csv,0.0,0.0,0.0,1360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7885210.669376001,8121766.989457281,0.0,0.0,0.0,0.0,0.0,281996.3317073171,0.0,0.0,0.0,,,,,2024,R2,generic_r2,Self-completed (R2),38.203,-122.6778,837 Chileno Valley,Petaluma,Sonoma,949520,10808.0,258038.0,Spaletta Ranch
McIsaac Dairy,2754 Novato Blvd Novato 94947,312.0,,,312.0,,,,,All_r2_2024_generic_r2.csv,0.0,0.0,0.0,624.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3617920.1894784,3726457.795162752,0.0,0.0,0.0,0.0,0.0,129386.55219512194,0.0,0.0,0.0,,,,,2024,R2,generic_r2,Self-completed (R2),38.1168,-122.6117,2754 Novato Blvd.,Novato,Marin,949470,10613.0,240084.0,McIsaac Dairy
Silva Family Dairy,1599 Cerini Rd Tomales 94971,80.0,,,80.0,,,,,All_r2_2024_generic_r2.csv,0.0,0.0,0.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,927671.843456,955501.99875968,0.0,0.0,0.0,0.0,0.0,33176.039024390244,0.0,0.0,0.0,,,,,2024,R2,generic_r2,Self-completed (R2),38.231,-122.8616,1599 Cerini Road,Tomales,Marin,949710,11649.0,791458.0,Silva Family Dairy
Doug Ielmorini Dairy,5720 Nicasio Valley Road Nicasio CA 94946,0.0,,,0.0,,,,,All_r2_2024_generic_r2.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,2024,R2,generic_r2,Self-completed (R2),38.0835,-122.6939,5720 Nicasio Valley Road,Nicasio,Marin,949460,10224.0,220606.0,Doug Ielmorini Dairy
Sleepy Hollow Dairy,7869 Lakeville Hwy Petaluma CA 94954,633.0,,,633.0,,,,,All_r2_2024_generic_r2.csv,0.0,0.0,0.0,1266.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7340203.4613456,7560409.565185968,0.0,0.0,0.0,0.0,0.0,262505.40878048784,0.0,0.0,0.0,,,,,2024,R2,generic_r2,Self-completed (R2),38.158519,-122.498486,7689  Lakeville Highway,Petaluma,Sonoma,949520,11982.0,257419.0,Sleepy Hollow Dairy
JJ's Family Dairy,4669 Chileno Valley Rd Petaluma 94952,300.0,,,300.0,,,,,All_r2_2024_generic_r2.csv,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3478769.4129600003,3583132.4953488004,0.0,0.0,0.0,0.0,0.0,124410.14634146342,0.0,0.0,0.0,,,,,2024,R2,generic_r2,Self-completed (R2),38.2006,-122.7848,4669 Chileno Valley Road,Petaluma,Sonoma,949520,10211.0,220432.0,JJ's Family Dairy
Roy King Dairy,1241 Middle Two Rock Rd. Petaluma 94952,70.0,,,70.0,,,,,All_r2_2024_generic_r2.csv,0.0,0.0,0.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,811712.8630240001,836064.2489147201,0.0,0.0,0.0,0.0,0.0,29029.034146341462,0.0,0.0,0.0,,,,,2024,R2,generic_r2,Self-completed (R2),38.2395,-122.6922,1241 Middle Two Rock Road,Petaluma,Sonoma,949520,10511.0,235020.0,Roy King Dairy
