region,template,year,county,filename
R1,generic_r1,2023,all_r1,AlexandreDairy_2023_Annual Report.pdf
R1,generic_r1,2023,all_r1,Annual Report_2023_Cypress Grove Dairy_signed.pdf
R1,generic_r1,2023,all_r1,McClelland Dairy West-Waste Water Annual Report 2023 with photo.pdf
R1,generic_r1,2023,all_r1,McClelland Dairy-Waste Water Annual Report 2023 with photos.pdf
R1,generic_r1,2023,all_r1,MirandaDairy.GWDRWaterQuality.2023.pdf
R2,generic_r2,2023,all_r2,Bivalve_Dairy_2223_AR.pdf
R2,generic_r2,2023,all_r2,Blakes_Landing_2223_AR.pdf
R2,generic_r2,2023,all_r2,Correia_Heifer_Ranch_2223_AR.pdf
R2,generic_r2,2023,all_r2,Deniz_Dairy_2223_AR.pdf
R2,generic_r2,2023,all_r2,Dolcini_Jersey_Dairy_2223_AR.pdf
R2,generic_r2,2023,all_r2,Double_M_Dairy_2223_AR.pdf
R2,generic_r2,2023,all_r2,Drakes_View_Dairy_2223_AR.pdf
R2,generic_r2,2023,all_r2,General CAF WDR Tier 2 Annual Report form - 11-2023.pdf
R2,generic_r2,2023,all_r2,Gerald_Spaletta_Dairy_2223_AR.pdf
R2,generic_r2,2023,all_r2,Ielmorini_Dairy_2223_AR.pdf
R2,generic_r2,2023,all_r2,JJs_Family_Dairy_2223_AR.pdf
R2,generic_r2,2023,all_r2,JLT_Ranch_2223_AR.pdf
R2,generic_r2,2023,all_r2,Jim_Riebli_Dairy_2223_AR.pdf
R2,generic_r2,2023,all_r2,Lafranchi_Ranch_2223_AR.pdf
R2,generic_r2,2023,all_r2,McIsaac_Dairy_2223_AR.pdf
R2,generic_r2,2023,all_r2,Mertens_Dairy_2223_AR.pdf
R2,generic_r2,2023,all_r2,Moreda_Valley_Dairy_2223_AR.pdf
R2,generic_r2,2023,all_r2,Nosecchi_Dairy_2223_AR.pdf
R2,generic_r2,2023,all_r2,Pacheco_Dairy_2223_AR.pdf
R2,generic_r2,2023,all_r2,RJ_McClelland_2223_AR.pdf
R2,generic_r2,2023,all_r2,Robert_Giacomini_Dairy_2223_AR.pdf
R2,generic_r2,2023,all_r2,Roy_King_Dairy_2223_AR.pdf
R2,generic_r2,2023,all_r2,Silacci_Dairy_2223_AR.pdf
R2,generic_r2,2023,all_r2,Silva_Family_Dairy_2223_AR.pdf
R2,generic_r2,2023,all_r2,Spaletta_Dairy_2223_AR.pdf
R2,generic_r2,2023,all_r2,Spaletta_Ranch_2223_AR.pdf
