Dairy Name,Dairy Address,Milk Cows,Dry Cows,Bred Heifers,Heifers,Calves (4-6 mo.),Calves (0-3 mo.),Total Herd Size,Total Manure Excreted (tons),Total Dry Manure Generated N (lbs),Total Dry Manure Generated N After Ammonia Losses (lbs),Total Dry Manure Generated P (lbs),Total Dry Manure Generated K (lbs),Total Dry Manure Generated Salt (lbs),Total Process Wastewater Generated (gals),Total Process Wastewater Generated N (lbs),Total Process Wastewater Generated P (lbs),Total Process Wastewater Generated K (lbs),Total Process Wastewater Generated Salt (lbs),Average Milk Production (lb per cow per day),Applied N Dry Manure (lbs),Applied P Dry Manure (lbs),Applied K Dry Manure (lbs),Applied Salt Dry Manure (lbs),Applied Process Wastewater N (lbs),Applied Process Wastewater P (lbs),Applied Process Wastewater K (lbs),Applied Process Wastewater Salt (lbs),Applied to Remove Ratio N,Applied to Remove Ratio P,Applied to Remove Ratio K,Applied to Remove Ratio Salt,Total Exports N (lbs),Total Exports P (lbs),Total Exports K (lbs),Total Exports Salt (lbs),Total Applied N (lbs),Total Applied P (lbs),Total Applied K (lbs),Total Applied Salt (lbs),Unaccounted-for N (lbs),Unaccounted-for P (lbs),Unaccounted-for K (lbs),Unaccounted-for Salt (lbs),Average Milk Production (kg per cow),Average Milk Production (L per cow),Total Annual Milk Production (L),Total Process Wastewater Generated (L),Ratio of Wastewater to Milk (L/L),USDA Nitrogen from Manure (lbs),Ratio of USDA N to Reported N,UCCE Nitrogen from Manure (lbs),Ratio of UCCE N to Reported N,Manure Conversion Factor (tons per cow per year)
Avalon Dairy Farms,27125 Pond RD Wasco Kern 93280,2965,285,410,1440,1290,650,7040,106854.62,1343861.86,940703.3,216115.92,577564.88,1461606.0,78798391.0,293186.68,50145.95,301528.36,2631141.14,75.0,71226.34,29647.51,99427.63,1224093.3,293186.68,50145.95,301528.36,2631141.14,0.76,1.03,0.95,2.21,321743.67,120117.64,363212.86,0.0,364413.02,79793.45999999999,400955.99,3855234.4400000004,547733.29,66350.77,114924.39000000001,237512.69999999972,34.0194,33.0328374,39185203.36574999,298284217.27531004,7.612164583941569,1380561.6904,1.027309228345836,1519646.3414634147,1.130805469442681,23.045972751183584
B.V. Dairy,18904 Bear Mountain Blvd. Bakersfield Kern 93307,3410,560,375,350,450,0,5145,106518.5,1363806.18,954664.33,225182.96,664248.31,1734370.5,67394107.0,231130.34,42840.42,300897.06,2274644.69,75.0,0.0,0.0,0.0,0.0,231130.34,42840.42,300897.06,2274644.69,0.71,0.82,0.82,1.51,0.0,0.0,0.0,0.0,231130.34,42840.42,300897.06,2274644.69,954664.33,225182.96000000002,664248.31,1734370.5,34.0194,33.0328374,47866233.03447,255114326.57887,5.329734771381614,1376219.02,1.0091016158909032,1565894.512195122,1.1481796571673564,24.209420992821308
Bear 5 Feedlot,12841 Bear Mountain BLVD Bakersfield Kern 93311,0,0,2331,2412,2781,0,7524,57243.48,592219.8,414553.86,86221.72,1.0,0.0,5000000.0,5048.73,183.59,3563.32,26328.48,1.0,0.0,0.0,0.0,0.0,5048.73,183.59,3563.32,26328.48,0.19,0.02,0.06,1.47,473153.55,173092.98,506427.78,0.0,5048.73,183.59,3563.32,26328.48,-58599.69,-86871.26000000001,-506426.78,0.0,0.453592,0.440437832,0.0,18927050.0,,739585.7616000001,1.248836600194725,757152.4390243903,1.27849902861132,20.795522594364698
Belonave Ranch LLC,14461 Taft Highway Bakersfield Kern 93311,5278,896,1294,1501,1592,1725,12286,191707.49,2408894.77,1686226.34,385577.53,1028123.93,2691181.5,181327000.0,594533.24,73342.79,310766.12,2625626.53,75.0,602742.12,208627.72,633322.66,19645577.75,594533.24,73342.79,310766.12,2625626.53,1.22,1.65,0.83,5.3,0.0,0.0,0.0,0.0,1197275.3599999999,281970.51,944088.78,22271204.28,1083484.2200000002,176949.81,394801.27,-16954396.25,34.0194,33.0328374,74439829.409274,686397039.07,9.220830360802601,2476860.7708,1.0282145993450764,2774391.7073170734,1.1517280629560558,22.794918680796023
Bidart 2,20400 Old River Rd. Bakersfield Kern 93311,7870,810,1290,1330,1295,1325,13920,253739.08,3230167.38,2261117.17,529001.43,1533030.56,3891849.0,236526594.0,855224.56,115193.83,1138267.24,8935046.12,75.0,452787.49,120030.0,341093.42,0.0,855224.56,115193.83,1138267.24,8935046.12,1.04,0.89,0.91,1.86,0.0,0.0,0.0,0.0,1308012.05,235223.83000000002,1479360.66,8935046.12,1808329.68,408971.43,1191937.14,3891849.0,34.0194,33.0328374,104654635.45067999,895350134.1935401,8.555284057298033,3278308.9135999996,1.0149037272489576,3634687.8048780486,1.1252320320558895,23.944260449272694
Bidart 3,25820 Stockdale HWY Bakersfield Kern 93314,1230,0,425,375,0,0,2030,37550.25,469563.66,328694.56,79214.35,227475.25,579145.5,85755596.0,178458.44,31050.28,187324.42,1729559.38,60.0,0.0,0.0,0.0,0.0,178458.44,31050.28,187324.42,1729559.38,1.18,1.11,1.3,2.93,41414.28,12572.19,61197.0,0.0,178458.44,31050.28,187324.42,1729559.38,287280.28,66642.16,166278.25000000003,579145.5,27.215519999999998,26.426269919999996,11864073.880583998,324620090.65436,27.361603941594883,485149.23,1.0331916017521459,555779.268292683,1.1836079229229173,24.660583853916386
Carlos Echeverria & Sons Dairy,20229 Old River RD Bakersfield Kern 93311,5025,760,1625,1360,600,775,10145,177824.27,2216077.31,1551254.12,363613.57,978840.99,2540783.25,124525685.0,247979.69,48201.64,511606.64,3180491.19,75.0,549564.16,227864.32,861624.64,450264.0,247979.69,48201.64,511606.64,3180491.19,1.18,2.18,2.66,7.61,0.0,0.0,0.0,0.0,797543.8500000001,276065.96,1373231.28,3630755.19,1001689.96,135749.25,117216.34999999986,2090519.2499999995,34.0194,33.0328374,69749661.99103498,471380773.25585,6.758180037007738,2297489.5683999998,1.0367371021004677,2571335.975609756,1.1603096895612166,24.09503137961234
Kootstra Dairy Farms,13628 Adobe RD Bakersfield Kern 93307,1250,225,208,0,0,0,1683,36595.33,468518.37,327962.86,77616.94,234459.03,640301.25,1980000.0,1768.17,237.92,2288.6,15917.75,64.0,0.0,0.0,0.0,0.0,1768.17,237.92,2288.6,15917.75,0.12,0.0,0.0,1.23,0.0,0.0,0.0,0.0,1768.17,237.92,2288.6,15917.75,327962.86,77616.94,234459.03,640301.25,29.029888,28.188021248,15175725.939391999,7495111.800000001,0.4938881889363037,472811.6636,1.009163554462123,566150.6097560975,1.2083850837184837,23.5931838981052
Maya Dairy,18451 Wildwood Rd. Buttonwilllow Kern 93206,4550,475,1405,1120,825,0,8375,154676.7,1929355.92,1350549.14,319733.33,886313.73,2251593.75,284282946.0,632126.22,101338.31,746958.69,6752131.1,75.0,0.0,0.0,0.0,0.0,632126.22,101338.31,746958.69,6752131.1,0.84,0.74,0.99,2.39,301261.34,109248.62,288019.08,0.0,632126.22,101338.31,746958.69,6752131.1,1049287.7999999998,210484.71000000002,598294.6499999999,2251593.75,34.0194,33.0328374,60586352.896275,1076127506.61786,17.7618796176791,1998422.9640000002,1.0357979796698165,2208027.4390243907,1.1444375898379553,24.74585776997366
McFarland Dairy,31348 Hanawalt AVE McFarland Kern 93250,0,0,0,0,0,0,0,1.0,1.0,0.7,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1.0,1.0,0.0,0.453592,0.440437832,0.0,0.0,,,,,,
