Dairy Name,Dairy Address,Milk Cows,Dry Cows,Bred Heifers,Heifers,Calves (4-6 mo.),Calves (0-3 mo.),Total Herd Size,Total Manure Excreted (tons),Total Dry Manure Generated N (lbs),Total Dry Manure Generated N After Ammonia Losses (lbs),Total Dry Manure Generated P (lbs),Total Dry Manure Generated K (lbs),Total Dry Manure Generated Salt (lbs),Total Process Wastewater Generated (gals),Total Process Wastewater Generated N (lbs),Total Process Wastewater Generated P (lbs),Total Process Wastewater Generated K (lbs),Total Process Wastewater Generated Salt (lbs),Average Milk Production (lb per cow per day),Applied N Dry Manure (lbs),Applied P Dry Manure (lbs),Applied K Dry Manure (lbs),Applied Salt Dry Manure (lbs),Applied Process Wastewater N (lbs),Applied Process Wastewater P (lbs),Applied Process Wastewater K (lbs),Applied Process Wastewater Salt (lbs),Applied to Remove Ratio N,Applied to Remove Ratio P,Applied to Remove Ratio K,Applied to Remove Ratio Salt,Total Exports N (lbs),Total Exports P (lbs),Total Exports K (lbs),Total Exports Salt (lbs),Total Applied N (lbs),Total Applied P (lbs),Total Applied K (lbs),Total Applied Salt (lbs),Unaccounted-for N (lbs),Unaccounted-for P (lbs),Unaccounted-for K (lbs),Unaccounted-for Salt (lbs),Average Milk Production (kg per cow),Average Milk Production (L per cow),Total Annual Milk Production (L),Total Process Wastewater Generated (L),Ratio of Wastewater to Milk (L/L),USDA Nitrogen from Manure (lbs),Ratio of USDA N to Reported N,UCCE Nitrogen from Manure (lbs),Ratio of UCCE N to Reported N,Manure Conversion Factor (tons per cow per year)
Alvaro Machado Dairy,5230 9th Ave AVE Hanford Kings 93230,865,130,290,295,145,0,1725,30974.45,383391.33,268373.93,63383.86,168497.01,437178.75,34065903.0,83010.39,17373.75,239077.96,947739.13,75.0,0.0,0.0,0.0,0.0,83010.39,17373.75,239077.96,947739.13,1.27,1.13,3.02,2.59,0.0,0.0,0.0,0.0,83010.39,17373.75,239077.96,947739.13,268373.93,63383.86,168497.00999999998,437178.7499999999,34.0194,33.0328374,11996700.722745001,128953409.87523,10.749072837229516,400189.89400000003,1.0438157117428817,447748.17073170736,1.1678620138115992,24.542515218861727
Sunshine Dairy (Anthony & Robert Brazil Dairy),13113 7th AVE Hanford Kings 93230,330,50,200,150,50,35,815,12840.21,156346.19,109442.33,25683.12,62764.42,166878.0,44028000.0,100853.27,10664.49,61299.24,369800.33,68.0,109650.0,38335.0,196775.0,3898309.87,100853.27,10664.49,61299.24,369800.33,1.26,1.45,1.31,5.15,0.0,0.0,0.0,0.0,210503.27000000002,48999.49,258074.24,4268110.2,-207.6700000000128,-12651.879999999997,-134010.58,-3731431.87,30.844256,29.949772576,4154033.4562911997,166664031.48000002,40.121013283509,165895.5132,1.061078067844186,189221.34146341463,1.2102715228520415,23.81581587876046
Antonio Garcia Dairy,6571 Fargo AVE Hanford Kings 93230,505,40,10,25,0,0,580,13864.24,179988.45,125991.92,30198.51,96712.16,246977.25,16824000.0,52385.68,10801.48,65482.95,407419.59,70.0,33197.44,4679.36,6469.12,206348.8,52385.68,10801.48,65482.95,407419.59,1.64,1.25,1.08,2.67,0.0,0.0,0.0,0.0,85583.12,15480.84,71952.06999999999,613768.39,92794.48000000001,25519.149999999998,90243.04,40628.45000000007,31.75144,30.83064824,6132986.701142,63685737.84,10.38413108382272,179125.9808,0.9952081969704166,203598.78048780485,1.1311769198957202,24.854999562745956
Bar E Dairy,6970 Corona AVE Kingsburg Kings 93631,969,148,0,0,0,0,1117,26361.87,343071.97,240150.38,56942.65,181752.64,490286.25,7077000.0,59266.75,8529.81,85572.13,400093.1,64.0,0.0,0.0,0.0,0.0,59266.75,8529.81,85572.13,400093.1,1.32,0.42,1.01,1.9,0.0,0.0,0.0,0.0,59266.75,8529.81,85572.13,400093.1,240150.38,56942.65,181752.64,490286.25,29.029888,28.188021248,11492397.20291584,26789346.57,2.3310494840191422,340595.3604,0.9927810785591141,407705.0,1.188394959809745,23.60059982094897
Barreto & Silveira Dairy,11305 2nd Ave Hanford Kings 93230,0,0,0,0,0,0,0,1.0,1.0,0.7,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,187040.0,96860.0,349030.0,10000060.2,0.0,0.0,0.0,0.0,0.49,1.45,0.95,6.14,0.0,0.0,0.0,0.0,187040.0,96860.0,349030.0,10000060.2,-187039.3,-96859.0,-349029.0,-10000060.2,0.453592,0.440437832,0.0,0.0,,,,,,
C&R Dairy,18321 Idaho AVE Lemoore Kings 93245,395,0,0,0,0,0,395,9759.22,127626.25,89338.38,21535.67,73570.02,185985.75,2050000.0,9574.07,709.95,4240.72,27149.21,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9574.07,709.95,4240.72,27149.21,0.0,0.0,0.0,0.0,89338.38,21535.67,73570.02,185985.75,28.122704,27.307145583999997,3937007.7145731994,7760090.5,1.971063066824915,126089.1224,0.987956023153544,144175.0,1.1296657231564824,24.706886075949367
Contente & Company,7900 15th Ave Hanford Kings 93230,810,110,140,120,130,140,1450,24881.66,317774.75,222442.33,51505.82,149800.77,406683.0,15199175.0,46833.44,14137.96,111397.52,363549.1,60.0,53073.41,16468.16,59230.65,703875.44,46833.44,14137.96,111397.52,363549.1,0.58,1.08,0.91,1.8,62699.04,20284.54,61094.98,782172.16,99906.85,30606.12,170628.17,1067424.54,106669.88,14753.120000000003,29475.139999999963,-1079364.6,27.215519999999998,26.426269919999996,8873941.439135998,57535109.03675,6.483602515451335,321471.0472,1.0116318153031352,382537.8048780488,1.2038017648603256,22.337378147580466
Daniel Brasil Dairy,18280 Fairfax AVE Lemoore Kings 93245,500,75,105,175,70,5,930,17260.07,215618.2,150932.74,35668.84,97397.11,252671.25,24140667.0,102462.77,32435.63,191645.38,805215.36,75.0,25628.46,12022.08,27399.15,296358.19,102462.77,32435.63,191645.38,805215.36,1.26,1.83,1.86,2.31,0.0,0.0,0.0,0.0,128091.23000000001,44457.71,219044.53,1101573.55,125304.28,23646.760000000002,69997.95999999999,-43686.94000000018,34.0194,33.0328374,6932766.749324999,91382322.26847,13.18121978896338,223000.10439999998,1.0342359986309133,250603.65853658537,1.1622565188680054,24.48660449826989
Dixie Creek Ranch,3601 Lacey Blvd. Hanford Kings 93230,6500,0,0,0,0,0,6500,174409.77,2279710.55,1595797.39,387395.35,1287514.97,3060525.0,30206388.0,209533.95,17192.97,316410.29,2308681.03,80.0,0.0,0.0,0.0,0.0,209533.95,17192.97,316410.29,2308681.03,1.21,0.31,1.09,6.44,0.0,0.0,0.0,0.0,209533.95,17192.97,316410.29,2308681.03,1595797.39,387395.35,1287514.97,3060524.9999999995,36.28736,35.23502656,83595100.5136,114343563.19908,1.3678261345050666,2253374.2284,0.9884475151461662,2372500.0,1.0407022944206668,26.832272307692307
Double N Dairy II,18104 Everett AVE Laton Kings 93242,815,100,0,0,125,50,1090,22624.91,296775.53,207742.87,48625.45,154473.65,406737.75,15425000.0,61176.09,8859.51,60553.28,403486.8,67.0,0.0,0.0,0.0,0.0,61176.09,8859.51,60553.28,403486.8,1.3,1.26,1.17,2.33,36442.0,20276.0,70144.0,1694820.15,61176.09,8859.51,60553.28,403486.8,171300.86999999997,28349.449999999997,84329.65,-1288082.4,30.390664,29.509334744,9855380.0711274,58389949.25,5.924677569874839,292313.8372,0.9849661028319956,341764.6341463415,1.1515930378301116,23.109648978574988
