Dairy Name,Dairy Address,Milk Cows,Dry Cows,Bred Heifers,Heifers,Calves (4-6 mo.),Calves (0-3 mo.),Total Herd Size,Total Manure Excreted (tons),Total Dry Manure Generated N (lbs),Total Dry Manure Generated N After Ammonia Losses (lbs),Total Dry Manure Generated P (lbs),Total Dry Manure Generated K (lbs),Total Dry Manure Generated Salt (lbs),Total Process Wastewater Generated (gals),Total Process Wastewater Generated N (lbs),Total Process Wastewater Generated P (lbs),Total Process Wastewater Generated K (lbs),Total Process Wastewater Generated Salt (lbs),Average Milk Production (lb per cow per day),Applied N Dry Manure (lbs),Applied P Dry Manure (lbs),Applied K Dry Manure (lbs),Applied Salt Dry Manure (lbs),Applied Process Wastewater N (lbs),Applied Process Wastewater P (lbs),Applied Process Wastewater K (lbs),Applied Process Wastewater Salt (lbs),Applied to Remove Ratio N,Applied to Remove Ratio P,Applied to Remove Ratio K,Applied to Remove Ratio Salt,Total Exports N (lbs),Total Exports P (lbs),Total Exports K (lbs),Total Exports Salt (lbs),Total Applied N (lbs),Total Applied P (lbs),Total Applied K (lbs),Total Applied Salt (lbs),Unaccounted-for N (lbs),Unaccounted-for P (lbs),Unaccounted-for K (lbs),Unaccounted-for Salt (lbs),Average Milk Production (kg per cow),Average Milk Production (L per cow),Total Annual Milk Production (L),Total Process Wastewater Generated (L),Ratio of Wastewater to Milk (L/L),USDA Nitrogen from Manure (lbs),Ratio of USDA N to Reported N,UCCE Nitrogen from Manure (lbs),Ratio of UCCE N to Reported N,Manure Conversion Factor (tons per cow per year)
4K Dairy Family Partnership,7976 84 AVE Pixley Tulare 93256,2598,271,925,943,245,955,5937,94129.38,1167341.25,817138.88,189839.51,500954.74,1285584.75,95154618.0,218154.52,45552.67,294800.98,2133457.77,72.0,0.0,0.0,0.0,0.0,218154.52,45552.67,294800.98,2133457.77,1.21,1.11,1.23,3.36,200083.05,80033.22,207653.76,0.0,218154.52,45552.67,294800.98,2133457.77,617055.8300000001,109806.29000000001,293300.98,1285584.75,32.658624,31.711523904000003,33207832.159410246,360199242.52338004,10.84681591963867,1216151.5896,1.0418132569203735,1350045.975609756,1.1565135521508865,23.582817982389138
AC Enterprises,15499 Road 72 Tipton Tulare 93272,488,110,321,148,69,89,1225,20409.01,247554.64,173288.25,40525.86,98265.74,255069.3,58000000.0,107475.26,8319.97,124874.58,915363.05,85.0,0.0,0.0,0.0,0.0,107475.26,8319.97,124874.58,915363.05,1.1,0.32,1.08,5.96,76965.36,25830.84,66158.58,0.0,107475.26,8319.97,124874.58,915363.05,96322.89,14695.02,32107.160000000003,255069.30000000005,38.55532,37.43721572,8171421.075204399,219553780.0,26.868494228772576,263684.4092,1.0651564002193616,287931.5853658537,1.1631031652884942,24.666727883736694
Adriano Nunes & Son Dairy-Farming,18675 32 RD Tulare Tulare 93274,790,144,295,300,140,109,1778,28885.28,354358.56,248050.99,57664.44,148697.14,405084.3,3874500.0,13440.94,1461.91,7616.32,89601.02,65.0,82225.3,29836.67,74837.51,47982.9,13440.94,1461.91,7616.32,89601.02,0.8,1.09,0.68,0.28,0.0,0.0,0.0,0.0,95666.24,31298.579999999998,82453.82999999999,137583.92,165825.69,27827.770000000008,73859.63000000003,357101.4,29.48348,28.62845908,9759727.984962799,14666571.045,1.5027643257678256,373197.8176,1.05316439258586,431447.8048780488,1.2175458803028458,23.242463398359305
Airoso Dairy,18809 Road 64 Tulare Tulare 93274,0,115,150,135,70,0,470,4293.01,51611.0,36127.7,7600.4,1.0,26444.25,7536000.0,3442.12,10919.31,7655.94,49937.82,1.0,81819.6,25220.8,131114.4,0.0,3442.12,10919.31,7655.94,49937.82,0.74,1.0,0.61,1.59,0.0,0.0,0.0,0.0,85261.72,36140.11,138770.34,49937.82,-45691.9,-17620.4,-131113.4,26444.250000000007,0.453592,0.440437832,18487.377998199998,28526849.76,1543.0446525611953,55465.6892,1.074687357346302,83148.78048780488,1.6110670300479526,17.531216135458166
Aukeman Farms #2 (Formerly Golden Valley Dairy,18183 S I DR Tulare Tulare 93274,0,0,0,65,125,0,190,1038.18,12556.0,8789.2,1495.59,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,56749.1,17762.53,79641.01,200275.73,0.0,0.0,0.0,0.0,1.28,1.87,1.28,0.95,0.0,0.0,0.0,0.0,56749.1,17762.53,79641.01,200275.73,-47959.899999999994,-16266.939999999999,-79640.01,-200275.73,0.453592,0.440437832,0.0,0.0,,13413.285600000001,1.0682769671870023,14243.902439024392,1.1344299489506524,14.93522105263158
Aukeman Farms,17297 Road 96 Tulare Tulare 93274,3140,415,1935,840,640,535,7505,119861.08,1476312.03,1033418.42,241521.79,611653.87,1573898.25,67189500.0,342397.61,52348.08,278308.56,1465621.75,75.0,65952.38,12228.96,44536.25,1457557.9,342397.61,52348.08,278308.56,1465621.75,1.23,1.08,0.76,2.05,323759.19,85994.79,392281.99,0.0,408349.99,64577.04,322844.81,2923179.65,643706.8500000001,143298.03999999998,174835.6299999999,116340.3500000001,34.0194,33.0328374,42862583.989305,254339805.19500002,5.933842095438354,1548605.1536,1.0489687289210805,1720440.8536585364,1.1653639736706178,23.971631326065218
Channel Islands Dairy Farms,13406 Road 24 Corcoran Tulare 93212,8754,1062,2725,1875,875,0,15291,276279.22,3503523.59,2452466.51,579895.37,1630460.75,4366027.8,178290180.0,624549.02,114781.43,909316.99,6656655.6,62.0,0.0,0.0,0.0,0.0,150877.26,20716.99,235316.16,1646231.25,1.24,0.89,1.83,1.95,1092397.7,342635.57,1298130.5,5010424.35,150877.26,20716.99,235316.16,1646231.25,1833740.5699999996,331324.24000000005,1006331.0800000001,4366027.799999999,28.122704,27.307145583999997,97837133.48417856,674901430.2738,6.898213451674151,3569527.5223999997,1.018839300122994,4236056.463414635,1.2090846128467583,23.375757654551037
"Coronado Dairy Farms, LLC",5850 160 AVE Tipton Tulare 93272,4224,707,518,0,0,0,5449,125008.96,1607794.36,1125456.05,267563.84,814485.31,2151445.05,89115173.0,376118.77,77319.7,427704.86,3405153.86,72.0,0.0,0.0,0.0,0.0,376118.77,77319.7,427704.86,3405153.86,1.26,1.23,1.31,2.36,0.0,0.0,0.0,0.0,376118.77,77319.7,427704.86,3405153.86,1125456.05,267563.84,814485.3099999999,2151445.0500000003,32.658624,31.711523904000003,57074876.39527777,337337467.02593,5.910437101776018,1615115.7632000002,1.0045536937945223,1868986.9512195124,1.162453979014774,24.413370232589156
Cow Palace Dairy,5595 96 AVE Pixley Tulare 93256,0,0,0,0,0,0,0,1.0,1.0,0.7,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1.0,1.0,0.0,31.75144,30.83064824,0.0,0.0,,,,,,
Curti Family Farms,19493 Road 30 Tulare Tulare 93274,600,0,0,0,0,0,600,14682.43,192021.3,134414.91,32373.83,110963.54,282510.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134414.91,32373.83,110963.54,282510.0,27.215519999999998,26.426269919999996,5787353.112479999,0.0,,189696.9956,0.9878955907495679,219000.0,1.1404984759503243,24.470716666666668
